AP890102-0139 4:0.4489247311827957 15:0.19086021505376344 1:0.11200716845878136 7:0.10125448028673835 0:0.06182795698924731 3:0.02956989247311828 11:0.01881720430107527 5:0.015232974910394265 6:0.004480286738351254 8:0.004480286738351254 10:0.004480286738351254 12:8.960573476702509E-4 13:8.960573476702509E-4 14:8.960573476702509E-4 16:8.960573476702509E-4 17:8.960573476702509E-4 18:8.960573476702509E-4 19:8.960573476702509E-4 2:8.960573476702509E-4 9:8.960573476702509E-4
AP890113-0142 13:0.2850194552529183 6:0.22665369649805447 15:0.2188715953307393 9:0.12159533073929961 1:0.05155642023346303 0:0.03988326848249027 19:0.016536964980544747 10:0.01264591439688716 3:0.008754863813229572 12:0.0048638132295719845 14:0.0048638132295719845 11:9.727626459143969E-4 16:9.727626459143969E-4 17:9.727626459143969E-4 18:9.727626459143969E-4 2:9.727626459143969E-4 4:9.727626459143969E-4 5:9.727626459143969E-4 7:9.727626459143969E-4 8:9.727626459143969E-4
AP890117-0048 19:0.2917721518987342 2:0.14746835443037976 1:0.13481012658227848 3:0.12974683544303797 9:0.08670886075949367 16:0.05379746835443038 10:0.05379746835443038 7:0.04113924050632911 15:0.028481012658227847 4:0.015822784810126583 18:0.00569620253164557 0:0.0031645569620253164 8:0.0031645569620253164 11:6.329113924050633E-4 12:6.329113924050633E-4 13:6.329113924050633E-4 14:6.329113924050633E-4 17:6.329113924050633E-4 5:6.329113924050633E-4 6:6.329113924050633E-4
AP890117-0202 12:0.3006108202443281 9:0.26919720767888305 10:0.14528795811518325 15:0.12958115183246074 18:0.037085514834205933 6:0.03534031413612566 1:0.02137870855148342 13:0.012652705061082025 17:0.010907504363001745 3:0.010907504363001745 5:0.009162303664921465 16:0.005671902268760907 0:0.003926701570680628 7:0.003926701570680628 8:0.002181500872600349 11:4.363001745200698E-4 14:4.363001745200698E-4 19:4.363001745200698E-4 2:4.363001745200698E-4 4:4.363001745200698E-4
AP890117-0238 11:0.4676724137931034 5:0.22629310344827586 15:0.09698275862068965 6:0.07974137931034483 12:0.036637931034482756 16:0.01939655172413793 18:0.01939655172413793 14:0.010775862068965518 2:0.010775862068965518 7:0.010775862068965518 13:0.0021551724137931034 17:0.0021551724137931034 19:0.0021551724137931034 0:0.0021551724137931034 1:0.0021551724137931034 3:0.0021551724137931034 4:0.0021551724137931034 8:0.0021551724137931034 9:0.0021551724137931034 10:0.0021551724137931034
AP890118-0101 10:0.4220430107526882 12:0.19623655913978494 13:0.0456989247311828 16:0.0456989247311828 4:0.0456989247311828 14:0.03494623655913978 17:0.03494623655913978 6:0.03494623655913978 7:0.03494623655913978 11:0.024193548387096774 5:0.024193548387096774 9:0.024193548387096774 3:0.013440860215053764 15:0.002688172043010753 18:0.002688172043010753 19:0.002688172043010753 0:0.002688172043010753 1:0.002688172043010753 2:0.002688172043010753 8:0.002688172043010753
AP890118-0135 0:0.23670212765957446 10:0.19414893617021275 15:0.15159574468085107 8:0.14095744680851063 5:0.08776595744680851 6:0.06648936170212766 17:0.05585106382978723 12:0.013297872340425532 18:0.013297872340425532 3:0.013297872340425532 11:0.0026595744680851063 13:0.0026595744680851063 14:0.0026595744680851063 16:0.0026595744680851063 19:0.0026595744680851063 1:0.0026595744680851063 2:0.0026595744680851063 4:0.0026595744680851063 7:0.0026595744680851063 9:0.0026595744680851063
AP890118-0178 12:0.6415343915343915 15:0.1283068783068783 0:0.08597883597883597 13:0.027777777777777776 1:0.027777777777777776 16:0.017195767195767195 6:0.017195767195767195 7:0.011904761904761904 9:0.011904761904761904 14:0.006613756613756613 4:0.006613756613756613 8:0.006613756613756613 11:0.0013227513227513227 17:0.0013227513227513227 18:0.0013227513227513227 19:0.0013227513227513227 2:0.0013227513227513227 3:0.0013227513227513227 5:0.0013227513227513227 10:0.0013227513227513227
AP890118-0326 5:0.5625 6:0.2325 17:0.0925 15:0.0625 0:0.0125 11:0.0025 12:0.0025 13:0.0025 14:0.0025 16:0.0025 18:0.0025 19:0.0025 1:0.0025 2:0.0025 3:0.0025 4:0.0025 7:0.0025 8:0.0025 9:0.0025 10:0.0025
AP890120-0017 10:0.3911149825783972 9:0.24825783972125434 11:0.15766550522648085 15:0.10540069686411149 13:0.025261324041811847 5:0.018292682926829267 16:0.014808362369337979 17:0.01132404181184669 0:0.0078397212543554 3:0.0078397212543554 14:0.004355400696864111 12:8.710801393728223E-4 18:8.710801393728223E-4 19:8.710801393728223E-4 1:8.710801393728223E-4 2:8.710801393728223E-4 4:8.710801393728223E-4 6:8.710801393728223E-4 7:8.710801393728223E-4 8:8.710801393728223E-4
AP890120-0118 1:0.2580213903743315 19:0.18315508021390375 14:0.11363636363636363 9:0.11363636363636363 15:0.08689839572192513 16:0.07620320855614973 0:0.03877005347593583 2:0.02807486631016043 5:0.02807486631016043 3:0.017379679144385027 12:0.012032085561497326 7:0.012032085561497326 8:0.012032085561497326 13:0.0066844919786096255 4:0.0066844919786096255 11:0.001336898395721925 17:0.001336898395721925 18:0.001336898395721925 6:0.001336898395721925 10:0.001336898395721925
AP890121-0161 7:0.36009615384615384 11:0.21009615384615385 1:0.0889423076923077 15:0.08125 4:0.06201923076923077 8:0.04855769230769231 17:0.046634615384615385 2:0.040865384615384616 0:0.015865384615384615 13:0.010096153846153847 3:0.010096153846153847 12:0.008173076923076924 18:0.008173076923076924 16:0.00625 14:4.807692307692308E-4 19:4.807692307692308E-4 5:4.807692307692308E-4 6:4.807692307692308E-4 9:4.807692307692308E-4 10:4.807692307692308E-4
AP890123-0048 8:0.37228260869565216 1:0.1875 11:0.08967391304347826 7:0.08967391304347826 10:0.06793478260869565 3:0.04619565217391304 13:0.035326086956521736 4:0.035326086956521736 17:0.01358695652173913 0:0.01358695652173913 5:0.01358695652173913 6:0.01358695652173913 12:0.002717391304347826 14:0.002717391304347826 15:0.002717391304347826 16:0.002717391304347826 18:0.002717391304347826 19:0.002717391304347826 2:0.002717391304347826 9:0.002717391304347826
AP890123-0179 19:0.35930232558139535 10:0.3081395348837209 9:0.12674418604651164 15:0.0941860465116279 6:0.04302325581395349 0:0.02441860465116279 11:0.005813953488372093 13:0.005813953488372093 16:0.005813953488372093 17:0.005813953488372093 18:0.005813953488372093 5:0.005813953488372093 12:0.0011627906976744186 14:0.0011627906976744186 1:0.0011627906976744186 2:0.0011627906976744186 3:0.0011627906976744186 4:0.0011627906976744186 7:0.0011627906976744186 8:0.0011627906976744186
AP890123-0298 11:0.3319672131147541 5:0.25 12:0.20081967213114754 1:0.05327868852459016 15:0.036885245901639344 18:0.036885245901639344 6:0.036885245901639344 13:0.004098360655737705 14:0.004098360655737705 16:0.004098360655737705 17:0.004098360655737705 19:0.004098360655737705 0:0.004098360655737705 2:0.004098360655737705 3:0.004098360655737705 4:0.004098360655737705 7:0.004098360655737705 8:0.004098360655737705 9:0.004098360655737705 10:0.004098360655737705
AP890124-0263 5:0.6534810126582279 15:0.10284810126582279 17:0.07120253164556962 8:0.07120253164556962 6:0.058544303797468354 13:0.007911392405063292 19:0.007911392405063292 10:0.007911392405063292 11:0.0015822784810126582 12:0.0015822784810126582 14:0.0015822784810126582 16:0.0015822784810126582 18:0.0015822784810126582 0:0.0015822784810126582 1:0.0015822784810126582 2:0.0015822784810126582 3:0.0015822784810126582 4:0.0015822784810126582 7:0.0015822784810126582 9:0.0015822784810126582
AP890125-0260 8:0.35 11:0.15571428571428572 15:0.1442857142857143 9:0.10428571428571429 6:0.06428571428571428 7:0.047142857142857146 17:0.041428571428571426 5:0.03571428571428571 19:0.03 0:0.007142857142857143 1:0.007142857142857143 12:0.0014285714285714286 13:0.0014285714285714286 14:0.0014285714285714286 16:0.0014285714285714286 18:0.0014285714285714286 2:0.0014285714285714286 3:0.0014285714285714286 4:0.0014285714285714286 10:0.0014285714285714286
AP890125-0289 5:0.8568181818181818 6:0.0659090909090909 7:0.020454545454545454 17:0.011363636363636364 8:0.011363636363636364 11:0.0022727272727272726 12:0.0022727272727272726 13:0.0022727272727272726 14:0.0022727272727272726 15:0.0022727272727272726 16:0.0022727272727272726 18:0.0022727272727272726 19:0.0022727272727272726 0:0.0022727272727272726 1:0.0022727272727272726 2:0.0022727272727272726 3:0.0022727272727272726 4:0.0022727272727272726 9:0.0022727272727272726 10:0.0022727272727272726
AP890125-0326 11:0.3627232142857143 1:0.1484375 15:0.10379464285714286 6:0.09486607142857142 8:0.0859375 5:0.07700892857142858 4:0.07254464285714286 19:0.0234375 14:0.005580357142857143 17:0.005580357142857143 0:0.005580357142857143 10:0.005580357142857143 12:0.0011160714285714285 13:0.0011160714285714285 16:0.0011160714285714285 18:0.0011160714285714285 2:0.0011160714285714285 3:0.0011160714285714285 7:0.0011160714285714285 9:0.0011160714285714285
AP890126-0127 9:0.6223214285714286 15:0.16160714285714287 1:0.05089285714285714 10:0.05089285714285714 17:0.025892857142857145 3:0.015178571428571428 12:0.011607142857142858 18:0.011607142857142858 19:0.011607142857142858 5:0.011607142857142858 0:0.008035714285714285 11:0.004464285714285714 16:0.004464285714285714 8:0.004464285714285714 13:8.928571428571428E-4 14:8.928571428571428E-4 2:8.928571428571428E-4 4:8.928571428571428E-4 6:8.928571428571428E-4 7:8.928571428571428E-4
AP890126-0252 5:0.4967948717948718 17:0.2702991452991453 15:0.10363247863247864 11:0.026709401709401708 18:0.022435897435897436 0:0.022435897435897436 4:0.018162393162393164 6:0.013888888888888888 7:0.009615384615384616 8:0.005341880341880342 12:0.0010683760683760685 13:0.0010683760683760685 14:0.0010683760683760685 16:0.0010683760683760685 19:0.0010683760683760685 1:0.0010683760683760685 2:0.0010683760683760685 3:0.0010683760683760685 9:0.0010683760683760685 10:0.0010683760683760685
AP890126-0273 17:0.3234223300970874 5:0.2821601941747573 15:0.12439320388349515 11:0.0904126213592233 1:0.08313106796116505 6:0.03216019417475728 14:0.022451456310679612 12:0.007888349514563107 18:0.007888349514563107 8:0.0054611650485436895 13:0.003033980582524272 16:0.003033980582524272 19:0.003033980582524272 2:0.003033980582524272 3:0.003033980582524272 9:0.003033980582524272 0:6.067961165048543E-4 4:6.067961165048543E-4 7:6.067961165048543E-4 10:6.067961165048543E-4
AP890127-0056 13:0.48674242424242425 15:0.16098484848484848 3:0.10037878787878787 14:0.0625 1:0.054924242424242424 6:0.054924242424242424 4:0.02462121212121212 7:0.02462121212121212 9:0.00946969696969697 11:0.001893939393939394 12:0.001893939393939394 16:0.001893939393939394 17:0.001893939393939394 18:0.001893939393939394 19:0.001893939393939394 0:0.001893939393939394 2:0.001893939393939394 5:0.001893939393939394 8:0.001893939393939394 10:0.001893939393939394
AP890127-0159 7:0.38063063063063063 15:0.28153153153153154 13:0.06531531531531531 14:0.06531531531531531 3:0.06531531531531531 2:0.0472972972972973 5:0.02927927927927928 12:0.01126126126126126 17:0.01126126126126126 1:0.01126126126126126 10:0.01126126126126126 11:0.0022522522522522522 16:0.0022522522522522522 18:0.0022522522522522522 19:0.0022522522522522522 0:0.0022522522522522522 4:0.0022522522522522522 6:0.0022522522522522522 8:0.0022522522522522522 9:0.0022522522522522522
AP890127-0214 11:0.46623563218390807 15:0.14727011494252873 19:0.14152298850574713 1:0.11566091954022989 6:0.02658045977011494 4:0.023706896551724137 7:0.023706896551724137 9:0.023706896551724137 16:0.009339080459770116 2:0.009339080459770116 3:0.00646551724137931 12:7.183908045977011E-4 13:7.183908045977011E-4 14:7.183908045977011E-4 17:7.183908045977011E-4 18:7.183908045977011E-4 0:7.183908045977011E-4 5:7.183908045977011E-4 8:7.183908045977011E-4 10:7.183908045977011E-4
AP890127-0290 18:0.5731132075471698 15:0.13286163522012578 1:0.0699685534591195 5:0.05738993710691824 11:0.054245283018867926 10:0.05110062893081761 9:0.03852201257861635 19:0.007075471698113208 4:0.003930817610062893 7:0.003930817610062893 12:7.861635220125787E-4 13:7.861635220125787E-4 14:7.861635220125787E-4 16:7.861635220125787E-4 17:7.861635220125787E-4 0:7.861635220125787E-4 2:7.861635220125787E-4 3:7.861635220125787E-4 6:7.861635220125787E-4 8:7.861635220125787E-4
AP890130-0026 10:0.47303206997084546 3:0.14358600583090378 15:0.09985422740524781 1:0.09402332361516035 5:0.04446064139941691 6:0.038629737609329445 17:0.024052478134110787 19:0.024052478134110787 8:0.024052478134110787 9:0.01239067055393586 16:0.006559766763848397 18:0.006559766763848397 11:0.0036443148688046646 12:7.288629737609329E-4 13:7.288629737609329E-4 14:7.288629737609329E-4 0:7.288629737609329E-4 2:7.288629737609329E-4 4:7.288629737609329E-4 7:7.288629737609329E-4
AP890130-0104 9:0.5303571428571429 15:0.18035714285714285 0:0.09464285714285714 18:0.08035714285714286 1:0.044642857142857144 8:0.023214285714285715 11:0.008928571428571428 3:0.008928571428571428 5:0.008928571428571428 12:0.0017857142857142857 13:0.0017857142857142857 14:0.0017857142857142857 16:0.0017857142857142857 17:0.0017857142857142857 19:0.0017857142857142857 2:0.0017857142857142857 4:0.0017857142857142857 6:0.0017857142857142857 7:0.0017857142857142857 10:0.0017857142857142857
AP890130-0201 11:0.28451676528599606 1:0.28451676528599606 4:0.10305719921104536 15:0.051775147928994084 9:0.051775147928994084 2:0.04980276134122288 7:0.04783037475345168 19:0.028106508875739646 3:0.026134122287968443 14:0.01824457593688363 0:0.01824457593688363 17:0.008382642998027613 18:0.00641025641025641 5:0.00641025641025641 6:0.00641025641025641 12:0.004437869822485207 10:0.002465483234714004 13:4.930966469428008E-4 16:4.930966469428008E-4 8:4.930966469428008E-4
AP890130-0258 17:0.4504189944134078 9:0.29399441340782123 15:0.1543296089385475 19:0.020251396648044692 8:0.020251396648044692 5:0.017458100558659217 6:0.017458100558659217 10:0.011871508379888268 12:0.0034916201117318434 13:0.0034916201117318434 11:6.983240223463687E-4 14:6.983240223463687E-4 16:6.983240223463687E-4 18:6.983240223463687E-4 0:6.983240223463687E-4 1:6.983240223463687E-4 2:6.983240223463687E-4 3:6.983240223463687E-4 4:6.983240223463687E-4 7:6.983240223463687E-4
AP890130-0269 18:0.3934563758389262 17:0.12835570469798657 5:0.125 9:0.09144295302013423 8:0.06795302013422819 15:0.061241610738255035 14:0.027684563758389263 0:0.024328859060402684 3:0.024328859060402684 6:0.02097315436241611 2:0.014261744966442953 4:0.007550335570469799 12:0.0041946308724832215 1:0.0041946308724832215 11:8.389261744966443E-4 13:8.389261744966443E-4 16:8.389261744966443E-4 19:8.389261744966443E-4 7:8.389261744966443E-4 10:8.389261744966443E-4
AP890131-0030 9:0.5007530120481928 15:0.14533132530120482 0:0.11219879518072289 18:0.09412650602409639 5:0.054969879518072286 1:0.036897590361445784 11:0.021837349397590362 19:0.01581325301204819 17:0.009789156626506024 12:7.530120481927711E-4 13:7.530120481927711E-4 14:7.530120481927711E-4 16:7.530120481927711E-4 2:7.530120481927711E-4 3:7.530120481927711E-4 4:7.530120481927711E-4 6:7.530120481927711E-4 7:7.530120481927711E-4 8:7.530120481927711E-4 10:7.530120481927711E-4
AP890131-0070 16:0.593108504398827 15:0.17961876832844575 9:0.12976539589442815 3:0.018328445747800588 19:0.015395894428152493 18:0.012463343108504398 5:0.012463343108504398 6:0.012463343108504398 17:0.006598240469208211 12:0.0036656891495601175 14:0.0036656891495601175 0:0.0036656891495601175 8:0.0036656891495601175 11:7.331378299120235E-4 13:7.331378299120235E-4 1:7.331378299120235E-4 2:7.331378299120235E-4 4:7.331378299120235E-4 7:7.331378299120235E-4 10:7.331378299120235E-4
AP890131-0147 16:0.6042372881355932 15:0.1906779661016949 9:0.08559322033898305 0:0.038135593220338986 3:0.02457627118644068 1:0.0211864406779661 12:0.017796610169491526 8:0.007627118644067797 11:8.47457627118644E-4 13:8.47457627118644E-4 14:8.47457627118644E-4 17:8.47457627118644E-4 18:8.47457627118644E-4 19:8.47457627118644E-4 2:8.47457627118644E-4 4:8.47457627118644E-4 5:8.47457627118644E-4 6:8.47457627118644E-4 7:8.47457627118644E-4 10:8.47457627118644E-4
AP890131-0153 13:0.5712290502793296 15:0.10195530726256984 7:0.09078212290502793 1:0.08519553072625698 0:0.046089385474860335 9:0.029329608938547486 17:0.023743016759776536 14:0.012569832402234637 6:0.012569832402234637 11:0.006983240223463687 2:0.006983240223463687 12:0.0013966480446927375 16:0.0013966480446927375 18:0.0013966480446927375 19:0.0013966480446927375 3:0.0013966480446927375 4:0.0013966480446927375 5:0.0013966480446927375 8:0.0013966480446927375 10:0.0013966480446927375
AP890131-0158 12:0.7898936170212766 16:0.08776595744680851 15:0.06648936170212766 9:0.013297872340425532 11:0.0026595744680851063 13:0.0026595744680851063 14:0.0026595744680851063 17:0.0026595744680851063 18:0.0026595744680851063 19:0.0026595744680851063 0:0.0026595744680851063 1:0.0026595744680851063 2:0.0026595744680851063 3:0.0026595744680851063 4:0.0026595744680851063 5:0.0026595744680851063 6:0.0026595744680851063 7:0.0026595744680851063 8:0.0026595744680851063 10:0.0026595744680851063
AP890131-0279 12:0.7898936170212766 16:0.07712765957446809 15:0.06648936170212766 11:0.013297872340425532 1:0.013297872340425532 13:0.0026595744680851063 14:0.0026595744680851063 17:0.0026595744680851063 18:0.0026595744680851063 19:0.0026595744680851063 0:0.0026595744680851063 2:0.0026595744680851063 3:0.0026595744680851063 4:0.0026595744680851063 5:0.0026595744680851063 6:0.0026595744680851063 7:0.0026595744680851063 8:0.0026595744680851063 9:0.0026595744680851063 10:0.0026595744680851063
