AP890101-0002 8:0.3691646191646192 1:0.20945945945945946 5:0.12837837837837837 16:0.09643734643734644 13:0.0472972972972973 0:0.04484029484029484 2:0.030098280098280097 3:0.025184275184275184 17:0.02027027027027027 7:0.015356265356265357 19:0.005528255528255528 15:0.003071253071253071 11:6.142506142506142E-4 12:6.142506142506142E-4 14:6.142506142506142E-4 18:6.142506142506142E-4 4:6.142506142506142E-4 6:6.142506142506142E-4 9:6.142506142506142E-4 10:6.142506142506142E-4
AP890107-0150 15:0.715 18:0.08833333333333333 16:0.075 11:0.035 13:0.021666666666666667 3:0.021666666666666667 2:0.015 6:0.008333333333333333 12:0.0016666666666666668 14:0.0016666666666666668 17:0.0016666666666666668 19:0.0016666666666666668 0:0.0016666666666666668 1:0.0016666666666666668 4:0.0016666666666666668 5:0.0016666666666666668 7:0.0016666666666666668 8:0.0016666666666666668 9:0.0016666666666666668 10:0.0016666666666666668
AP890108-0085 15:0.7271505376344086 18:0.08198924731182795 3:0.04973118279569892 16:0.028225806451612902 17:0.0228494623655914 5:0.0228494623655914 10:0.01747311827956989 12:0.012096774193548387 9:0.012096774193548387 11:0.006720430107526882 19:0.006720430107526882 13:0.0013440860215053765 14:0.0013440860215053765 0:0.0013440860215053765 1:0.0013440860215053765 2:0.0013440860215053765 4:0.0013440860215053765 6:0.0013440860215053765 7:0.0013440860215053765 8:0.0013440860215053765
AP890109-0266 15:0.5860294117647059 16:0.2889705882352941 0:0.05073529411764706 12:0.04485294117647059 4:0.009558823529411765 19:0.003676470588235294 5:0.003676470588235294 7:0.003676470588235294 11:7.352941176470588E-4 13:7.352941176470588E-4 14:7.352941176470588E-4 17:7.352941176470588E-4 18:7.352941176470588E-4 1:7.352941176470588E-4 2:7.352941176470588E-4 3:7.352941176470588E-4 6:7.352941176470588E-4 8:7.352941176470588E-4 9:7.352941176470588E-4 10:7.352941176470588E-4
AP890110-0175 11:0.24424342105263158 2:0.17516447368421054 15:0.13240131578947367 16:0.10608552631578948 18:0.07648026315789473 12:0.060032894736842105 8:0.05016447368421053 5:0.03042763157894737 6:0.03042763157894737 4:0.027138157894736843 3:0.023848684210526317 9:0.017269736842105265 19:0.01069078947368421 10:0.01069078947368421 13:8.223684210526315E-4 14:8.223684210526315E-4 17:8.223684210526315E-4 0:8.223684210526315E-4 1:8.223684210526315E-4 7:8.223684210526315E-4
AP890110-0290 9:0.5227272727272727 8:0.34917355371900827 16:0.04338842975206612 1:0.026859504132231406 14:0.010330578512396695 15:0.010330578512396695 0:0.010330578512396695 11:0.002066115702479339 12:0.002066115702479339 13:0.002066115702479339 17:0.002066115702479339 18:0.002066115702479339 19:0.002066115702479339 2:0.002066115702479339 3:0.002066115702479339 4:0.002066115702479339 5:0.002066115702479339 6:0.002066115702479339 7:0.002066115702479339 10:0.002066115702479339
AP890110-0294 8:0.5181451612903226 17:0.19556451612903225 9:0.09879032258064516 14:0.05040322580645161 13:0.034274193548387094 18:0.034274193548387094 11:0.018145161290322582 3:0.018145161290322582 1:0.010080645161290322 12:0.0020161290322580645 15:0.0020161290322580645 16:0.0020161290322580645 19:0.0020161290322580645 0:0.0020161290322580645 2:0.0020161290322580645 4:0.0020161290322580645 5:0.0020161290322580645 6:0.0020161290322580645 7:0.0020161290322580645 10:0.0020161290322580645
AP890111-0037 11:0.4728381374722838 14:0.184589800443459 6:0.06707317073170732 17:0.0582039911308204 2:0.05598669623059867 3:0.04933481152993348 19:0.042682926829268296 18:0.022727272727272728 16:0.01164079822616408 13:0.009423503325942351 15:0.004988913525498891 4:0.004988913525498891 10:0.004988913525498891 0:0.002771618625277162 5:0.002771618625277162 8:0.002771618625277162 12:5.543237250554324E-4 1:5.543237250554324E-4 7:5.543237250554324E-4 9:5.543237250554324E-4
AP890111-0042 11:0.3727390180878553 3:0.14276485788113696 14:0.1065891472868217 2:0.08074935400516796 18:0.06524547803617571 6:0.06266149870801034 16:0.05749354005167959 17:0.047157622739018086 19:0.044573643410852716 4:0.008397932816537468 8:0.005813953488372093 12:6.459948320413437E-4 13:6.459948320413437E-4 15:6.459948320413437E-4 0:6.459948320413437E-4 1:6.459948320413437E-4 5:6.459948320413437E-4 7:6.459948320413437E-4 9:6.459948320413437E-4 10:6.459948320413437E-4
AP890111-0049 16:0.21036585365853658 4:0.21036585365853658 11:0.19817073170731708 6:0.10060975609756098 2:0.07621951219512195 3:0.051829268292682924 17:0.039634146341463415 12:0.027439024390243903 5:0.027439024390243903 14:0.01524390243902439 7:0.01524390243902439 13:0.003048780487804878 15:0.003048780487804878 18:0.003048780487804878 19:0.003048780487804878 0:0.003048780487804878 1:0.003048780487804878 8:0.003048780487804878 9:0.003048780487804878 10:0.003048780487804878
AP890111-0095 13:0.5487012987012987 14:0.10714285714285714 5:0.10714285714285714 9:0.09415584415584416 8:0.04220779220779221 19:0.02922077922077922 2:0.016233766233766232 10:0.016233766233766232 11:0.003246753246753247 12:0.003246753246753247 15:0.003246753246753247 16:0.003246753246753247 17:0.003246753246753247 18:0.003246753246753247 0:0.003246753246753247 1:0.003246753246753247 3:0.003246753246753247 4:0.003246753246753247 6:0.003246753246753247 7:0.003246753246753247
AP890111-0277 14:0.35766961651917406 11:0.18067846607669616 3:0.09513274336283185 10:0.0715339233038348 15:0.06563421828908554 16:0.06268436578171091 18:0.04793510324483776 17:0.04498525073746313 6:0.02728613569321534 7:0.018436578171091445 5:0.009587020648967551 13:0.00663716814159292 1:0.003687315634218289 2:0.003687315634218289 12:7.374631268436578E-4 19:7.374631268436578E-4 0:7.374631268436578E-4 4:7.374631268436578E-4 8:7.374631268436578E-4 9:7.374631268436578E-4
AP890112-0004 15:0.5830882352941177 16:0.2889705882352941 0:0.05367647058823529 12:0.03897058823529412 7:0.015441176470588236 18:0.003676470588235294 3:0.003676470588235294 10:0.003676470588235294 11:7.352941176470588E-4 13:7.352941176470588E-4 14:7.352941176470588E-4 17:7.352941176470588E-4 19:7.352941176470588E-4 1:7.352941176470588E-4 2:7.352941176470588E-4 4:7.352941176470588E-4 5:7.352941176470588E-4 6:7.352941176470588E-4 8:7.352941176470588E-4 9:7.352941176470588E-4
AP890112-0077 14:0.4616564417177914 11:0.1549079754601227 3:0.1058282208588957 6:0.06288343558282208 16:0.05674846625766871 10:0.05674846625766871 4:0.02607361963190184 17:0.019938650306748466 5:0.019938650306748466 1:0.013803680981595092 19:0.007668711656441718 12:0.0015337423312883436 13:0.0015337423312883436 15:0.0015337423312883436 18:0.0015337423312883436 0:0.0015337423312883436 2:0.0015337423312883436 7:0.0015337423312883436 8:0.0015337423312883436 9:0.0015337423312883436
AP890112-0154 5:0.3530405405405405 16:0.34628378378378377 3:0.1097972972972973 19:0.03547297297297297 11:0.028716216216216218 17:0.028716216216216218 4:0.028716216216216218 12:0.015202702702702704 10:0.015202702702702704 14:0.008445945945945946 1:0.008445945945945946 8:0.008445945945945946 13:0.0016891891891891893 15:0.0016891891891891893 18:0.0016891891891891893 0:0.0016891891891891893 2:0.0016891891891891893 6:0.0016891891891891893 7:0.0016891891891891893 9:0.0016891891891891893
AP890112-0167 4:0.8874407582938388 1:0.02962085308056872 10:0.02014218009478673 16:0.015402843601895734 18:0.01066350710900474 11:0.005924170616113744 13:0.005924170616113744 19:0.005924170616113744 8:0.005924170616113744 12:0.001184834123222749 14:0.001184834123222749 15:0.001184834123222749 17:0.001184834123222749 0:0.001184834123222749 2:0.001184834123222749 3:0.001184834123222749 5:0.001184834123222749 6:0.001184834123222749 7:0.001184834123222749 9:0.001184834123222749
AP890113-0026 4:0.8611111111111112 16:0.059178743961352656 3:0.020531400966183576 10:0.020531400966183576 2:0.010869565217391304 13:0.006038647342995169 1:0.006038647342995169 11:0.0012077294685990338 12:0.0012077294685990338 14:0.0012077294685990338 15:0.0012077294685990338 17:0.0012077294685990338 18:0.0012077294685990338 19:0.0012077294685990338 0:0.0012077294685990338 5:0.0012077294685990338 6:0.0012077294685990338 7:0.0012077294685990338 8:0.0012077294685990338 9:0.0012077294685990338
AP890113-0121 13:0.5467479674796748 8:0.2865853658536585 16:0.05894308943089431 15:0.034552845528455285 5:0.018292682926829267 9:0.018292682926829267 6:0.01016260162601626 11:0.0020325203252032522 12:0.0020325203252032522 14:0.0020325203252032522 17:0.0020325203252032522 18:0.0020325203252032522 19:0.0020325203252032522 0:0.0020325203252032522 1:0.0020325203252032522 2:0.0020325203252032522 3:0.0020325203252032522 4:0.0020325203252032522 7:0.0020325203252032522 10:0.0020325203252032522
AP890113-0210 6:0.3655555555555556 16:0.21888888888888888 11:0.21444444444444444 18:0.0811111111111111 7:0.05444444444444444 10:0.023333333333333334 14:0.014444444444444444 5:0.01 17:0.005555555555555556 12:0.0011111111111111111 13:0.0011111111111111111 15:0.0011111111111111111 19:0.0011111111111111111 0:0.0011111111111111111 1:0.0011111111111111111 2:0.0011111111111111111 3:0.0011111111111111111 4:0.0011111111111111111 8:0.0011111111111111111 9:0.0011111111111111111
AP890113-0274 13:0.5280487804878049 8:0.27926829268292686 16:0.054878048780487805 15:0.05 1:0.03048780487804878 3:0.01097560975609756 7:0.01097560975609756 17:0.006097560975609756 18:0.006097560975609756 0:0.006097560975609756 10:0.006097560975609756 11:0.0012195121951219512 12:0.0012195121951219512 14:0.0012195121951219512 19:0.0012195121951219512 2:0.0012195121951219512 4:0.0012195121951219512 5:0.0012195121951219512 6:0.0012195121951219512 9:0.0012195121951219512
AP890115-0019 4:0.5646802325581395 16:0.15770348837209303 3:0.15479651162790697 0:0.047238372093023256 10:0.018168604651162792 9:0.015261627906976744 6:0.00944767441860465 8:0.00944767441860465 18:0.006540697674418605 2:0.006540697674418605 17:0.003633720930232558 11:7.267441860465116E-4 12:7.267441860465116E-4 13:7.267441860465116E-4 14:7.267441860465116E-4 15:7.267441860465116E-4 19:7.267441860465116E-4 1:7.267441860465116E-4 5:7.267441860465116E-4 7:7.267441860465116E-4
AP890116-0120 5:0.36002785515320335 1:0.19568245125348188 16:0.12604456824512536 8:0.11768802228412256 0:0.09261838440111421 3:0.05362116991643454 9:0.014623955431754874 18:0.009052924791086351 4:0.009052924791086351 13:0.006267409470752089 17:0.006267409470752089 11:0.003481894150417827 12:6.963788300835655E-4 14:6.963788300835655E-4 15:6.963788300835655E-4 19:6.963788300835655E-4 2:6.963788300835655E-4 6:6.963788300835655E-4 7:6.963788300835655E-4 10:6.963788300835655E-4
AP890117-0143 10:0.5443840579710145 3:0.16394927536231885 16:0.16032608695652173 11:0.051630434782608696 18:0.03713768115942029 19:0.015398550724637682 1:0.015398550724637682 12:9.057971014492754E-4 13:9.057971014492754E-4 14:9.057971014492754E-4 15:9.057971014492754E-4 17:9.057971014492754E-4 0:9.057971014492754E-4 2:9.057971014492754E-4 4:9.057971014492754E-4 5:9.057971014492754E-4 6:9.057971014492754E-4 7:9.057971014492754E-4 8:9.057971014492754E-4 9:9.057971014492754E-4
AP890117-0205 15:0.22407407407407406 11:0.20185185185185187 12:0.17222222222222222 18:0.1425925925925926 3:0.10555555555555556 2:0.046296296296296294 10:0.03888888888888889 14:0.009259259259259259 19:0.009259259259259259 4:0.009259259259259259 5:0.009259259259259259 6:0.009259259259259259 9:0.009259259259259259 13:0.001851851851851852 16:0.001851851851851852 17:0.001851851851851852 0:0.001851851851851852 1:0.001851851851851852 7:0.001851851851851852 8:0.001851851851851852
AP890117-0238 8:0.2521551724137931 14:0.22629310344827586 17:0.21767241379310345 12:0.0625 3:0.0625 7:0.0625 19:0.028017241379310345 2:0.028017241379310345 15:0.010775862068965518 0:0.010775862068965518 1:0.010775862068965518 10:0.010775862068965518 11:0.0021551724137931034 13:0.0021551724137931034 16:0.0021551724137931034 18:0.0021551724137931034 4:0.0021551724137931034 5:0.0021551724137931034 6:0.0021551724137931034 9:0.0021551724137931034
AP890118-0300 8:0.375 9:0.27925531914893614 14:0.1196808510638298 16:0.06648936170212766 17:0.04521276595744681 1:0.023936170212765957 18:0.013297872340425532 19:0.013297872340425532 2:0.013297872340425532 3:0.013297872340425532 10:0.013297872340425532 11:0.0026595744680851063 12:0.0026595744680851063 13:0.0026595744680851063 15:0.0026595744680851063 0:0.0026595744680851063 4:0.0026595744680851063 5:0.0026595744680851063 6:0.0026595744680851063 7:0.0026595744680851063
AP890119-0168 3:0.4432515337423313 8:0.2223926380368098 13:0.14263803680981596 19:0.04447852760736196 16:0.03834355828220859 4:0.03834355828220859 5:0.02607361963190184 1:0.013803680981595092 11:0.007668711656441718 14:0.007668711656441718 12:0.0015337423312883436 15:0.0015337423312883436 17:0.0015337423312883436 18:0.0015337423312883436 0:0.0015337423312883436 2:0.0015337423312883436 6:0.0015337423312883436 7:0.0015337423312883436 9:0.0015337423312883436 10:0.0015337423312883436
AP890119-0185 16:0.3935643564356436 19:0.22194719471947194 5:0.08663366336633663 3:0.04372937293729373 17:0.03712871287128713 1:0.03712871287128713 2:0.03712871287128713 8:0.03712871287128713 18:0.03382838283828383 12:0.03052805280528053 0:0.014026402640264026 6:0.010726072607260726 13:0.004125412541254125 15:0.004125412541254125 4:0.004125412541254125 11:8.250825082508251E-4 14:8.250825082508251E-4 7:8.250825082508251E-4 9:8.250825082508251E-4 10:8.250825082508251E-4
AP890119-0210 14:0.445364238410596 11:0.173841059602649 16:0.12748344370860928 6:0.10099337748344371 3:0.08112582781456953 4:0.0347682119205298 17:0.008278145695364239 9:0.008278145695364239 12:0.0016556291390728477 13:0.0016556291390728477 15:0.0016556291390728477 18:0.0016556291390728477 19:0.0016556291390728477 0:0.0016556291390728477 1:0.0016556291390728477 2:0.0016556291390728477 5:0.0016556291390728477 7:0.0016556291390728477 8:0.0016556291390728477 10:0.0016556291390728477
AP890119-0253 4:0.33121827411167515 12:0.32614213197969544 3:0.08248730964467005 18:0.06725888324873096 14:0.046954314720812185 15:0.04187817258883249 8:0.03680203045685279 13:0.0266497461928934 9:0.01649746192893401 17:0.006345177664974619 10:0.006345177664974619 11:0.0012690355329949238 16:0.0012690355329949238 19:0.0012690355329949238 0:0.0012690355329949238 1:0.0012690355329949238 2:0.0012690355329949238 5:0.0012690355329949238 6:0.0012690355329949238 7:0.0012690355329949238
AP890119-0318 9:0.6117886178861789 8:0.1402439024390244 16:0.08333333333333333 17:0.042682926829268296 4:0.026422764227642278 14:0.018292682926829267 1:0.018292682926829267 12:0.01016260162601626 13:0.01016260162601626 5:0.01016260162601626 10:0.01016260162601626 11:0.0020325203252032522 15:0.0020325203252032522 18:0.0020325203252032522 19:0.0020325203252032522 0:0.0020325203252032522 2:0.0020325203252032522 3:0.0020325203252032522 6:0.0020325203252032522 7:0.0020325203252032522
AP890119-0319 14:0.5106132075471698 11:0.12853773584905662 3:0.09551886792452831 16:0.07665094339622641 6:0.0625 5:0.03419811320754717 4:0.0294811320754717 10:0.0294811320754717 8:0.015330188679245283 9:0.00589622641509434 12:0.0011792452830188679 13:0.0011792452830188679 15:0.0011792452830188679 17:0.0011792452830188679 18:0.0011792452830188679 19:0.0011792452830188679 0:0.0011792452830188679 1:0.0011792452830188679 2:0.0011792452830188679 7:0.0011792452830188679
AP890120-0034 7:0.44471153846153844 11:0.22355769230769232 18:0.06009615384615385 13:0.040865384615384616 14:0.040865384615384616 15:0.040865384615384616 6:0.040865384615384616 10:0.03125 12:0.021634615384615384 17:0.021634615384615384 16:0.01201923076923077 19:0.002403846153846154 0:0.002403846153846154 1:0.002403846153846154 2:0.002403846153846154 3:0.002403846153846154 4:0.002403846153846154 5:0.002403846153846154 8:0.002403846153846154 9:0.002403846153846154
AP890121-0127 12:0.2383093525179856 17:0.18075539568345322 4:0.18075539568345322 3:0.1052158273381295 5:0.09082733812949641 16:0.051258992805755396 9:0.044064748201438846 7:0.040467625899280574 2:0.03327338129496403 13:0.011690647482014389 0:0.008093525179856115 1:0.0044964028776978415 6:0.0044964028776978415 11:8.992805755395684E-4 14:8.992805755395684E-4 15:8.992805755395684E-4 18:8.992805755395684E-4 19:8.992805755395684E-4 8:8.992805755395684E-4 10:8.992805755395684E-4
AP890123-0039 16:0.4226457399103139 10:0.3688340807174888 3:0.05044843049327354 6:0.04147982062780269 11:0.032511210762331835 5:0.028026905829596414 0:0.023542600896860985 12:0.010089686098654708 2:0.005605381165919282 4:0.005605381165919282 13:0.0011210762331838565 14:0.0011210762331838565 15:0.0011210762331838565 17:0.0011210762331838565 18:0.0011210762331838565 19:0.0011210762331838565 1:0.0011210762331838565 7:0.0011210762331838565 8:0.0011210762331838565 9:0.0011210762331838565
AP890123-0235 13:0.29138702460850113 8:0.11912751677852348 0:0.10346756152125279 16:0.07885906040268456 5:0.06991051454138703 10:0.05201342281879195 15:0.049776286353467564 3:0.049776286353467564 7:0.03859060402684564 1:0.031879194630872486 17:0.027404921700223715 6:0.025167785234899327 9:0.025167785234899327 18:0.013982102908277404 14:0.009507829977628635 19:0.0050335570469798654 4:0.0050335570469798654 11:0.002796420581655481 12:5.592841163310962E-4 2:5.592841163310962E-4
AP890123-0236 0:0.22149643705463182 16:0.19061757719714964 13:0.18824228028503562 5:0.07660332541567696 4:0.05285035629453682 8:0.05285035629453682 11:0.040973871733966744 19:0.040973871733966744 18:0.033847980997624705 10:0.03147268408551069 17:0.0172209026128266 3:0.0172209026128266 14:0.010095011876484561 1:0.010095011876484561 7:0.010095011876484561 9:0.0029691211401425177 12:5.938242280285036E-4 15:5.938242280285036E-4 2:5.938242280285036E-4 6:5.938242280285036E-4
AP890123-0237 0:0.24276315789473685 16:0.19013157894736843 13:0.17434210526315788 17:0.07434210526315789 8:0.04802631578947368 14:0.04276315789473684 3:0.04013157894736842 7:0.03223684210526316 9:0.026973684210526316 18:0.024342105263157894 5:0.024342105263157894 1:0.021710526315789475 6:0.019078947368421053 15:0.01644736842105263 12:0.01381578947368421 2:0.0059210526315789476 11:6.578947368421052E-4 19:6.578947368421052E-4 4:6.578947368421052E-4 10:6.578947368421052E-4
AP890123-0316 17:0.6199186991869918 8:0.22967479674796748 1:0.08333333333333333 3:0.018292682926829267 16:0.01016260162601626 4:0.01016260162601626 11:0.0020325203252032522 12:0.0020325203252032522 13:0.0020325203252032522 14:0.0020325203252032522 15:0.0020325203252032522 18:0.0020325203252032522 19:0.0020325203252032522 0:0.0020325203252032522 2:0.0020325203252032522 5:0.0020325203252032522 6:0.0020325203252032522 7:0.0020325203252032522 9:0.0020325203252032522 10:0.0020325203252032522
AP890124-0011 4:0.4216417910447761 12:0.34701492537313433 17:0.06343283582089553 8:0.06343283582089553 13:0.018656716417910446 18:0.018656716417910446 7:0.018656716417910446 11:0.0037313432835820895 14:0.0037313432835820895 15:0.0037313432835820895 16:0.0037313432835820895 19:0.0037313432835820895 0:0.0037313432835820895 1:0.0037313432835820895 2:0.0037313432835820895 3:0.0037313432835820895 5:0.0037313432835820895 6:0.0037313432835820895 9:0.0037313432835820895 10:0.0037313432835820895
