AP890101-0050 8:0.3526490066225166 15:0.27980132450331124 4:0.173841059602649 3:0.09437086092715231 1:0.02152317880794702 14:0.014900662251655629 9:0.014900662251655629 12:0.008278145695364239 17:0.008278145695364239 18:0.008278145695364239 7:0.008278145695364239 11:0.0016556291390728477 13:0.0016556291390728477 16:0.0016556291390728477 19:0.0016556291390728477 0:0.0016556291390728477 2:0.0016556291390728477 5:0.0016556291390728477 6:0.0016556291390728477 10:0.0016556291390728477
AP890106-0061 2:0.4625382262996942 19:0.19342507645259938 3:0.1811926605504587 1:0.04969418960244648 0:0.03134556574923547 13:0.016055045871559634 15:0.016055045871559634 5:0.009938837920489297 7:0.009938837920489297 10:0.009938837920489297 6:0.006880733944954129 11:0.00382262996941896 18:0.00382262996941896 12:7.645259938837921E-4 14:7.645259938837921E-4 16:7.645259938837921E-4 17:7.645259938837921E-4 4:7.645259938837921E-4 8:7.645259938837921E-4 9:7.645259938837921E-4
AP890106-0072 8:0.4346153846153846 15:0.24076923076923076 4:0.16076923076923078 3:0.05307692307692308 9:0.02846153846153846 14:0.025384615384615384 13:0.016153846153846154 6:0.013076923076923076 5:0.006923076923076923 19:0.0038461538461538464 0:0.0038461538461538464 2:0.0038461538461538464 7:0.0038461538461538464 11:7.692307692307692E-4 12:7.692307692307692E-4 16:7.692307692307692E-4 17:7.692307692307692E-4 18:7.692307692307692E-4 1:7.692307692307692E-4 10:7.692307692307692E-4
AP890106-0120 1:0.3547619047619048 3:0.16428571428571428 17:0.11666666666666667 16:0.09761904761904762 6:0.06904761904761905 9:0.05952380952380952 14:0.05 15:0.030952380952380953 4:0.030952380952380953 11:0.002380952380952381 12:0.002380952380952381 13:0.002380952380952381 18:0.002380952380952381 19:0.002380952380952381 0:0.002380952380952381 2:0.002380952380952381 5:0.002380952380952381 7:0.002380952380952381 8:0.002380952380952381 10:0.002380952380952381
AP890106-0168 17:0.35104166666666664 2:0.23020833333333332 8:0.121875 14:0.06770833333333333 1:0.059375 3:0.051041666666666666 0:0.03854166666666667 4:0.034375 15:0.013541666666666667 9:0.013541666666666667 13:0.005208333333333333 10:0.005208333333333333 11:0.0010416666666666667 12:0.0010416666666666667 16:0.0010416666666666667 18:0.0010416666666666667 19:0.0010416666666666667 5:0.0010416666666666667 6:0.0010416666666666667 7:0.0010416666666666667
AP890107-0074 17:0.3042168674698795 1:0.1716867469879518 12:0.1355421686746988 11:0.08734939759036145 6:0.06325301204819277 7:0.06325301204819277 3:0.05120481927710843 16:0.0391566265060241 8:0.0391566265060241 15:0.015060240963855422 13:0.0030120481927710845 14:0.0030120481927710845 18:0.0030120481927710845 19:0.0030120481927710845 0:0.0030120481927710845 2:0.0030120481927710845 4:0.0030120481927710845 5:0.0030120481927710845 9:0.0030120481927710845 10:0.0030120481927710845
AP890108-0031 12:0.42943548387096775 17:0.19556451612903225 3:0.16330645161290322 6:0.05040322580645161 8:0.04233870967741935 11:0.018145161290322582 14:0.018145161290322582 1:0.018145161290322582 7:0.018145161290322582 16:0.010080645161290322 2:0.010080645161290322 4:0.010080645161290322 13:0.0020161290322580645 15:0.0020161290322580645 18:0.0020161290322580645 19:0.0020161290322580645 0:0.0020161290322580645 5:0.0020161290322580645 9:0.0020161290322580645 10:0.0020161290322580645
AP890108-0037 1:0.38825757575757575 19:0.24431818181818182 11:0.07765151515151515 3:0.054924242424242424 2:0.04734848484848485 8:0.04734848484848485 12:0.032196969696969696 13:0.032196969696969696 7:0.02462121212121212 14:0.017045454545454544 5:0.00946969696969697 6:0.00946969696969697 15:0.001893939393939394 16:0.001893939393939394 17:0.001893939393939394 18:0.001893939393939394 0:0.001893939393939394 4:0.001893939393939394 9:0.001893939393939394 10:0.001893939393939394
AP890108-0070 1:0.4683333333333333 17:0.14833333333333334 2:0.12166666666666667 3:0.115 19:0.055 14:0.015 16:0.015 0:0.015 7:0.015 15:0.008333333333333333 4:0.008333333333333333 11:0.0016666666666666668 12:0.0016666666666666668 13:0.0016666666666666668 18:0.0016666666666666668 5:0.0016666666666666668 6:0.0016666666666666668 8:0.0016666666666666668 9:0.0016666666666666668 10:0.0016666666666666668
AP890109-0010 2:0.23993288590604026 19:0.22651006711409397 17:0.11689038031319911 11:0.08109619686800895 13:0.0743847874720358 3:0.056487695749440715 0:0.04082774049217002 10:0.03411633109619687 18:0.027404921700223715 6:0.027404921700223715 14:0.025167785234899327 9:0.02069351230425056 4:0.013982102908277404 5:0.0050335570469798654 15:0.002796420581655481 7:0.002796420581655481 8:0.002796420581655481 12:5.592841163310962E-4 16:5.592841163310962E-4 1:5.592841163310962E-4
AP890109-0119 17:0.45 2:0.10882352941176471 19:0.09705882352941177 11:0.08529411764705883 8:0.061764705882352944 10:0.061764705882352944 3:0.05 1:0.03823529411764706 4:0.014705882352941176 12:0.0029411764705882353 13:0.0029411764705882353 14:0.0029411764705882353 15:0.0029411764705882353 16:0.0029411764705882353 18:0.0029411764705882353 0:0.0029411764705882353 5:0.0029411764705882353 6:0.0029411764705882353 7:0.0029411764705882353 9:0.0029411764705882353
AP890109-0274 7:0.3502604166666667 17:0.15234375 10:0.13671875 2:0.11067708333333333 1:0.08463541666666667 3:0.053385416666666664 9:0.02734375 14:0.022135416666666668 12:0.016927083333333332 19:0.016927083333333332 18:0.01171875 5:0.006510416666666667 11:0.0013020833333333333 13:0.0013020833333333333 15:0.0013020833333333333 16:0.0013020833333333333 0:0.0013020833333333333 4:0.0013020833333333333 6:0.0013020833333333333 8:0.0013020833333333333
AP890110-0090 15:0.25892857142857145 8:0.25892857142857145 3:0.1597222222222222 4:0.12003968253968254 0:0.10416666666666667 14:0.03273809523809524 2:0.0248015873015873 5:0.0248015873015873 1:0.00496031746031746 11:9.92063492063492E-4 12:9.92063492063492E-4 13:9.92063492063492E-4 16:9.92063492063492E-4 17:9.92063492063492E-4 18:9.92063492063492E-4 19:9.92063492063492E-4 6:9.92063492063492E-4 7:9.92063492063492E-4 9:9.92063492063492E-4 10:9.92063492063492E-4
AP890111-0068 2:0.3453125 1:0.2328125 8:0.1203125 0:0.0578125 7:0.0453125 9:0.0453125 19:0.0390625 3:0.0390625 17:0.0328125 4:0.0265625 11:0.0015625 12:0.0015625 13:0.0015625 14:0.0015625 15:0.0015625 16:0.0015625 18:0.0015625 5:0.0015625 6:0.0015625 10:0.0015625
AP890111-0168 10:0.3386752136752137 14:0.2361111111111111 3:0.125 1:0.10363247863247864 18:0.056623931623931624 12:0.0438034188034188 13:0.026709401709401708 2:0.022435897435897436 7:0.013888888888888888 8:0.009615384615384616 15:0.005341880341880342 5:0.005341880341880342 6:0.005341880341880342 11:0.0010683760683760685 16:0.0010683760683760685 17:0.0010683760683760685 19:0.0010683760683760685 0:0.0010683760683760685 4:0.0010683760683760685 9:0.0010683760683760685
AP890112-0087 7:0.5337837837837838 13:0.10135135135135136 2:0.08333333333333333 8:0.08333333333333333 14:0.06531531531531531 4:0.038288288288288286 12:0.02027027027027027 1:0.02027027027027027 3:0.02027027027027027 0:0.01126126126126126 11:0.0022522522522522522 15:0.0022522522522522522 16:0.0022522522522522522 17:0.0022522522522522522 18:0.0022522522522522522 19:0.0022522522522522522 5:0.0022522522522522522 6:0.0022522522522522522 9:0.0022522522522522522 10:0.0022522522522522522
AP890112-0097 4:0.25183823529411764 9:0.20772058823529413 2:0.14154411764705882 17:0.12683823529411764 8:0.11948529411764706 19:0.04595588235294118 7:0.03125 1:0.02389705882352941 14:0.009191176470588236 0:0.009191176470588236 6:0.009191176470588236 10:0.009191176470588236 11:0.001838235294117647 12:0.001838235294117647 13:0.001838235294117647 15:0.001838235294117647 16:0.001838235294117647 18:0.001838235294117647 3:0.001838235294117647 5:0.001838235294117647
AP890113-0230 9:0.4307324840764331 6:0.1409235668789809 7:0.11544585987261147 3:0.08678343949044585 12:0.08359872611464968 17:0.058121019108280256 2:0.058121019108280256 16:0.016719745222929936 11:7.961783439490446E-4 13:7.961783439490446E-4 14:7.961783439490446E-4 15:7.961783439490446E-4 18:7.961783439490446E-4 19:7.961783439490446E-4 0:7.961783439490446E-4 1:7.961783439490446E-4 4:7.961783439490446E-4 5:7.961783439490446E-4 8:7.961783439490446E-4 10:7.961783439490446E-4
AP890115-0005 19:0.9631438721136767 9:0.009325044404973356 1:0.007548845470692718 5:0.003996447602131439 17:0.002220248667850799 0:0.002220248667850799 4:0.002220248667850799 7:0.002220248667850799 10:0.002220248667850799 11:4.440497335701599E-4 12:4.440497335701599E-4 13:4.440497335701599E-4 14:4.440497335701599E-4 15:4.440497335701599E-4 16:4.440497335701599E-4 18:4.440497335701599E-4 2:4.440497335701599E-4 3:4.440497335701599E-4 6:4.440497335701599E-4 8:4.440497335701599E-4
AP890115-0013 5:0.25914634146341464 12:0.19817073170731708 11:0.14939024390243902 14:0.125 17:0.06402439024390244 0:0.051829268292682924 3:0.039634146341463415 9:0.027439024390243903 19:0.01524390243902439 1:0.01524390243902439 2:0.01524390243902439 7:0.01524390243902439 13:0.003048780487804878 15:0.003048780487804878 16:0.003048780487804878 18:0.003048780487804878 4:0.003048780487804878 6:0.003048780487804878 8:0.003048780487804878 10:0.003048780487804878
AP890116-0018 18:0.32142857142857145 3:0.2602040816326531 13:0.14358600583090378 6:0.11443148688046648 2:0.06486880466472303 16:0.018221574344023325 19:0.018221574344023325 5:0.015306122448979591 12:0.009475218658892129 8:0.009475218658892129 14:0.006559766763848397 17:0.006559766763848397 0:0.0036443148688046646 1:0.0036443148688046646 11:7.288629737609329E-4 15:7.288629737609329E-4 4:7.288629737609329E-4 7:7.288629737609329E-4 9:7.288629737609329E-4 10:7.288629737609329E-4
AP890116-0052 19:0.9761178861788617 1:0.004573170731707317 10:0.004573170731707317 13:0.002540650406504065 17:0.002540650406504065 9:0.002540650406504065 11:5.081300813008131E-4 12:5.081300813008131E-4 14:5.081300813008131E-4 15:5.081300813008131E-4 16:5.081300813008131E-4 18:5.081300813008131E-4 0:5.081300813008131E-4 2:5.081300813008131E-4 3:5.081300813008131E-4 4:5.081300813008131E-4 5:5.081300813008131E-4 6:5.081300813008131E-4 7:5.081300813008131E-4 8:5.081300813008131E-4
AP890116-0182 19:0.32142857142857145 2:0.25877192982456143 7:0.12844611528822056 3:0.09085213032581453 14:0.045739348370927316 13:0.040726817042606514 1:0.02819548872180451 18:0.023182957393483708 0:0.023182957393483708 10:0.013157894736842105 11:0.010651629072681704 6:0.008145363408521303 15:0.003132832080200501 12:6.265664160401002E-4 16:6.265664160401002E-4 17:6.265664160401002E-4 4:6.265664160401002E-4 5:6.265664160401002E-4 8:6.265664160401002E-4 9:6.265664160401002E-4
AP890118-0009 2:0.328125 1:0.278125 10:0.090625 19:0.053125 9:0.053125 0:0.040625 13:0.028125 7:0.028125 8:0.028125 11:0.015625 12:0.015625 14:0.015625 15:0.003125 16:0.003125 17:0.003125 18:0.003125 3:0.003125 4:0.003125 5:0.003125 6:0.003125
AP890118-0118 13:0.18373493975903615 3:0.13795180722891567 6:0.1210843373493976 16:0.10421686746987951 2:0.09457831325301205 14:0.08734939759036145 19:0.0608433734939759 11:0.04156626506024096 18:0.031927710843373494 4:0.029518072289156625 8:0.02469879518072289 9:0.022289156626506025 10:0.022289156626506025 17:0.015060240963855422 15:0.00783132530120482 0:0.005421686746987952 12:0.0030120481927710845 1:0.0030120481927710845 7:0.0030120481927710845 5:6.024096385542169E-4
AP890119-0010 9:0.4307324840764331 6:0.125 7:0.11226114649681529 17:0.08359872611464968 2:0.0804140127388535 3:0.07722929936305732 12:0.06130573248407643 16:0.013535031847133758 5:0.007165605095541401 11:7.961783439490446E-4 13:7.961783439490446E-4 14:7.961783439490446E-4 15:7.961783439490446E-4 18:7.961783439490446E-4 19:7.961783439490446E-4 0:7.961783439490446E-4 1:7.961783439490446E-4 4:7.961783439490446E-4 8:7.961783439490446E-4 10:7.961783439490446E-4
AP890119-0044 13:0.2044642857142857 6:0.19375 10:0.14017857142857143 3:0.11160714285714286 14:0.09017857142857143 4:0.054464285714285715 1:0.04375 9:0.04375 11:0.033035714285714286 2:0.022321428571428572 8:0.01875 16:0.011607142857142858 17:0.008035714285714285 7:0.008035714285714285 15:0.004464285714285714 19:0.004464285714285714 0:0.004464285714285714 12:8.928571428571428E-4 18:8.928571428571428E-4 5:8.928571428571428E-4
AP890119-0097 7:0.4571129707112971 2:0.10564853556485355 13:0.08891213389121339 10:0.08472803347280335 8:0.05543933054393305 9:0.04707112970711297 17:0.04288702928870293 6:0.030334728033472803 19:0.02615062761506276 3:0.021966527196652718 4:0.01778242677824268 14:0.009414225941422594 18:0.005230125523012552 11:0.0010460251046025104 12:0.0010460251046025104 15:0.0010460251046025104 16:0.0010460251046025104 0:0.0010460251046025104 1:0.0010460251046025104 5:0.0010460251046025104
AP890119-0152 10:0.41492146596858637 3:0.30497382198952877 9:0.06413612565445026 18:0.04842931937172775 12:0.04319371727748691 13:0.04319371727748691 1:0.017015706806282723 14:0.011780104712041885 19:0.011780104712041885 7:0.011780104712041885 8:0.011780104712041885 0:0.006544502617801047 11:0.0013089005235602095 15:0.0013089005235602095 16:0.0013089005235602095 17:0.0013089005235602095 2:0.0013089005235602095 4:0.0013089005235602095 5:0.0013089005235602095 6:0.0013089005235602095
AP890119-0226 7:0.521875 2:0.13854166666666667 3:0.13854166666666667 13:0.05520833333333333 10:0.051041666666666666 1:0.03854166666666667 17:0.017708333333333333 19:0.009375 12:0.005208333333333333 14:0.005208333333333333 0:0.005208333333333333 6:0.005208333333333333 11:0.0010416666666666667 15:0.0010416666666666667 16:0.0010416666666666667 18:0.0010416666666666667 4:0.0010416666666666667 5:0.0010416666666666667 8:0.0010416666666666667 9:0.0010416666666666667
AP890119-0239 1:0.289568345323741 16:0.11690647482014388 8:0.11690647482014388 7:0.0737410071942446 4:0.06654676258992806 3:0.05935251798561151 10:0.05935251798561151 13:0.052158273381294966 14:0.044964028776978415 18:0.03776978417266187 6:0.030575539568345324 12:0.01618705035971223 2:0.01618705035971223 9:0.008992805755395683 11:0.0017985611510791368 15:0.0017985611510791368 17:0.0017985611510791368 19:0.0017985611510791368 0:0.0017985611510791368 5:0.0017985611510791368
AP890119-0244 10:0.25788288288288286 2:0.15878378378378377 17:0.12725225225225226 11:0.08671171171171171 9:0.08671171171171171 19:0.08220720720720721 18:0.0731981981981982 6:0.03265765765765766 16:0.028153153153153154 12:0.01463963963963964 13:0.01463963963963964 7:0.01463963963963964 14:0.00563063063063063 15:0.00563063063063063 8:0.00563063063063063 0:0.0011261261261261261 1:0.0011261261261261261 3:0.0011261261261261261 4:0.0011261261261261261 5:0.0011261261261261261
AP890120-0002 2:0.3330945558739255 11:0.1353868194842407 10:0.12679083094555874 6:0.0666189111747851 14:0.06375358166189111 19:0.0494269340974212 1:0.04369627507163324 4:0.03796561604584527 8:0.03796561604584527 9:0.029369627507163324 7:0.02650429799426934 3:0.01504297994269341 12:0.012177650429799427 16:0.0064469914040114614 17:0.0035816618911174787 18:0.0035816618911174787 0:0.0035816618911174787 5:0.0035816618911174787 13:7.163323782234957E-4 15:7.163323782234957E-4
AP890120-0005 11:0.49438902743142144 2:0.3322942643391521 18:0.1327930174563591 17:0.01059850374064838 3:0.01059850374064838 19:0.005610972568578554 15:0.003117206982543641 4:0.003117206982543641 12:6.234413965087282E-4 13:6.234413965087282E-4 14:6.234413965087282E-4 16:6.234413965087282E-4 0:6.234413965087282E-4 1:6.234413965087282E-4 5:6.234413965087282E-4 6:6.234413965087282E-4 7:6.234413965087282E-4 8:6.234413965087282E-4 9:6.234413965087282E-4 10:6.234413965087282E-4
AP890120-0010 18:0.41487068965517243 6:0.2209051724137931 3:0.1648706896551724 10:0.08297413793103449 2:0.03987068965517242 9:0.02693965517241379 14:0.014008620689655173 12:0.009698275862068966 17:0.005387931034482759 19:0.005387931034482759 5:0.005387931034482759 11:0.0010775862068965517 13:0.0010775862068965517 15:0.0010775862068965517 16:0.0010775862068965517 0:0.0010775862068965517 1:0.0010775862068965517 4:0.0010775862068965517 7:0.0010775862068965517 8:0.0010775862068965517
AP890120-0029 3:0.2627551020408163 5:0.2389455782312925 1:0.23214285714285715 18:0.07908163265306123 0:0.03826530612244898 10:0.03486394557823129 13:0.02465986394557823 14:0.02465986394557823 15:0.017857142857142856 2:0.017857142857142856 16:0.01445578231292517 6:0.007653061224489796 11:8.503401360544217E-4 12:8.503401360544217E-4 17:8.503401360544217E-4 19:8.503401360544217E-4 4:8.503401360544217E-4 7:8.503401360544217E-4 8:8.503401360544217E-4 9:8.503401360544217E-4
AP890120-0066 14:0.3381578947368421 7:0.16973684210526316 3:0.15921052631578947 10:0.12236842105263158 2:0.1013157894736842 8:0.02763157894736842 13:0.02236842105263158 19:0.017105263157894738 12:0.011842105263157895 16:0.006578947368421052 4:0.006578947368421052 5:0.006578947368421052 11:0.0013157894736842105 15:0.0013157894736842105 17:0.0013157894736842105 18:0.0013157894736842105 0:0.0013157894736842105 1:0.0013157894736842105 6:0.0013157894736842105 9:0.0013157894736842105
AP890120-0100 7:0.45300751879699247 2:0.2274436090225564 14:0.09210526315789473 1:0.06954887218045112 3:0.05451127819548872 15:0.046992481203007516 6:0.016917293233082706 5:0.009398496240601503 9:0.009398496240601503 11:0.0018796992481203006 12:0.0018796992481203006 13:0.0018796992481203006 16:0.0018796992481203006 17:0.0018796992481203006 18:0.0018796992481203006 19:0.0018796992481203006 0:0.0018796992481203006 4:0.0018796992481203006 8:0.0018796992481203006 10:0.0018796992481203006
AP890120-0123 18:0.414568345323741 6:0.19154676258992806 3:0.16636690647482014 10:0.13758992805755396 0:0.029676258992805755 16:0.022482014388489208 15:0.011690647482014389 12:0.008093525179856115 2:0.0044964028776978415 8:0.0044964028776978415 11:8.992805755395684E-4 13:8.992805755395684E-4 14:8.992805755395684E-4 17:8.992805755395684E-4 19:8.992805755395684E-4 1:8.992805755395684E-4 4:8.992805755395684E-4 5:8.992805755395684E-4 7:8.992805755395684E-4 9:8.992805755395684E-4
AP890120-0204 11:0.504079254079254 2:0.3315850815850816 18:0.10314685314685315 3:0.0168997668997669 17:0.014568764568764568 8:0.009906759906759906 19:0.007575757575757576 0:0.005244755244755245 12:5.827505827505828E-4 13:5.827505827505828E-4 14:5.827505827505828E-4 15:5.827505827505828E-4 16:5.827505827505828E-4 1:5.827505827505828E-4 4:5.827505827505828E-4 5:5.827505827505828E-4 6:5.827505827505828E-4 7:5.827505827505828E-4 9:5.827505827505828E-4 10:5.827505827505828E-4
AP890120-0233 18:0.17415169660678642 11:0.1721556886227545 2:0.1342315369261477 6:0.10429141716566866 3:0.09431137724550898 13:0.08832335329341318 19:0.07035928143712575 1:0.03842315369261477 10:0.03842315369261477 9:0.030439121756487025 7:0.026447105788423155 12:0.018463073852295408 17:0.004491017964071856 4:0.00249500998003992 14:4.99001996007984E-4 15:4.99001996007984E-4 16:4.99001996007984E-4 0:4.99001996007984E-4 5:4.99001996007984E-4 8:4.99001996007984E-4
AP890120-0256 18:0.3805084745762712 3:0.23813559322033898 6:0.2076271186440678 10:0.08898305084745763 5:0.03135593220338983 14:0.011016949152542373 16:0.011016949152542373 2:0.011016949152542373 15:0.00423728813559322 8:0.00423728813559322 9:0.00423728813559322 11:8.47457627118644E-4 12:8.47457627118644E-4 13:8.47457627118644E-4 17:8.47457627118644E-4 19:8.47457627118644E-4 0:8.47457627118644E-4 1:8.47457627118644E-4 4:8.47457627118644E-4 7:8.47457627118644E-4
AP890121-0008 8:0.721551724137931 2:0.13189655172413794 3:0.03189655172413793 13:0.028448275862068967 4:0.028448275862068967 17:0.014655172413793103 6:0.011206896551724138 10:0.011206896551724138 1:0.007758620689655172 18:0.004310344827586207 11:8.620689655172414E-4 12:8.620689655172414E-4 14:8.620689655172414E-4 15:8.620689655172414E-4 16:8.620689655172414E-4 19:8.620689655172414E-4 0:8.620689655172414E-4 5:8.620689655172414E-4 7:8.620689655172414E-4 9:8.620689655172414E-4
AP890122-0052 1:0.5155367231638418 7:0.22175141242937854 2:0.09745762711864407 8:0.0692090395480226 17:0.029661016949152543 14:0.02401129943502825 4:0.012711864406779662 5:0.007062146892655367 6:0.007062146892655367 11:0.0014124293785310734 12:0.0014124293785310734 13:0.0014124293785310734 15:0.0014124293785310734 16:0.0014124293785310734 18:0.0014124293785310734 19:0.0014124293785310734 0:0.0014124293785310734 3:0.0014124293785310734 9:0.0014124293785310734 10:0.0014124293785310734
AP890123-0008 1:0.28872282608695654 12:0.16915760869565216 10:0.09850543478260869 2:0.09578804347826086 19:0.06046195652173913 3:0.05502717391304348 13:0.049592391304347824 7:0.044157608695652176 11:0.025135869565217392 15:0.025135869565217392 9:0.022418478260869564 0:0.016983695652173912 14:0.014266304347826086 17:0.014266304347826086 6:0.014266304347826086 18:0.0033967391304347825 16:6.793478260869565E-4 4:6.793478260869565E-4 5:6.793478260869565E-4 8:6.793478260869565E-4
AP890124-0097 3:0.21220930232558138 4:0.2005813953488372 12:0.16569767441860464 1:0.16569767441860464 8:0.11918604651162791 14:0.04941860465116279 2:0.02616279069767442 0:0.014534883720930232 5:0.014534883720930232 11:0.0029069767441860465 13:0.0029069767441860465 15:0.0029069767441860465 16:0.0029069767441860465 17:0.0029069767441860465 18:0.0029069767441860465 19:0.0029069767441860465 6:0.0029069767441860465 7:0.0029069767441860465 9:0.0029069767441860465 10:0.0029069767441860465
AP890124-0153 18:0.5374015748031497 3:0.2933070866141732 14:0.04921259842519685 15:0.04133858267716536 13:0.00984251968503937 16:0.00984251968503937 17:0.00984251968503937 2:0.00984251968503937 4:0.00984251968503937 7:0.00984251968503937 11:0.001968503937007874 12:0.001968503937007874 19:0.001968503937007874 0:0.001968503937007874 1:0.001968503937007874 5:0.001968503937007874 6:0.001968503937007874 8:0.001968503937007874 9:0.001968503937007874 10:0.001968503937007874
AP890124-0205 7:0.33974358974358976 17:0.2423076923076923 12:0.1346153846153846 3:0.08846153846153847 0:0.06282051282051282 1:0.04230769230769231 8:0.026923076923076925 2:0.021794871794871794 19:0.011538461538461539 13:0.00641025641025641 15:0.00641025641025641 6:0.00641025641025641 11:0.001282051282051282 14:0.001282051282051282 16:0.001282051282051282 18:0.001282051282051282 4:0.001282051282051282 5:0.001282051282051282 9:0.001282051282051282 10:0.001282051282051282
