AP890103-0110 12:0.2755681818181818 0:0.2528409090909091 11:0.13920454545454544 4:0.10511363636363637 3:0.09375 1:0.048295454545454544 2:0.02556818181818182 17:0.014204545454545454 9:0.014204545454545454 13:0.002840909090909091 14:0.002840909090909091 15:0.002840909090909091 16:0.002840909090909091 18:0.002840909090909091 19:0.002840909090909091 5:0.002840909090909091 6:0.002840909090909091 7:0.002840909090909091 8:0.002840909090909091 10:0.002840909090909091
AP890106-0152 15:0.39824120603015073 12:0.22738693467336685 1:0.13190954773869346 9:0.07160804020100503 6:0.04648241206030151 7:0.0364321608040201 16:0.031407035175879394 19:0.026381909547738693 14:0.011306532663316583 3:0.00628140703517588 11:0.001256281407035176 13:0.001256281407035176 17:0.001256281407035176 18:0.001256281407035176 0:0.001256281407035176 2:0.001256281407035176 4:0.001256281407035176 5:0.001256281407035176 8:0.001256281407035176 10:0.001256281407035176
AP890106-0154 16:0.5324773413897281 1:0.17900302114803626 8:0.14274924471299094 4:0.07628398791540786 9:0.024924471299093656 11:0.0188821752265861 14:0.006797583081570997 0:0.006797583081570997 15:0.0037764350453172208 12:7.552870090634441E-4 13:7.552870090634441E-4 17:7.552870090634441E-4 18:7.552870090634441E-4 19:7.552870090634441E-4 2:7.552870090634441E-4 3:7.552870090634441E-4 5:7.552870090634441E-4 6:7.552870090634441E-4 7:7.552870090634441E-4 10:7.552870090634441E-4
AP890107-0015 14:0.465311004784689 1:0.2930622009569378 5:0.08253588516746412 6:0.05861244019138756 11:0.05382775119617225 9:0.02033492822966507 3:0.005980861244019139 8:0.005980861244019139 12:0.0011961722488038277 13:0.0011961722488038277 15:0.0011961722488038277 16:0.0011961722488038277 17:0.0011961722488038277 18:0.0011961722488038277 19:0.0011961722488038277 0:0.0011961722488038277 2:0.0011961722488038277 4:0.0011961722488038277 7:0.0011961722488038277 10:0.0011961722488038277
AP890107-0030 14:0.4252411575562701 4:0.11334405144694534 9:0.0972668810289389 0:0.09405144694533762 6:0.05546623794212219 12:0.0522508038585209 1:0.04260450160771704 15:0.0297427652733119 16:0.02652733118971061 18:0.02652733118971061 3:0.01045016077170418 11:0.007234726688102894 5:0.007234726688102894 7:0.007234726688102894 13:8.038585209003215E-4 17:8.038585209003215E-4 19:8.038585209003215E-4 2:8.038585209003215E-4 8:8.038585209003215E-4 10:8.038585209003215E-4
AP890107-0039 14:0.48462566844919786 1:0.13703208556149732 0:0.10762032085561497 16:0.056818181818181816 4:0.038101604278074866 11:0.032754010695187165 12:0.030080213903743314 9:0.030080213903743314 7:0.027406417112299464 5:0.024732620320855617 6:0.022058823529411766 13:0.0033422459893048127 15:6.684491978609625E-4 17:6.684491978609625E-4 18:6.684491978609625E-4 19:6.684491978609625E-4 2:6.684491978609625E-4 3:6.684491978609625E-4 8:6.684491978609625E-4 10:6.684491978609625E-4
AP890107-0049 16:0.4712543554006969 1:0.17857142857142858 4:0.16463414634146342 8:0.10888501742160278 9:0.039198606271777 11:0.0078397212543554 17:0.0078397212543554 12:0.004355400696864111 14:0.004355400696864111 10:0.004355400696864111 13:8.710801393728223E-4 15:8.710801393728223E-4 18:8.710801393728223E-4 19:8.710801393728223E-4 0:8.710801393728223E-4 2:8.710801393728223E-4 3:8.710801393728223E-4 5:8.710801393728223E-4 6:8.710801393728223E-4 7:8.710801393728223E-4
AP890107-0051 14:0.6525974025974026 1:0.10714285714285714 9:0.06818181818181818 18:0.04220779220779221 5:0.04220779220779221 11:0.02922077922077922 17:0.016233766233766232 12:0.003246753246753247 13:0.003246753246753247 15:0.003246753246753247 16:0.003246753246753247 19:0.003246753246753247 0:0.003246753246753247 2:0.003246753246753247 3:0.003246753246753247 4:0.003246753246753247 6:0.003246753246753247 7:0.003246753246753247 8:0.003246753246753247 10:0.003246753246753247
AP890107-0054 14:0.41694630872483224 1:0.12835570469798657 7:0.12164429530201343 6:0.08137583892617449 15:0.051174496644295304 11:0.034395973154362415 3:0.03104026845637584 17:0.027684563758389263 2:0.024328859060402684 0:0.02097315436241611 12:0.014261744966442953 9:0.014261744966442953 10:0.010906040268456376 8:0.007550335570469799 13:0.0041946308724832215 16:0.0041946308724832215 5:0.0041946308724832215 18:8.389261744966443E-4 19:8.389261744966443E-4 4:8.389261744966443E-4
AP890107-0067 12:0.3821271929824561 9:0.1474780701754386 0:0.13212719298245615 6:0.12116228070175439 4:0.09703947368421052 19:0.022478070175438597 1:0.015899122807017545 11:0.013706140350877192 16:0.013706140350877192 2:0.013706140350877192 14:0.011513157894736841 3:0.00712719298245614 13:0.004934210526315789 18:0.004934210526315789 7:0.004934210526315789 17:0.0027412280701754384 8:0.0027412280701754384 15:5.482456140350877E-4 5:5.482456140350877E-4 10:5.482456140350877E-4
AP890109-0090 12:0.23743718592964824 19:0.21733668341708542 13:0.15201005025125627 1:0.10678391959798995 9:0.08668341708542714 10:0.05150753768844221 14:0.0364321608040201 7:0.031407035175879394 4:0.02135678391959799 11:0.016331658291457288 0:0.016331658291457288 17:0.00628140703517588 2:0.00628140703517588 6:0.00628140703517588 15:0.001256281407035176 16:0.001256281407035176 18:0.001256281407035176 3:0.001256281407035176 5:0.001256281407035176 8:0.001256281407035176
AP890109-0114 10:0.5314207650273224 3:0.23087431693989072 13:0.056010928961748634 11:0.028688524590163935 7:0.028688524590163935 0:0.023224043715846996 2:0.023224043715846996 5:0.017759562841530054 1:0.012295081967213115 15:0.006830601092896175 17:0.006830601092896175 19:0.006830601092896175 4:0.006830601092896175 8:0.006830601092896175 9:0.006830601092896175 12:0.001366120218579235 14:0.001366120218579235 16:0.001366120218579235 18:0.001366120218579235 6:0.001366120218579235
AP890109-0155 7:0.3855140186915888 18:0.24532710280373832 1:0.11448598130841121 9:0.06775700934579439 13:0.04906542056074766 2:0.04906542056074766 5:0.030373831775700934 17:0.02102803738317757 6:0.011682242990654205 11:0.002336448598130841 12:0.002336448598130841 14:0.002336448598130841 15:0.002336448598130841 16:0.002336448598130841 19:0.002336448598130841 0:0.002336448598130841 3:0.002336448598130841 4:0.002336448598130841 8:0.002336448598130841 10:0.002336448598130841
AP890109-0246 14:0.31629834254143646 9:0.21132596685082872 6:0.1505524861878453 1:0.11740331491712708 2:0.08425414364640885 17:0.029005524861878452 16:0.017955801104972375 8:0.017955801104972375 0:0.012430939226519336 3:0.012430939226519336 13:0.006906077348066298 15:0.006906077348066298 4:0.006906077348066298 11:0.0013812154696132596 12:0.0013812154696132596 18:0.0013812154696132596 19:0.0013812154696132596 5:0.0013812154696132596 7:0.0013812154696132596 10:0.0013812154696132596
AP890109-0281 2:0.39070680628272253 9:0.2912303664921466 6:0.14725130890052357 17:0.045157068062827224 18:0.03992146596858639 12:0.021596858638743454 1:0.018979057591623036 13:0.016361256544502618 14:0.01112565445026178 7:0.0058900523560209425 5:0.0032722513089005235 10:0.0032722513089005235 11:6.544502617801048E-4 15:6.544502617801048E-4 16:6.544502617801048E-4 19:6.544502617801048E-4 0:6.544502617801048E-4 3:6.544502617801048E-4 4:6.544502617801048E-4 8:6.544502617801048E-4
AP890109-0334 11:0.4157608695652174 19:0.25271739130434784 1:0.07880434782608696 6:0.07880434782608696 2:0.06793478260869565 9:0.035326086956521736 7:0.024456521739130436 10:0.01358695652173913 12:0.002717391304347826 13:0.002717391304347826 14:0.002717391304347826 15:0.002717391304347826 16:0.002717391304347826 17:0.002717391304347826 18:0.002717391304347826 0:0.002717391304347826 3:0.002717391304347826 4:0.002717391304347826 5:0.002717391304347826 8:0.002717391304347826
AP890110-0006 16:0.20192307692307693 1:0.19423076923076923 3:0.18653846153846154 4:0.17115384615384616 11:0.06346153846153846 10:0.05576923076923077 14:0.04807692307692308 13:0.025 7:0.025 5:0.009615384615384616 12:0.0019230769230769232 15:0.0019230769230769232 17:0.0019230769230769232 18:0.0019230769230769232 19:0.0019230769230769232 0:0.0019230769230769232 2:0.0019230769230769232 6:0.0019230769230769232 8:0.0019230769230769232 9:0.0019230769230769232
AP890110-0059 2:0.4173076923076923 18:0.25576923076923075 6:0.07884615384615384 17:0.06346153846153846 15:0.04038461538461539 5:0.04038461538461539 7:0.025 9:0.01730769230769231 10:0.01730769230769231 12:0.009615384615384616 13:0.009615384615384616 19:0.009615384615384616 11:0.0019230769230769232 14:0.0019230769230769232 16:0.0019230769230769232 0:0.0019230769230769232 1:0.0019230769230769232 3:0.0019230769230769232 4:0.0019230769230769232 8:0.0019230769230769232
AP890110-0066 2:0.2326923076923077 17:0.2173076923076923 6:0.1326923076923077 12:0.10961538461538461 19:0.10192307692307692 7:0.07884615384615384 11:0.06346153846153846 13:0.009615384615384616 18:0.009615384615384616 0:0.009615384615384616 1:0.009615384615384616 5:0.009615384615384616 14:0.0019230769230769232 15:0.0019230769230769232 16:0.0019230769230769232 3:0.0019230769230769232 4:0.0019230769230769232 8:0.0019230769230769232 9:0.0019230769230769232 10:0.0019230769230769232
AP890110-0083 8:0.5481418918918919 7:0.10557432432432433 3:0.06841216216216216 13:0.05827702702702703 1:0.05152027027027027 0:0.04814189189189189 16:0.03125 10:0.03125 9:0.017736486486486486 11:0.007601351351351352 18:0.007601351351351352 2:0.007601351351351352 12:0.004222972972972973 17:0.004222972972972973 4:0.004222972972972973 14:8.445945945945946E-4 15:8.445945945945946E-4 19:8.445945945945946E-4 5:8.445945945945946E-4 6:8.445945945945946E-4
AP890110-0102 5:0.375 17:0.14919354838709678 6:0.13306451612903225 7:0.11693548387096774 1:0.06854838709677419 11:0.05241935483870968 18:0.036290322580645164 4:0.020161290322580645 12:0.004032258064516129 13:0.004032258064516129 14:0.004032258064516129 15:0.004032258064516129 16:0.004032258064516129 19:0.004032258064516129 0:0.004032258064516129 2:0.004032258064516129 3:0.004032258064516129 8:0.004032258064516129 9:0.004032258064516129 10:0.004032258064516129
AP890110-0140 10:0.5191176470588236 13:0.09558823529411764 9:0.0661764705882353 11:0.060294117647058824 17:0.04264705882352941 19:0.04264705882352941 15:0.03676470588235294 12:0.030882352941176472 16:0.030882352941176472 1:0.030882352941176472 0:0.013235294117647059 2:0.013235294117647059 3:0.007352941176470588 14:0.0014705882352941176 18:0.0014705882352941176 4:0.0014705882352941176 5:0.0014705882352941176 6:0.0014705882352941176 7:0.0014705882352941176 8:0.0014705882352941176
AP890110-0190 8:0.5717105263157894 1:0.11644736842105263 16:0.09276315789473684 0:0.05855263157894737 4:0.045394736842105265 9:0.0375 2:0.026973684210526316 7:0.026973684210526316 12:0.0059210526315789476 18:0.0059210526315789476 11:0.003289473684210526 17:0.003289473684210526 13:6.578947368421052E-4 14:6.578947368421052E-4 15:6.578947368421052E-4 19:6.578947368421052E-4 3:6.578947368421052E-4 5:6.578947368421052E-4 6:6.578947368421052E-4 10:6.578947368421052E-4
AP890110-0228 6:0.37163978494623656 18:0.17809139784946237 9:0.17540322580645162 7:0.07862903225806452 1:0.05981182795698925 17:0.03293010752688172 2:0.03293010752688172 19:0.02217741935483871 0:0.019489247311827957 15:0.0114247311827957 3:0.006048387096774193 4:0.003360215053763441 8:0.003360215053763441 11:6.720430107526882E-4 12:6.720430107526882E-4 13:6.720430107526882E-4 14:6.720430107526882E-4 16:6.720430107526882E-4 5:6.720430107526882E-4 10:6.720430107526882E-4
AP890111-0045 3:0.3026315789473684 4:0.18984962406015038 12:0.11466165413533834 10:0.09962406015037593 1:0.06203007518796992 0:0.046992481203007516 7:0.046992481203007516 14:0.039473684210526314 19:0.03195488721804511 5:0.016917293233082706 6:0.016917293233082706 11:0.009398496240601503 13:0.009398496240601503 15:0.0018796992481203006 16:0.0018796992481203006 17:0.0018796992481203006 18:0.0018796992481203006 2:0.0018796992481203006 8:0.0018796992481203006 9:0.0018796992481203006
AP890111-0054 10:0.38825757575757575 16:0.16856060606060605 11:0.0928030303030303 1:0.08522727272727272 19:0.07765151515151515 12:0.0625 15:0.0625 18:0.017045454545454544 4:0.017045454545454544 9:0.00946969696969697 13:0.001893939393939394 14:0.001893939393939394 17:0.001893939393939394 0:0.001893939393939394 2:0.001893939393939394 3:0.001893939393939394 5:0.001893939393939394 6:0.001893939393939394 7:0.001893939393939394 8:0.001893939393939394
AP890111-0103 14:0.3169291338582677 1:0.27755905511811024 11:0.1515748031496063 9:0.06496062992125984 2:0.05708661417322835 8:0.05708661417322835 4:0.03346456692913386 0:0.017716535433070866 12:0.001968503937007874 13:0.001968503937007874 15:0.001968503937007874 16:0.001968503937007874 17:0.001968503937007874 18:0.001968503937007874 19:0.001968503937007874 3:0.001968503937007874 5:0.001968503937007874 6:0.001968503937007874 7:0.001968503937007874 10:0.001968503937007874
AP890111-0228 9:0.2819488817891374 6:0.2659744408945687 18:0.2340255591054313 12:0.07108626198083066 2:0.05511182108626198 11:0.019968051118210862 1:0.019968051118210862 17:0.010383386581469648 3:0.010383386581469648 7:0.010383386581469648 15:0.00718849840255591 19:0.003993610223642172 4:0.003993610223642172 13:7.987220447284345E-4 14:7.987220447284345E-4 16:7.987220447284345E-4 0:7.987220447284345E-4 5:7.987220447284345E-4 8:7.987220447284345E-4 10:7.987220447284345E-4
AP890112-0059 3:0.650974025974026 1:0.137987012987013 10:0.07954545454545454 5:0.05357142857142857 7:0.027597402597402596 9:0.01461038961038961 12:0.008116883116883116 6:0.008116883116883116 11:0.0016233766233766235 13:0.0016233766233766235 14:0.0016233766233766235 15:0.0016233766233766235 16:0.0016233766233766235 17:0.0016233766233766235 18:0.0016233766233766235 19:0.0016233766233766235 0:0.0016233766233766235 2:0.0016233766233766235 4:0.0016233766233766235 8:0.0016233766233766235
AP890112-0080 8:0.38576158940397354 1:0.2731788079470199 16:0.20695364238410596 0:0.048013245033112585 5:0.02152317880794702 12:0.014900662251655629 18:0.014900662251655629 4:0.014900662251655629 11:0.0016556291390728477 13:0.0016556291390728477 14:0.0016556291390728477 15:0.0016556291390728477 17:0.0016556291390728477 19:0.0016556291390728477 2:0.0016556291390728477 3:0.0016556291390728477 6:0.0016556291390728477 7:0.0016556291390728477 9:0.0016556291390728477 10:0.0016556291390728477
AP890112-0122 19:0.37943786982248523 10:0.1812130177514793 1:0.11612426035502958 9:0.09541420118343195 11:0.059911242603550297 16:0.036242603550295856 13:0.03328402366863906 8:0.027366863905325445 5:0.021449704142011833 12:0.015532544378698224 0:0.015532544378698224 14:0.006656804733727811 18:0.0036982248520710057 2:0.0036982248520710057 15:7.396449704142012E-4 17:7.396449704142012E-4 3:7.396449704142012E-4 4:7.396449704142012E-4 6:7.396449704142012E-4 7:7.396449704142012E-4
AP890113-0073 8:0.3409090909090909 16:0.2015151515151515 1:0.18333333333333332 12:0.12272727272727273 9:0.05 5:0.031818181818181815 14:0.019696969696969695 11:0.007575757575757576 13:0.007575757575757576 17:0.007575757575757576 2:0.007575757575757576 4:0.007575757575757576 15:0.0015151515151515152 18:0.0015151515151515152 19:0.0015151515151515152 0:0.0015151515151515152 3:0.0015151515151515152 6:0.0015151515151515152 7:0.0015151515151515152 10:0.0015151515151515152
AP890113-0214 17:0.3610406091370558 9:0.19606598984771573 6:0.14276649746192893 18:0.07677664974619289 2:0.061548223350253804 1:0.04378172588832487 19:0.031091370558375634 10:0.02601522842639594 0:0.015862944162436547 11:0.010786802030456852 12:0.008248730964467006 15:0.008248730964467006 16:0.005710659898477157 13:0.0031725888324873096 5:0.0031725888324873096 7:0.0031725888324873096 14:6.345177664974619E-4 3:6.345177664974619E-4 4:6.345177664974619E-4 8:6.345177664974619E-4
AP890115-0033 5:0.48134328358208955 11:0.13805970149253732 10:0.13805970149253732 9:0.06343283582089553 7:0.048507462686567165 12:0.033582089552238806 8:0.033582089552238806 3:0.018656716417910446 13:0.0037313432835820895 14:0.0037313432835820895 15:0.0037313432835820895 16:0.0037313432835820895 17:0.0037313432835820895 18:0.0037313432835820895 19:0.0037313432835820895 0:0.0037313432835820895 1:0.0037313432835820895 2:0.0037313432835820895 4:0.0037313432835820895 6:0.0037313432835820895
AP890115-0045 14:0.51 0:0.15571428571428572 1:0.08714285714285715 10:0.05857142857142857 16:0.041428571428571426 12:0.03571428571428571 17:0.024285714285714285 4:0.024285714285714285 7:0.018571428571428572 11:0.007142857142857143 13:0.007142857142857143 19:0.007142857142857143 5:0.007142857142857143 9:0.007142857142857143 15:0.0014285714285714286 18:0.0014285714285714286 2:0.0014285714285714286 3:0.0014285714285714286 6:0.0014285714285714286 8:0.0014285714285714286
AP890116-0087 7:0.4988584474885845 10:0.17009132420091325 6:0.06963470319634703 1:0.06506849315068493 5:0.05136986301369863 18:0.04680365296803653 11:0.019406392694063926 4:0.019406392694063926 19:0.014840182648401826 9:0.014840182648401826 14:0.010273972602739725 12:0.005707762557077625 17:0.005707762557077625 13:0.001141552511415525 15:0.001141552511415525 16:0.001141552511415525 0:0.001141552511415525 2:0.001141552511415525 3:0.001141552511415525 8:0.001141552511415525
AP890116-0181 9:0.2943213296398892 17:0.21121883656509696 6:0.1724376731301939 18:0.16412742382271467 0:0.04778393351800554 2:0.031163434903047092 7:0.028393351800554016 19:0.01731301939058172 5:0.014542936288088643 10:0.009002770083102494 15:0.0034626038781163434 11:6.925207756232687E-4 12:6.925207756232687E-4 13:6.925207756232687E-4 14:6.925207756232687E-4 16:6.925207756232687E-4 1:6.925207756232687E-4 3:6.925207756232687E-4 4:6.925207756232687E-4 8:6.925207756232687E-4
AP890117-0121 5:0.571078431372549 9:0.15931372549019607 10:0.14950980392156862 11:0.07107843137254902 6:0.012254901960784314 12:0.0024509803921568627 13:0.0024509803921568627 14:0.0024509803921568627 15:0.0024509803921568627 16:0.0024509803921568627 17:0.0024509803921568627 18:0.0024509803921568627 19:0.0024509803921568627 0:0.0024509803921568627 1:0.0024509803921568627 2:0.0024509803921568627 3:0.0024509803921568627 4:0.0024509803921568627 7:0.0024509803921568627 8:0.0024509803921568627
AP890117-0151 2:0.49506578947368424 18:0.15953947368421054 6:0.13322368421052633 17:0.10032894736842106 11:0.047697368421052634 12:0.02138157894736842 7:0.014802631578947368 5:0.008223684210526315 13:0.001644736842105263 14:0.001644736842105263 15:0.001644736842105263 16:0.001644736842105263 19:0.001644736842105263 0:0.001644736842105263 1:0.001644736842105263 3:0.001644736842105263 4:0.001644736842105263 8:0.001644736842105263 9:0.001644736842105263 10:0.001644736842105263
AP890117-0167 5:0.6001602564102564 10:0.17708333333333334 9:0.13862179487179488 11:0.058493589743589744 1:0.010416666666666666 2:0.004006410256410256 12:8.012820512820513E-4 13:8.012820512820513E-4 14:8.012820512820513E-4 15:8.012820512820513E-4 16:8.012820512820513E-4 17:8.012820512820513E-4 18:8.012820512820513E-4 19:8.012820512820513E-4 0:8.012820512820513E-4 3:8.012820512820513E-4 4:8.012820512820513E-4 6:8.012820512820513E-4 7:8.012820512820513E-4 8:8.012820512820513E-4
AP890118-0101 10:0.40053763440860213 19:0.22849462365591397 3:0.12096774193548387 13:0.11021505376344086 2:0.03494623655913978 8:0.03494623655913978 5:0.024193548387096774 0:0.013440860215053764 11:0.002688172043010753 12:0.002688172043010753 14:0.002688172043010753 15:0.002688172043010753 16:0.002688172043010753 17:0.002688172043010753 18:0.002688172043010753 1:0.002688172043010753 4:0.002688172043010753 6:0.002688172043010753 7:0.002688172043010753 9:0.002688172043010753
AP890118-0106 5:0.5956591639871383 9:0.17765273311897106 10:0.13585209003215434 11:0.0297427652733119 1:0.023311897106109324 13:0.016881028938906754 7:0.01045016077170418 12:8.038585209003215E-4 14:8.038585209003215E-4 15:8.038585209003215E-4 16:8.038585209003215E-4 17:8.038585209003215E-4 18:8.038585209003215E-4 19:8.038585209003215E-4 0:8.038585209003215E-4 2:8.038585209003215E-4 3:8.038585209003215E-4 4:8.038585209003215E-4 6:8.038585209003215E-4 8:8.038585209003215E-4
AP890118-0142 5:0.6208920187793427 9:0.1607981220657277 10:0.12323943661971831 11:0.03403755868544601 1:0.029342723004694836 18:0.01056338028169014 12:0.005868544600938967 13:0.0011737089201877935 14:0.0011737089201877935 15:0.0011737089201877935 16:0.0011737089201877935 17:0.0011737089201877935 19:0.0011737089201877935 0:0.0011737089201877935 2:0.0011737089201877935 3:0.0011737089201877935 4:0.0011737089201877935 6:0.0011737089201877935 7:0.0011737089201877935 8:0.0011737089201877935
AP890118-0200 3:0.7166095890410958 1:0.1035958904109589 10:0.05565068493150685 13:0.052226027397260275 12:0.01797945205479452 9:0.014554794520547944 11:0.007705479452054794 14:0.007705479452054794 19:0.004280821917808219 0:0.004280821917808219 4:0.004280821917808219 5:0.004280821917808219 15:8.561643835616438E-4 16:8.561643835616438E-4 17:8.561643835616438E-4 18:8.561643835616438E-4 2:8.561643835616438E-4 6:8.561643835616438E-4 7:8.561643835616438E-4 8:8.561643835616438E-4
AP890119-0070 15:0.46584302325581395 6:0.14026162790697674 9:0.11409883720930232 12:0.07049418604651163 7:0.0559593023255814 1:0.038517441860465115 10:0.038517441860465115 13:0.032703488372093026 14:0.023982558139534885 0:0.00944767441860465 5:0.003633720930232558 11:7.267441860465116E-4 16:7.267441860465116E-4 17:7.267441860465116E-4 18:7.267441860465116E-4 19:7.267441860465116E-4 2:7.267441860465116E-4 3:7.267441860465116E-4 4:7.267441860465116E-4 8:7.267441860465116E-4
AP890119-0127 15:0.5078125 19:0.1640625 1:0.1328125 12:0.0390625 4:0.0390625 11:0.0078125 13:0.0078125 14:0.0078125 16:0.0078125 17:0.0078125 18:0.0078125 0:0.0078125 2:0.0078125 3:0.0078125 5:0.0078125 6:0.0078125 7:0.0078125 8:0.0078125 9:0.0078125 10:0.0078125
AP890119-0145 9:0.3405511811023622 6:0.22244094488188976 11:0.1515748031496063 1:0.09645669291338582 7:0.08070866141732283 12:0.03346456692913386 2:0.025590551181102362 0:0.017716535433070866 10:0.00984251968503937 13:0.001968503937007874 14:0.001968503937007874 15:0.001968503937007874 16:0.001968503937007874 17:0.001968503937007874 18:0.001968503937007874 19:0.001968503937007874 3:0.001968503937007874 4:0.001968503937007874 5:0.001968503937007874 8:0.001968503937007874
