AP890101-0036 6:0.3537344398340249 9:0.18775933609958506 14:0.16701244813278007 2:0.12551867219917012 13:0.10062240663900415 1:0.03008298755186722 8:0.013485477178423237 12:0.005186721991701245 19:0.005186721991701245 11:0.001037344398340249 15:0.001037344398340249 16:0.001037344398340249 17:0.001037344398340249 18:0.001037344398340249 0:0.001037344398340249 3:0.001037344398340249 4:0.001037344398340249 5:0.001037344398340249 7:0.001037344398340249 10:0.001037344398340249
AP890109-0068 13:0.32703488372093026 9:0.1875 17:0.17005813953488372 1:0.16424418604651161 3:0.07703488372093023 14:0.04796511627906977 2:0.007267441860465116 11:0.0014534883720930232 12:0.0014534883720930232 15:0.0014534883720930232 16:0.0014534883720930232 18:0.0014534883720930232 19:0.0014534883720930232 0:0.0014534883720930232 4:0.0014534883720930232 5:0.0014534883720930232 6:0.0014534883720930232 7:0.0014534883720930232 8:0.0014534883720930232 10:0.0014534883720930232
AP890109-0284 7:0.3222402597402597 14:0.14366883116883117 1:0.1241883116883117 11:0.10470779220779221 9:0.07224025974025974 8:0.0625 17:0.04301948051948052 6:0.03977272727272727 15:0.026785714285714284 3:0.017045454545454544 12:0.010551948051948052 4:0.010551948051948052 0:0.007305194805194805 10:0.007305194805194805 18:0.004058441558441558 13:8.116883116883117E-4 16:8.116883116883117E-4 19:8.116883116883117E-4 2:8.116883116883117E-4 5:8.116883116883117E-4
AP890109-0302 2:0.501358695652174 14:0.24048913043478262 17:0.11548913043478261 16:0.050271739130434784 12:0.017663043478260868 13:0.017663043478260868 5:0.012228260869565218 9:0.012228260869565218 3:0.006793478260869565 4:0.006793478260869565 8:0.006793478260869565 11:0.001358695652173913 15:0.001358695652173913 18:0.001358695652173913 19:0.001358695652173913 0:0.001358695652173913 1:0.001358695652173913 6:0.001358695652173913 7:0.001358695652173913 10:0.001358695652173913
AP890109-0318 6:0.39338235294117646 13:0.20220588235294118 8:0.12377450980392157 11:0.09436274509803921 14:0.09436274509803921 1:0.04044117647058824 2:0.030637254901960783 15:0.006127450980392157 12:0.0012254901960784314 16:0.0012254901960784314 17:0.0012254901960784314 18:0.0012254901960784314 19:0.0012254901960784314 0:0.0012254901960784314 3:0.0012254901960784314 4:0.0012254901960784314 5:0.0012254901960784314 7:0.0012254901960784314 9:0.0012254901960784314 10:0.0012254901960784314
AP890110-0155 1:0.5757874015748031 2:0.11122047244094488 14:0.09153543307086615 7:0.08759842519685039 15:0.0797244094488189 8:0.01673228346456693 13:0.008858267716535433 6:0.008858267716535433 11:0.004921259842519685 18:0.004921259842519685 12:9.84251968503937E-4 16:9.84251968503937E-4 17:9.84251968503937E-4 19:9.84251968503937E-4 0:9.84251968503937E-4 3:9.84251968503937E-4 4:9.84251968503937E-4 5:9.84251968503937E-4 9:9.84251968503937E-4 10:9.84251968503937E-4
AP890110-0210 9:0.6342592592592593 14:0.09722222222222222 0:0.06018518518518518 8:0.05648148148148148 10:0.03425925925925926 11:0.026851851851851852 7:0.026851851851851852 15:0.023148148148148147 16:0.012037037037037037 1:0.012037037037037037 3:0.008333333333333333 12:9.25925925925926E-4 13:9.25925925925926E-4 17:9.25925925925926E-4 18:9.25925925925926E-4 19:9.25925925925926E-4 2:9.25925925925926E-4 4:9.25925925925926E-4 5:9.25925925925926E-4 6:9.25925925925926E-4
AP890110-0257 1:0.6236111111111111 7:0.10694444444444444 11:0.0625 14:0.05694444444444444 2:0.05138888888888889 15:0.04583333333333333 3:0.02361111111111111 9:0.0125 12:0.001388888888888889 13:0.001388888888888889 16:0.001388888888888889 17:0.001388888888888889 18:0.001388888888888889 19:0.001388888888888889 0:0.001388888888888889 4:0.001388888888888889 5:0.001388888888888889 6:0.001388888888888889 8:0.001388888888888889 10:0.001388888888888889
AP890110-0258 8:0.19525547445255476 17:0.18552311435523114 14:0.16605839416058393 10:0.14902676399026765 11:0.07603406326034064 1:0.07360097323600973 3:0.07116788321167883 7:0.022506082725060828 16:0.015206812652068127 19:0.015206812652068127 15:0.012773722627737226 2:0.010340632603406326 4:0.0030413625304136255 12:6.082725060827251E-4 13:6.082725060827251E-4 18:6.082725060827251E-4 0:6.082725060827251E-4 5:6.082725060827251E-4 6:6.082725060827251E-4 9:6.082725060827251E-4
AP890111-0066 3:0.35795454545454547 9:0.25946969696969696 14:0.10795454545454546 8:0.07007575757575757 2:0.054924242424242424 7:0.054924242424242424 11:0.02462121212121212 13:0.017045454545454544 19:0.017045454545454544 15:0.00946969696969697 16:0.00946969696969697 12:0.001893939393939394 17:0.001893939393939394 18:0.001893939393939394 0:0.001893939393939394 1:0.001893939393939394 4:0.001893939393939394 5:0.001893939393939394 6:0.001893939393939394 10:0.001893939393939394
AP890111-0072 18:0.5786082474226805 14:0.1713917525773196 13:0.06314432989690721 12:0.037371134020618556 5:0.037371134020618556 4:0.03221649484536082 3:0.02190721649484536 15:0.01675257731958763 0:0.006443298969072165 6:0.006443298969072165 7:0.006443298969072165 8:0.006443298969072165 10:0.006443298969072165 11:0.001288659793814433 16:0.001288659793814433 17:0.001288659793814433 19:0.001288659793814433 1:0.001288659793814433 2:0.001288659793814433 9:0.001288659793814433
AP890111-0105 18:0.5702554744525548 14:0.2490875912408759 5:0.048357664233576646 4:0.03375912408759124 15:0.02645985401459854 11:0.01916058394160584 13:0.01551094890510949 17:0.011861313868613138 8:0.008211678832116789 12:0.004562043795620438 1:0.004562043795620438 16:9.124087591240876E-4 19:9.124087591240876E-4 0:9.124087591240876E-4 2:9.124087591240876E-4 3:9.124087591240876E-4 6:9.124087591240876E-4 7:9.124087591240876E-4 9:9.124087591240876E-4 10:9.124087591240876E-4
AP890111-0182 18:0.3274410774410774 4:0.19612794612794612 14:0.1590909090909091 5:0.12878787878787878 17:0.05134680134680135 2:0.05134680134680135 15:0.021043771043771045 13:0.017676767676767676 19:0.017676767676767676 10:0.010942760942760943 1:0.007575757575757576 16:0.004208754208754209 11:8.417508417508417E-4 12:8.417508417508417E-4 0:8.417508417508417E-4 3:8.417508417508417E-4 6:8.417508417508417E-4 7:8.417508417508417E-4 8:8.417508417508417E-4 9:8.417508417508417E-4
AP890112-0026 16:0.5540674603174603 14:0.20089285714285715 13:0.08581349206349206 17:0.08581349206349206 15:0.024305555555555556 2:0.020337301587301588 3:0.014384920634920634 12:0.006448412698412698 11:0.00248015873015873 18:4.96031746031746E-4 19:4.96031746031746E-4 0:4.96031746031746E-4 1:4.96031746031746E-4 4:4.96031746031746E-4 5:4.96031746031746E-4 6:4.96031746031746E-4 7:4.96031746031746E-4 8:4.96031746031746E-4 9:4.96031746031746E-4 10:4.96031746031746E-4
AP890112-0112 11:0.38402061855670105 14:0.17783505154639176 1:0.1056701030927835 9:0.1056701030927835 2:0.08505154639175258 13:0.03350515463917526 16:0.023195876288659795 3:0.023195876288659795 15:0.01288659793814433 17:0.01288659793814433 8:0.01288659793814433 12:0.002577319587628866 18:0.002577319587628866 19:0.002577319587628866 0:0.002577319587628866 4:0.002577319587628866 5:0.002577319587628866 6:0.002577319587628866 7:0.002577319587628866 10:0.002577319587628866
AP890112-0152 3:0.40376106194690264 9:0.22676991150442477 14:0.09402654867256637 1:0.08960176991150443 18:0.04535398230088496 8:0.03650442477876106 10:0.02765486725663717 11:0.014380530973451327 6:0.014380530973451327 13:0.00995575221238938 16:0.00995575221238938 5:0.00995575221238938 17:0.0055309734513274336 7:0.0055309734513274336 12:0.0011061946902654867 15:0.0011061946902654867 19:0.0011061946902654867 0:0.0011061946902654867 2:0.0011061946902654867 4:0.0011061946902654867
AP890113-0073 0:0.32272727272727275 14:0.25 18:0.11060606060606061 12:0.08636363636363636 10:0.0803030303030303 13:0.03787878787878788 2:0.031818181818181815 11:0.025757575757575757 15:0.007575757575757576 16:0.007575757575757576 3:0.007575757575757576 4:0.007575757575757576 5:0.007575757575757576 8:0.007575757575757576 17:0.0015151515151515152 19:0.0015151515151515152 1:0.0015151515151515152 6:0.0015151515151515152 7:0.0015151515151515152 9:0.0015151515151515152
AP890113-0225 1:0.5465425531914894 7:0.18306737588652483 8:0.08554964539007093 17:0.08377659574468085 2:0.050088652482269506 16:0.02526595744680851 10:0.007535460992907801 0:0.00576241134751773 3:0.003989361702127659 5:0.003989361702127659 11:4.432624113475177E-4 12:4.432624113475177E-4 13:4.432624113475177E-4 14:4.432624113475177E-4 15:4.432624113475177E-4 18:4.432624113475177E-4 19:4.432624113475177E-4 4:4.432624113475177E-4 6:4.432624113475177E-4 9:4.432624113475177E-4
AP890113-0226 1:0.9804913294797688 7:0.006502890173410405 11:7.22543352601156E-4 12:7.22543352601156E-4 13:7.22543352601156E-4 14:7.22543352601156E-4 15:7.22543352601156E-4 16:7.22543352601156E-4 17:7.22543352601156E-4 18:7.22543352601156E-4 19:7.22543352601156E-4 0:7.22543352601156E-4 2:7.22543352601156E-4 3:7.22543352601156E-4 4:7.22543352601156E-4 5:7.22543352601156E-4 6:7.22543352601156E-4 8:7.22543352601156E-4 9:7.22543352601156E-4 10:7.22543352601156E-4
AP890114-0006 1:0.3815104166666667 14:0.22005208333333334 13:0.21484375 10:0.04296875 17:0.02734375 12:0.022135416666666668 0:0.022135416666666668 7:0.022135416666666668 11:0.016927083333333332 6:0.01171875 8:0.006510416666666667 15:0.0013020833333333333 16:0.0013020833333333333 18:0.0013020833333333333 19:0.0013020833333333333 2:0.0013020833333333333 3:0.0013020833333333333 4:0.0013020833333333333 5:0.0013020833333333333 9:0.0013020833333333333
AP890114-0118 12:0.5228813559322034 0:0.19745762711864406 14:0.14661016949152542 10:0.048305084745762714 3:0.03474576271186441 13:0.01440677966101695 8:0.011016949152542373 5:0.007627118644067797 7:0.007627118644067797 11:8.47457627118644E-4 15:8.47457627118644E-4 16:8.47457627118644E-4 17:8.47457627118644E-4 18:8.47457627118644E-4 19:8.47457627118644E-4 1:8.47457627118644E-4 2:8.47457627118644E-4 4:8.47457627118644E-4 6:8.47457627118644E-4 9:8.47457627118644E-4
AP890117-0125 19:0.3760775862068966 18:0.31573275862068967 14:0.11314655172413793 4:0.03987068965517242 2:0.03125 12:0.02693965517241379 9:0.022629310344827586 13:0.018318965517241378 11:0.009698275862068966 3:0.009698275862068966 8:0.009698275862068966 10:0.009698275862068966 0:0.005387931034482759 1:0.005387931034482759 15:0.0010775862068965517 16:0.0010775862068965517 17:0.0010775862068965517 5:0.0010775862068965517 6:0.0010775862068965517 7:0.0010775862068965517
AP890117-0185 13:0.3274793388429752 1:0.1787190082644628 15:0.13326446280991736 14:0.10020661157024793 10:0.0878099173553719 6:0.042355371900826444 19:0.03409090909090909 2:0.029958677685950414 11:0.02169421487603306 0:0.013429752066115703 5:0.013429752066115703 16:0.009297520661157025 12:0.0010330578512396695 17:0.0010330578512396695 18:0.0010330578512396695 3:0.0010330578512396695 4:0.0010330578512396695 7:0.0010330578512396695 8:0.0010330578512396695 9:0.0010330578512396695
AP890117-0213 6:0.510551948051948 14:0.20535714285714285 9:0.1891233766233766 13:0.04301948051948052 11:0.013798701298701298 12:0.007305194805194805 18:0.004058441558441558 19:0.004058441558441558 1:0.004058441558441558 4:0.004058441558441558 5:0.004058441558441558 7:0.004058441558441558 15:8.116883116883117E-4 16:8.116883116883117E-4 17:8.116883116883117E-4 0:8.116883116883117E-4 2:8.116883116883117E-4 3:8.116883116883117E-4 8:8.116883116883117E-4 10:8.116883116883117E-4
AP890117-0227 15:0.4051020408163265 17:0.29081632653061223 14:0.11938775510204082 8:0.07448979591836735 7:0.0336734693877551 10:0.02959183673469388 18:0.009183673469387756 1:0.009183673469387756 3:0.009183673469387756 4:0.009183673469387756 11:0.0010204081632653062 12:0.0010204081632653062 13:0.0010204081632653062 16:0.0010204081632653062 19:0.0010204081632653062 0:0.0010204081632653062 2:0.0010204081632653062 5:0.0010204081632653062 6:0.0010204081632653062 9:0.0010204081632653062
AP890118-0026 6:0.41114790286975716 14:0.15728476821192053 13:0.14624724061810154 18:0.10430463576158941 9:0.06236203090507726 8:0.0336644591611479 1:0.024834437086092714 7:0.016004415011037526 3:0.011589403973509934 10:0.011589403973509934 2:0.004966887417218543 5:0.004966887417218543 12:0.0027593818984547464 15:0.0027593818984547464 4:0.0027593818984547464 11:5.518763796909492E-4 16:5.518763796909492E-4 17:5.518763796909492E-4 19:5.518763796909492E-4 0:5.518763796909492E-4
AP890118-0214 11:0.24315068493150685 14:0.17922374429223745 10:0.14269406392694065 1:0.08789954337899543 2:0.06963470319634703 9:0.05593607305936073 13:0.04223744292237443 17:0.04223744292237443 7:0.03767123287671233 6:0.028538812785388126 8:0.019406392694063926 15:0.014840182648401826 18:0.010273972602739725 0:0.010273972602739725 19:0.005707762557077625 5:0.005707762557077625 12:0.001141552511415525 16:0.001141552511415525 3:0.001141552511415525 4:0.001141552511415525
AP890118-0295 1:0.9804913294797688 8:0.006502890173410405 11:7.22543352601156E-4 12:7.22543352601156E-4 13:7.22543352601156E-4 14:7.22543352601156E-4 15:7.22543352601156E-4 16:7.22543352601156E-4 17:7.22543352601156E-4 18:7.22543352601156E-4 19:7.22543352601156E-4 0:7.22543352601156E-4 2:7.22543352601156E-4 3:7.22543352601156E-4 4:7.22543352601156E-4 5:7.22543352601156E-4 6:7.22543352601156E-4 7:7.22543352601156E-4 9:7.22543352601156E-4 10:7.22543352601156E-4
AP890119-0089 0:0.42830882352941174 10:0.22977941176470587 14:0.21507352941176472 17:0.03860294117647059 19:0.03860294117647059 11:0.009191176470588236 5:0.009191176470588236 7:0.009191176470588236 12:0.001838235294117647 13:0.001838235294117647 15:0.001838235294117647 16:0.001838235294117647 18:0.001838235294117647 1:0.001838235294117647 2:0.001838235294117647 3:0.001838235294117647 4:0.001838235294117647 6:0.001838235294117647 8:0.001838235294117647 9:0.001838235294117647
AP890119-0202 9:0.3891509433962264 11:0.18160377358490565 13:0.09669811320754718 1:0.08726415094339622 14:0.06839622641509434 8:0.06839622641509434 16:0.02122641509433962 18:0.02122641509433962 3:0.02122641509433962 15:0.01179245283018868 7:0.01179245283018868 12:0.0023584905660377358 17:0.0023584905660377358 19:0.0023584905660377358 0:0.0023584905660377358 2:0.0023584905660377358 4:0.0023584905660377358 5:0.0023584905660377358 6:0.0023584905660377358 10:0.0023584905660377358
AP890120-0063 8:0.5964052287581699 14:0.1977124183006536 3:0.07352941176470588 13:0.04738562091503268 17:0.03431372549019608 4:0.014705882352941176 1:0.008169934640522876 6:0.008169934640522876 11:0.0016339869281045752 12:0.0016339869281045752 15:0.0016339869281045752 16:0.0016339869281045752 18:0.0016339869281045752 19:0.0016339869281045752 0:0.0016339869281045752 2:0.0016339869281045752 5:0.0016339869281045752 7:0.0016339869281045752 9:0.0016339869281045752 10:0.0016339869281045752
AP890121-0115 9:0.40212264150943394 17:0.2983490566037736 11:0.10966981132075472 14:0.09551886792452831 5:0.024764150943396228 2:0.020047169811320754 4:0.020047169811320754 1:0.01061320754716981 16:0.00589622641509434 12:0.0011792452830188679 13:0.0011792452830188679 15:0.0011792452830188679 18:0.0011792452830188679 19:0.0011792452830188679 0:0.0011792452830188679 3:0.0011792452830188679 6:0.0011792452830188679 7:0.0011792452830188679 8:0.0011792452830188679 10:0.0011792452830188679
AP890123-0002 1:0.5341312056737588 7:0.16888297872340424 8:0.10150709219858156 17:0.09086879432624113 2:0.05895390070921986 16:0.02349290780141844 12:0.009308510638297872 15:0.002216312056737589 18:0.002216312056737589 0:0.002216312056737589 3:0.002216312056737589 11:4.432624113475177E-4 13:4.432624113475177E-4 14:4.432624113475177E-4 19:4.432624113475177E-4 4:4.432624113475177E-4 5:4.432624113475177E-4 6:4.432624113475177E-4 9:4.432624113475177E-4 10:4.432624113475177E-4
AP890123-0003 1:0.9804913294797688 7:0.006502890173410405 11:7.22543352601156E-4 12:7.22543352601156E-4 13:7.22543352601156E-4 14:7.22543352601156E-4 15:7.22543352601156E-4 16:7.22543352601156E-4 17:7.22543352601156E-4 18:7.22543352601156E-4 19:7.22543352601156E-4 0:7.22543352601156E-4 2:7.22543352601156E-4 3:7.22543352601156E-4 4:7.22543352601156E-4 5:7.22543352601156E-4 6:7.22543352601156E-4 8:7.22543352601156E-4 9:7.22543352601156E-4 10:7.22543352601156E-4
AP890123-0052 0:0.4338942307692308 3:0.15504807692307693 2:0.1502403846153846 14:0.08774038461538461 17:0.078125 10:0.03485576923076923 15:0.015625 1:0.010817307692307692 16:0.006009615384615385 19:0.006009615384615385 7:0.006009615384615385 8:0.006009615384615385 11:0.001201923076923077 12:0.001201923076923077 13:0.001201923076923077 18:0.001201923076923077 4:0.001201923076923077 5:0.001201923076923077 6:0.001201923076923077 9:0.001201923076923077
AP890124-0024 3:0.3977732793522267 17:0.28441295546558704 11:0.10222672064777327 7:0.06578947368421052 14:0.03744939271255061 13:0.029352226720647773 1:0.029352226720647773 16:0.02125506072874494 10:0.01720647773279352 8:0.005060728744939271 12:0.0010121457489878543 15:0.0010121457489878543 18:0.0010121457489878543 19:0.0010121457489878543 0:0.0010121457489878543 2:0.0010121457489878543 4:0.0010121457489878543 5:0.0010121457489878543 6:0.0010121457489878543 9:0.0010121457489878543
AP890124-0051 18:0.35141509433962265 14:0.23820754716981132 8:0.2099056603773585 6:0.10613207547169812 17:0.02122641509433962 1:0.02122641509433962 11:0.01179245283018868 4:0.01179245283018868 12:0.0023584905660377358 13:0.0023584905660377358 15:0.0023584905660377358 16:0.0023584905660377358 19:0.0023584905660377358 0:0.0023584905660377358 2:0.0023584905660377358 3:0.0023584905660377358 5:0.0023584905660377358 7:0.0023584905660377358 9:0.0023584905660377358 10:0.0023584905660377358
AP890124-0235 17:0.5221631205673759 16:0.3200354609929078 6:0.05053191489361702 14:0.04343971631205674 8:0.025709219858156027 15:0.015070921985815602 9:0.007978723404255319 2:0.004432624113475178 11:8.865248226950354E-4 12:8.865248226950354E-4 13:8.865248226950354E-4 18:8.865248226950354E-4 19:8.865248226950354E-4 0:8.865248226950354E-4 1:8.865248226950354E-4 3:8.865248226950354E-4 4:8.865248226950354E-4 5:8.865248226950354E-4 7:8.865248226950354E-4 10:8.865248226950354E-4
AP890124-0252 15:0.28875968992248063 1:0.16472868217054262 10:0.14922480620155038 17:0.10271317829457365 14:0.09496124031007752 13:0.06395348837209303 9:0.03294573643410853 4:0.025193798449612403 16:0.01744186046511628 0:0.01744186046511628 7:0.01744186046511628 19:0.009689922480620155 11:0.001937984496124031 12:0.001937984496124031 18:0.001937984496124031 2:0.001937984496124031 3:0.001937984496124031 5:0.001937984496124031 6:0.001937984496124031 8:0.001937984496124031
AP890124-0255 13:0.365343347639485 14:0.1786480686695279 1:0.15075107296137338 17:0.07993562231759657 10:0.05847639484978541 2:0.04345493562231759 0:0.021995708154506438 6:0.017703862660944206 9:0.017703862660944206 15:0.01555793991416309 11:0.011266094420600859 3:0.011266094420600859 8:0.006974248927038627 12:0.004828326180257511 18:0.004828326180257511 4:0.004828326180257511 5:0.004828326180257511 16:5.36480686695279E-4 19:5.36480686695279E-4 7:5.36480686695279E-4
AP890125-0025 17:0.7600334448160535 14:0.08110367892976589 1:0.04431438127090301 15:0.03762541806020067 6:0.017558528428093644 7:0.017558528428093644 8:0.010869565217391304 11:0.007525083612040134 0:0.007525083612040134 4:0.007525083612040134 12:8.361204013377926E-4 13:8.361204013377926E-4 16:8.361204013377926E-4 18:8.361204013377926E-4 19:8.361204013377926E-4 2:8.361204013377926E-4 3:8.361204013377926E-4 5:8.361204013377926E-4 9:8.361204013377926E-4 10:8.361204013377926E-4
AP890126-0120 7:0.31841216216216217 14:0.19003378378378377 13:0.15625 6:0.10219594594594594 0:0.05489864864864865 2:0.044763513513513514 1:0.03800675675675676 9:0.03800675675675676 8:0.021114864864864864 15:0.007601351351351352 3:0.007601351351351352 4:0.007601351351351352 12:0.004222972972972973 5:0.004222972972972973 11:8.445945945945946E-4 16:8.445945945945946E-4 17:8.445945945945946E-4 18:8.445945945945946E-4 19:8.445945945945946E-4 10:8.445945945945946E-4
AP890126-0238 7:0.6163101604278075 1:0.17780748663101603 14:0.09759358288770054 3:0.04411764705882353 2:0.017379679144385027 17:0.012032085561497326 19:0.0066844919786096255 4:0.0066844919786096255 8:0.0066844919786096255 11:0.001336898395721925 12:0.001336898395721925 13:0.001336898395721925 15:0.001336898395721925 16:0.001336898395721925 18:0.001336898395721925 0:0.001336898395721925 5:0.001336898395721925 6:0.001336898395721925 9:0.001336898395721925 10:0.001336898395721925
AP890127-0002 12:0.6411111111111111 14:0.24555555555555555 18:0.04555555555555556 13:0.014444444444444444 4:0.014444444444444444 1:0.01 15:0.005555555555555556 5:0.005555555555555556 10:0.005555555555555556 11:0.0011111111111111111 16:0.0011111111111111111 17:0.0011111111111111111 19:0.0011111111111111111 0:0.0011111111111111111 2:0.0011111111111111111 3:0.0011111111111111111 6:0.0011111111111111111 7:0.0011111111111111111 8:0.0011111111111111111 9:0.0011111111111111111
AP890127-0033 11:0.41051660516605165 14:0.1559040590405904 13:0.11531365313653137 1:0.10793357933579335 9:0.07841328413284133 3:0.06365313653136531 8:0.023062730627306273 10:0.023062730627306273 15:0.008302583025830259 17:0.004612546125461255 12:9.225092250922509E-4 16:9.225092250922509E-4 18:9.225092250922509E-4 19:9.225092250922509E-4 0:9.225092250922509E-4 2:9.225092250922509E-4 4:9.225092250922509E-4 5:9.225092250922509E-4 6:9.225092250922509E-4 7:9.225092250922509E-4
AP890128-0100 11:0.23958333333333334 15:0.22569444444444445 0:0.21180555555555555 3:0.07291666666666667 14:0.059027777777777776 5:0.059027777777777776 7:0.03125 9:0.03125 18:0.017361111111111112 2:0.017361111111111112 12:0.003472222222222222 13:0.003472222222222222 16:0.003472222222222222 17:0.003472222222222222 19:0.003472222222222222 1:0.003472222222222222 4:0.003472222222222222 6:0.003472222222222222 8:0.003472222222222222 10:0.003472222222222222
AP890130-0208 9:0.38192904656319293 7:0.1491130820399113 14:0.12694013303769403 1:0.10476718403547672 8:0.06707317073170732 10:0.03159645232815964 11:0.024944567627494457 19:0.024944567627494457 15:0.018292682926829267 2:0.018292682926829267 16:0.01164079822616408 17:0.01164079822616408 0:0.007206208425720621 3:0.007206208425720621 5:0.004988913525498891 12:0.002771618625277162 4:0.002771618625277162 6:0.002771618625277162 13:5.543237250554324E-4 18:5.543237250554324E-4
AP890202-0023 9:0.6977848101265823 14:0.19778481012658228 7:0.05221518987341772 17:0.014240506329113924 5:0.007911392405063292 6:0.007911392405063292 11:0.0015822784810126582 12:0.0015822784810126582 13:0.0015822784810126582 15:0.0015822784810126582 16:0.0015822784810126582 18:0.0015822784810126582 19:0.0015822784810126582 0:0.0015822784810126582 1:0.0015822784810126582 2:0.0015822784810126582 3:0.0015822784810126582 4:0.0015822784810126582 8:0.0015822784810126582 10:0.0015822784810126582
