AP890102-0099 1:0.4438622754491018 3:0.21332335329341318 9:0.14146706586826346 12:0.04266467065868264 15:0.027694610778443114 14:0.02470059880239521 10:0.02470059880239521 13:0.015718562874251496 2:0.012724550898203593 6:0.012724550898203593 19:0.009730538922155689 8:0.009730538922155689 16:0.006736526946107785 5:0.006736526946107785 0:0.0037425149700598802 11:7.485029940119761E-4 17:7.485029940119761E-4 18:7.485029940119761E-4 4:7.485029940119761E-4 7:7.485029940119761E-4
AP890108-0050 13:0.7193251533742331 9:0.18558282208588958 6:0.032208588957055216 3:0.013803680981595092 8:0.013803680981595092 11:0.007668711656441718 17:0.007668711656441718 12:0.0015337423312883436 14:0.0015337423312883436 15:0.0015337423312883436 16:0.0015337423312883436 18:0.0015337423312883436 19:0.0015337423312883436 0:0.0015337423312883436 1:0.0015337423312883436 2:0.0015337423312883436 4:0.0015337423312883436 5:0.0015337423312883436 7:0.0015337423312883436 10:0.0015337423312883436
AP890109-0188 13:0.5386029411764706 9:0.22977941176470587 19:0.10477941176470588 3:0.04595588235294118 6:0.02389705882352941 18:0.016544117647058824 4:0.016544117647058824 11:0.001838235294117647 12:0.001838235294117647 14:0.001838235294117647 15:0.001838235294117647 16:0.001838235294117647 17:0.001838235294117647 0:0.001838235294117647 1:0.001838235294117647 2:0.001838235294117647 5:0.001838235294117647 7:0.001838235294117647 8:0.001838235294117647 10:0.001838235294117647
AP890109-0223 17:0.3180693069306931 11:0.2636138613861386 9:0.1745049504950495 18:0.09034653465346534 16:0.04084158415841584 4:0.02599009900990099 13:0.02103960396039604 14:0.01608910891089109 19:0.011138613861386138 0:0.011138613861386138 12:0.006188118811881188 15:0.006188118811881188 3:0.006188118811881188 1:0.0012376237623762376 2:0.0012376237623762376 5:0.0012376237623762376 6:0.0012376237623762376 7:0.0012376237623762376 8:0.0012376237623762376 10:0.0012376237623762376
AP890109-0293 4:0.7678571428571429 9:0.125 13:0.039285714285714285 18:0.02023809523809524 2:0.02023809523809524 15:0.005952380952380952 3:0.005952380952380952 11:0.0011904761904761906 12:0.0011904761904761906 14:0.0011904761904761906 16:0.0011904761904761906 17:0.0011904761904761906 19:0.0011904761904761906 0:0.0011904761904761906 1:0.0011904761904761906 5:0.0011904761904761906 6:0.0011904761904761906 7:0.0011904761904761906 8:0.0011904761904761906 10:0.0011904761904761906
AP890110-0058 8:0.6030805687203792 3:0.11018957345971564 1:0.06279620853080568 15:0.058056872037914695 9:0.058056872037914695 10:0.04383886255924171 17:0.02014218009478673 19:0.015402843601895734 6:0.015402843601895734 11:0.001184834123222749 12:0.001184834123222749 13:0.001184834123222749 14:0.001184834123222749 16:0.001184834123222749 18:0.001184834123222749 0:0.001184834123222749 2:0.001184834123222749 4:0.001184834123222749 5:0.001184834123222749 7:0.001184834123222749
AP890110-0262 4:0.5605726872246696 11:0.1949339207048458 9:0.09801762114537445 13:0.040748898678414094 3:0.031938325991189426 19:0.023127753303964757 7:0.023127753303964757 2:0.009911894273127754 5:0.005506607929515419 12:0.0011013215859030838 14:0.0011013215859030838 15:0.0011013215859030838 16:0.0011013215859030838 17:0.0011013215859030838 18:0.0011013215859030838 0:0.0011013215859030838 1:0.0011013215859030838 6:0.0011013215859030838 8:0.0011013215859030838 10:0.0011013215859030838
AP890110-0266 13:0.44345238095238093 6:0.15773809523809523 9:0.11011904761904762 7:0.050595238095238096 11:0.03869047619047619 12:0.03869047619047619 14:0.03869047619047619 17:0.03869047619047619 10:0.026785714285714284 2:0.01488095238095238 5:0.01488095238095238 15:0.002976190476190476 16:0.002976190476190476 18:0.002976190476190476 19:0.002976190476190476 0:0.002976190476190476 1:0.002976190476190476 3:0.002976190476190476 4:0.002976190476190476 8:0.002976190476190476
AP890110-0283 4:0.6463133640552995 9:0.1532258064516129 16:0.03341013824884793 11:0.024193548387096774 14:0.024193548387096774 3:0.024193548387096774 18:0.019585253456221197 8:0.019585253456221197 12:0.014976958525345621 17:0.00576036866359447 19:0.00576036866359447 0:0.00576036866359447 1:0.00576036866359447 5:0.00576036866359447 10:0.00576036866359447 13:0.001152073732718894 15:0.001152073732718894 2:0.001152073732718894 6:0.001152073732718894 7:0.001152073732718894
AP890110-0284 17:0.3927083333333333 11:0.3802083333333333 14:0.059375 9:0.059375 6:0.046875 16:0.030208333333333334 13:0.005208333333333333 18:0.005208333333333333 3:0.005208333333333333 4:0.005208333333333333 12:0.0010416666666666667 15:0.0010416666666666667 19:0.0010416666666666667 0:0.0010416666666666667 1:0.0010416666666666667 2:0.0010416666666666667 5:0.0010416666666666667 7:0.0010416666666666667 8:0.0010416666666666667 10:0.0010416666666666667
AP890110-0294 6:0.655241935483871 9:0.06653225806451613 11:0.05040322580645161 17:0.05040322580645161 3:0.05040322580645161 18:0.02620967741935484 12:0.018145161290322582 1:0.018145161290322582 2:0.018145161290322582 8:0.018145161290322582 7:0.010080645161290322 13:0.0020161290322580645 14:0.0020161290322580645 15:0.0020161290322580645 16:0.0020161290322580645 19:0.0020161290322580645 0:0.0020161290322580645 4:0.0020161290322580645 5:0.0020161290322580645 10:0.0020161290322580645
AP890112-0134 1:0.37584459459459457 3:0.25084459459459457 9:0.11908783783783784 15:0.05489864864864865 17:0.03800675675675676 5:0.03800675675675676 7:0.024493243243243243 12:0.017736486486486486 14:0.014358108108108109 18:0.014358108108108109 19:0.014358108108108109 10:0.01097972972972973 16:0.007601351351351352 8:0.007601351351351352 11:0.004222972972972973 2:0.004222972972972973 13:8.445945945945946E-4 0:8.445945945945946E-4 4:8.445945945945946E-4 6:8.445945945945946E-4
AP890112-0164 5:0.5884146341463414 9:0.24695121951219512 14:0.06402439024390244 11:0.01524390243902439 12:0.01524390243902439 6:0.01524390243902439 10:0.01524390243902439 13:0.003048780487804878 15:0.003048780487804878 16:0.003048780487804878 17:0.003048780487804878 18:0.003048780487804878 19:0.003048780487804878 0:0.003048780487804878 1:0.003048780487804878 2:0.003048780487804878 3:0.003048780487804878 4:0.003048780487804878 7:0.003048780487804878 8:0.003048780487804878
AP890112-0254 14:0.928030303030303 11:0.003787878787878788 12:0.003787878787878788 13:0.003787878787878788 15:0.003787878787878788 16:0.003787878787878788 17:0.003787878787878788 18:0.003787878787878788 19:0.003787878787878788 0:0.003787878787878788 1:0.003787878787878788 2:0.003787878787878788 3:0.003787878787878788 4:0.003787878787878788 5:0.003787878787878788 6:0.003787878787878788 7:0.003787878787878788 8:0.003787878787878788 9:0.003787878787878788 10:0.003787878787878788
AP890113-0019 9:0.37163978494623656 14:0.2157258064516129 4:0.09475806451612903 6:0.0625 11:0.05981182795698925 19:0.049059139784946235 17:0.043682795698924734 2:0.04099462365591398 3:0.016801075268817203 8:0.0114247311827957 12:0.008736559139784945 13:0.008736559139784945 5:0.006048387096774193 15:0.003360215053763441 1:0.003360215053763441 16:6.720430107526882E-4 18:6.720430107526882E-4 0:6.720430107526882E-4 7:6.720430107526882E-4 10:6.720430107526882E-4
AP890113-0021 14:0.49581939799331104 9:0.20819397993311037 2:0.08779264214046822 3:0.047658862876254184 17:0.030936454849498328 11:0.027591973244147156 6:0.027591973244147156 12:0.017558528428093644 4:0.014214046822742474 0:0.010869565217391304 5:0.010869565217391304 13:0.004180602006688963 19:0.004180602006688963 7:0.004180602006688963 10:0.004180602006688963 15:8.361204013377926E-4 16:8.361204013377926E-4 18:8.361204013377926E-4 1:8.361204013377926E-4 8:8.361204013377926E-4
AP890113-0168 14:0.45223577235772355 9:0.2693089430894309 3:0.11077235772357724 2:0.08638211382113821 13:0.03353658536585366 12:0.017276422764227643 11:0.009146341463414634 7:0.009146341463414634 15:0.0010162601626016261 16:0.0010162601626016261 17:0.0010162601626016261 18:0.0010162601626016261 19:0.0010162601626016261 0:0.0010162601626016261 1:0.0010162601626016261 4:0.0010162601626016261 5:0.0010162601626016261 6:0.0010162601626016261 8:0.0010162601626016261 10:0.0010162601626016261
AP890113-0223 17:0.76625 11:0.14625 13:0.03125 14:0.01125 16:0.00625 19:0.00625 0:0.00625 5:0.00625 6:0.00625 12:0.00125 15:0.00125 18:0.00125 1:0.00125 2:0.00125 3:0.00125 4:0.00125 7:0.00125 8:0.00125 9:0.00125 10:0.00125
AP890114-0037 4:0.6468023255813954 16:0.08866279069767442 13:0.08284883720930232 9:0.07703488372093023 11:0.030523255813953487 1:0.0188953488372093 12:0.01308139534883721 5:0.01308139534883721 18:0.007267441860465116 2:0.007267441860465116 14:0.0014534883720930232 15:0.0014534883720930232 17:0.0014534883720930232 19:0.0014534883720930232 0:0.0014534883720930232 3:0.0014534883720930232 6:0.0014534883720930232 7:0.0014534883720930232 8:0.0014534883720930232 10:0.0014534883720930232
AP890114-0135 7:0.2841666666666667 13:0.1375 9:0.12083333333333333 3:0.11416666666666667 4:0.0775 2:0.0675 10:0.0675 11:0.0475 5:0.024166666666666666 14:0.020833333333333332 18:0.0175 12:0.010833333333333334 15:0.004166666666666667 16:8.333333333333334E-4 17:8.333333333333334E-4 19:8.333333333333334E-4 0:8.333333333333334E-4 1:8.333333333333334E-4 6:8.333333333333334E-4 8:8.333333333333334E-4
AP890115-0054 13:0.729757085020243 9:0.057692307692307696 18:0.04554655870445344 6:0.04149797570850203 11:0.03340080971659919 15:0.029352226720647773 17:0.02125506072874494 2:0.009109311740890687 3:0.009109311740890687 12:0.005060728744939271 16:0.005060728744939271 7:0.005060728744939271 14:0.0010121457489878543 19:0.0010121457489878543 0:0.0010121457489878543 1:0.0010121457489878543 4:0.0010121457489878543 5:0.0010121457489878543 8:0.0010121457489878543 10:0.0010121457489878543
AP890115-0055 10:0.5988805970149254 9:0.13619402985074627 1:0.1287313432835821 17:0.03171641791044776 7:0.03171641791044776 16:0.024253731343283583 11:0.009328358208955223 3:0.009328358208955223 5:0.009328358208955223 12:0.0018656716417910447 13:0.0018656716417910447 14:0.0018656716417910447 15:0.0018656716417910447 18:0.0018656716417910447 19:0.0018656716417910447 0:0.0018656716417910447 2:0.0018656716417910447 4:0.0018656716417910447 6:0.0018656716417910447 8:0.0018656716417910447
AP890116-0197 11:0.6165540540540541 6:0.13682432432432431 8:0.09628378378378379 18:0.07601351351351351 19:0.02195945945945946 13:0.015202702702702704 3:0.008445945945945946 7:0.008445945945945946 12:0.0016891891891891893 14:0.0016891891891891893 15:0.0016891891891891893 16:0.0016891891891891893 17:0.0016891891891891893 0:0.0016891891891891893 1:0.0016891891891891893 2:0.0016891891891891893 4:0.0016891891891891893 5:0.0016891891891891893 9:0.0016891891891891893 10:0.0016891891891891893
AP890116-0200 17:0.25898203592814373 13:0.22305389221556887 9:0.15119760479041916 11:0.1092814371257485 4:0.07934131736526946 3:0.07335329341317365 6:0.04940119760479042 2:0.0374251497005988 12:0.0014970059880239522 14:0.0014970059880239522 15:0.0014970059880239522 16:0.0014970059880239522 18:0.0014970059880239522 19:0.0014970059880239522 0:0.0014970059880239522 1:0.0014970059880239522 5:0.0014970059880239522 7:0.0014970059880239522 8:0.0014970059880239522 10:0.0014970059880239522
AP890117-0233 11:0.7596153846153846 16:0.041666666666666664 5:0.041666666666666664 9:0.041666666666666664 7:0.028846153846153848 13:0.016025641025641024 14:0.016025641025641024 3:0.016025641025641024 12:0.003205128205128205 15:0.003205128205128205 17:0.003205128205128205 18:0.003205128205128205 19:0.003205128205128205 0:0.003205128205128205 1:0.003205128205128205 2:0.003205128205128205 4:0.003205128205128205 6:0.003205128205128205 8:0.003205128205128205 10:0.003205128205128205
AP890118-0185 13:0.7364406779661017 9:0.17033898305084746 3:0.027966101694915254 19:0.02457627118644068 18:0.011016949152542373 17:0.007627118644067797 5:0.007627118644067797 16:0.00423728813559322 11:8.47457627118644E-4 12:8.47457627118644E-4 14:8.47457627118644E-4 15:8.47457627118644E-4 0:8.47457627118644E-4 1:8.47457627118644E-4 2:8.47457627118644E-4 4:8.47457627118644E-4 6:8.47457627118644E-4 7:8.47457627118644E-4 8:8.47457627118644E-4 10:8.47457627118644E-4
AP890118-0211 13:0.6459731543624161 9:0.18959731543624161 19:0.07550335570469799 14:0.028523489932885907 4:0.015100671140939598 16:0.008389261744966443 0:0.008389261744966443 8:0.008389261744966443 11:0.0016778523489932886 12:0.0016778523489932886 15:0.0016778523489932886 17:0.0016778523489932886 18:0.0016778523489932886 1:0.0016778523489932886 2:0.0016778523489932886 3:0.0016778523489932886 5:0.0016778523489932886 6:0.0016778523489932886 7:0.0016778523489932886 10:0.0016778523489932886
AP890118-0283 19:0.3570478723404255 11:0.23204787234042554 3:0.12034574468085106 16:0.05651595744680851 5:0.045877659574468085 1:0.04055851063829787 8:0.03523936170212766 13:0.032579787234042555 12:0.016622340425531915 18:0.016622340425531915 4:0.016622340425531915 9:0.016622340425531915 17:0.003324468085106383 2:0.003324468085106383 6:0.003324468085106383 14:6.648936170212766E-4 15:6.648936170212766E-4 0:6.648936170212766E-4 7:6.648936170212766E-4 10:6.648936170212766E-4
AP890118-0292 17:0.78625 11:0.12625 14:0.04125 6:0.01125 13:0.00625 1:0.00625 4:0.00625 12:0.00125 15:0.00125 16:0.00125 18:0.00125 19:0.00125 0:0.00125 2:0.00125 3:0.00125 5:0.00125 7:0.00125 8:0.00125 9:0.00125 10:0.00125
AP890119-0045 14:0.4949392712550607 9:0.23987854251012145 2:0.1508097165991903 3:0.04959514170040486 6:0.025303643724696356 13:0.009109311740890687 16:0.009109311740890687 4:0.005060728744939271 8:0.005060728744939271 11:0.0010121457489878543 12:0.0010121457489878543 15:0.0010121457489878543 17:0.0010121457489878543 18:0.0010121457489878543 19:0.0010121457489878543 0:0.0010121457489878543 1:0.0010121457489878543 5:0.0010121457489878543 7:0.0010121457489878543 10:0.0010121457489878543
AP890119-0180 13:0.673 9:0.153 2:0.061 18:0.029 15:0.025 7:0.017 8:0.017 14:0.005 3:0.005 6:0.005 11:0.001 12:0.001 16:0.001 17:0.001 19:0.001 0:0.001 1:0.001 4:0.001 5:0.001 10:0.001
AP890119-0320 14:0.928030303030303 11:0.003787878787878788 12:0.003787878787878788 13:0.003787878787878788 15:0.003787878787878788 16:0.003787878787878788 17:0.003787878787878788 18:0.003787878787878788 19:0.003787878787878788 0:0.003787878787878788 1:0.003787878787878788 2:0.003787878787878788 3:0.003787878787878788 4:0.003787878787878788 5:0.003787878787878788 6:0.003787878787878788 7:0.003787878787878788 8:0.003787878787878788 9:0.003787878787878788 10:0.003787878787878788
AP890120-0030 5:0.3716517857142857 9:0.16183035714285715 11:0.13504464285714285 13:0.13058035714285715 0:0.07254464285714286 3:0.05915178571428571 16:0.018973214285714284 19:0.010044642857142858 1:0.010044642857142858 8:0.010044642857142858 12:0.005580357142857143 4:0.005580357142857143 14:0.0011160714285714285 15:0.0011160714285714285 17:0.0011160714285714285 18:0.0011160714285714285 2:0.0011160714285714285 6:0.0011160714285714285 7:0.0011160714285714285 10:0.0011160714285714285
AP890120-0195 13:0.8066037735849056 18:0.05188679245283019 15:0.04559748427672956 9:0.03930817610062893 17:0.014150943396226415 3:0.014150943396226415 16:0.007861635220125786 11:0.0015723270440251573 12:0.0015723270440251573 14:0.0015723270440251573 19:0.0015723270440251573 0:0.0015723270440251573 1:0.0015723270440251573 2:0.0015723270440251573 4:0.0015723270440251573 5:0.0015723270440251573 6:0.0015723270440251573 7:0.0015723270440251573 8:0.0015723270440251573 10:0.0015723270440251573
AP890120-0200 8:0.5083586626139818 3:0.11930091185410334 1:0.10714285714285714 15:0.04939209726443769 19:0.04635258358662614 9:0.04635258358662614 10:0.02811550151975684 0:0.02507598784194529 13:0.022036474164133738 7:0.018996960486322188 12:0.012917933130699088 11:0.009878419452887538 14:7.598784194528875E-4 16:7.598784194528875E-4 17:7.598784194528875E-4 18:7.598784194528875E-4 2:7.598784194528875E-4 4:7.598784194528875E-4 5:7.598784194528875E-4 6:7.598784194528875E-4
AP890120-0242 18:0.20675675675675675 3:0.19054054054054054 10:0.1635135135135135 6:0.11486486486486487 8:0.060810810810810814 11:0.05 9:0.05 2:0.0445945945945946 7:0.033783783783783786 16:0.01756756756756757 14:0.012162162162162163 19:0.012162162162162163 0:0.012162162162162163 4:0.012162162162162163 17:0.006756756756756757 1:0.006756756756756757 12:0.0013513513513513514 13:0.0013513513513513514 15:0.0013513513513513514 5:0.0013513513513513514
AP890121-0161 10:0.22740384615384615 6:0.22548076923076923 2:0.16971153846153847 3:0.14471153846153847 7:0.07740384615384616 16:0.029326923076923077 19:0.027403846153846154 18:0.023557692307692307 1:0.017788461538461538 9:0.015865384615384615 13:0.013942307692307693 11:0.008173076923076924 0:0.008173076923076924 14:0.004326923076923077 8:0.004326923076923077 12:4.807692307692308E-4 15:4.807692307692308E-4 17:4.807692307692308E-4 4:4.807692307692308E-4 5:4.807692307692308E-4
AP890122-0046 13:0.6576797385620915 18:0.12173202614379085 17:0.04330065359477124 6:0.04003267973856209 11:0.03349673202614379 15:0.03022875816993464 9:0.02042483660130719 1:0.013888888888888888 3:0.013888888888888888 7:0.013888888888888888 19:0.004084967320261438 12:8.169934640522876E-4 14:8.169934640522876E-4 16:8.169934640522876E-4 0:8.169934640522876E-4 2:8.169934640522876E-4 4:8.169934640522876E-4 5:8.169934640522876E-4 8:8.169934640522876E-4 10:8.169934640522876E-4
AP890123-0014 14:0.40185185185185185 9:0.1648148148148148 2:0.1574074074074074 13:0.12777777777777777 3:0.03148148148148148 4:0.024074074074074074 17:0.016666666666666666 8:0.016666666666666666 19:0.009259259259259259 5:0.009259259259259259 6:0.009259259259259259 7:0.009259259259259259 10:0.009259259259259259 11:0.001851851851851852 12:0.001851851851851852 15:0.001851851851851852 16:0.001851851851851852 18:0.001851851851851852 0:0.001851851851851852 1:0.001851851851851852
AP890123-0284 11:0.5711538461538461 16:0.11730769230769231 5:0.06346153846153846 6:0.06346153846153846 17:0.04807692307692308 12:0.032692307692307694 9:0.025 3:0.01730769230769231 7:0.01730769230769231 13:0.009615384615384616 18:0.009615384615384616 4:0.009615384615384616 14:0.0019230769230769232 15:0.0019230769230769232 19:0.0019230769230769232 0:0.0019230769230769232 1:0.0019230769230769232 2:0.0019230769230769232 8:0.0019230769230769232 10:0.0019230769230769232
AP890123-0298 6:0.2827868852459016 7:0.26639344262295084 11:0.0860655737704918 13:0.06967213114754098 15:0.06967213114754098 2:0.06967213114754098 19:0.05327868852459016 17:0.020491803278688523 4:0.020491803278688523 8:0.020491803278688523 12:0.004098360655737705 14:0.004098360655737705 16:0.004098360655737705 18:0.004098360655737705 0:0.004098360655737705 1:0.004098360655737705 3:0.004098360655737705 5:0.004098360655737705 9:0.004098360655737705 10:0.004098360655737705
AP890124-0131 13:0.6283557046979866 9:0.26929530201342283 16:0.027684563758389263 19:0.02097315436241611 11:0.01761744966442953 4:0.010906040268456376 7:0.007550335570469799 2:0.0041946308724832215 3:0.0041946308724832215 12:8.389261744966443E-4 14:8.389261744966443E-4 15:8.389261744966443E-4 17:8.389261744966443E-4 18:8.389261744966443E-4 0:8.389261744966443E-4 1:8.389261744966443E-4 5:8.389261744966443E-4 6:8.389261744966443E-4 8:8.389261744966443E-4 10:8.389261744966443E-4
AP890125-0182 4:0.8240384615384615 9:0.10480769230769231 16:0.035576923076923075 2:0.0125 0:0.004807692307692308 3:0.004807692307692308 11:9.615384615384616E-4 12:9.615384615384616E-4 13:9.615384615384616E-4 14:9.615384615384616E-4 15:9.615384615384616E-4 17:9.615384615384616E-4 18:9.615384615384616E-4 19:9.615384615384616E-4 1:9.615384615384616E-4 5:9.615384615384616E-4 6:9.615384615384616E-4 7:9.615384615384616E-4 8:9.615384615384616E-4 10:9.615384615384616E-4
AP890125-0196 14:0.47946859903381644 9:0.3055555555555556 2:0.12681159420289856 3:0.01570048309178744 6:0.01570048309178744 16:0.010869565217391304 17:0.010869565217391304 18:0.010869565217391304 15:0.006038647342995169 4:0.006038647342995169 11:0.0012077294685990338 12:0.0012077294685990338 13:0.0012077294685990338 19:0.0012077294685990338 0:0.0012077294685990338 1:0.0012077294685990338 5:0.0012077294685990338 7:0.0012077294685990338 8:0.0012077294685990338 10:0.0012077294685990338
AP890125-0327 13:0.6853448275862069 9:0.07614942528735633 3:0.05890804597701149 18:0.04741379310344827 6:0.04741379310344827 1:0.02442528735632184 0:0.01293103448275862 4:0.01293103448275862 12:0.007183908045977011 14:0.007183908045977011 7:0.007183908045977011 11:0.0014367816091954023 15:0.0014367816091954023 16:0.0014367816091954023 17:0.0014367816091954023 19:0.0014367816091954023 2:0.0014367816091954023 5:0.0014367816091954023 8:0.0014367816091954023 10:0.0014367816091954023
AP890126-0060 18:0.2911255411255411 9:0.26515151515151514 6:0.15692640692640691 15:0.12229437229437229 12:0.04004329004329004 1:0.04004329004329004 19:0.031385281385281384 11:0.01406926406926407 16:0.01406926406926407 17:0.00974025974025974 0:0.005411255411255411 13:0.0010822510822510823 14:0.0010822510822510823 2:0.0010822510822510823 3:0.0010822510822510823 4:0.0010822510822510823 5:0.0010822510822510823 7:0.0010822510822510823 8:0.0010822510822510823 10:0.0010822510822510823
AP890126-0096 4:0.8521959459459459 9:0.05827702702702703 3:0.03462837837837838 16:0.02787162162162162 12:0.004222972972972973 19:0.004222972972972973 7:0.004222972972972973 8:0.004222972972972973 11:8.445945945945946E-4 13:8.445945945945946E-4 14:8.445945945945946E-4 15:8.445945945945946E-4 17:8.445945945945946E-4 18:8.445945945945946E-4 0:8.445945945945946E-4 1:8.445945945945946E-4 2:8.445945945945946E-4 5:8.445945945945946E-4 6:8.445945945945946E-4 10:8.445945945945946E-4
AP890126-0134 5:0.5442546583850931 9:0.19642857142857142 11:0.19021739130434784 16:0.019409937888198756 0:0.010093167701863354 12:0.006987577639751553 17:0.006987577639751553 2:0.006987577639751553 7:0.006987577639751553 1:0.0038819875776397515 13:7.763975155279503E-4 14:7.763975155279503E-4 15:7.763975155279503E-4 18:7.763975155279503E-4 19:7.763975155279503E-4 3:7.763975155279503E-4 4:7.763975155279503E-4 6:7.763975155279503E-4 8:7.763975155279503E-4 10:7.763975155279503E-4
AP890126-0141 0:0.7685758513931888 9:0.0781733746130031 3:0.06578947368421052 18:0.02863777089783282 11:0.013157894736842105 12:0.010061919504643963 15:0.010061919504643963 10:0.010061919504643963 14:0.003869969040247678 5:0.003869969040247678 13:7.739938080495357E-4 16:7.739938080495357E-4 17:7.739938080495357E-4 19:7.739938080495357E-4 1:7.739938080495357E-4 2:7.739938080495357E-4 4:7.739938080495357E-4 6:7.739938080495357E-4 7:7.739938080495357E-4 8:7.739938080495357E-4
