AP890101-0002 2:0.23648648648648649 0:0.15786240786240785 19:0.10872235872235872 7:0.09398034398034398 5:0.08169533169533169 13:0.07678132678132678 11:0.06203931203931204 4:0.05466830466830467 6:0.049754299754299756 10:0.04238329238329238 9:0.017813267813267815 16:0.010442260442260442 1:0.003071253071253071 12:6.142506142506142E-4 14:6.142506142506142E-4 15:6.142506142506142E-4 17:6.142506142506142E-4 18:6.142506142506142E-4 3:6.142506142506142E-4 8:6.142506142506142E-4
AP890105-0253 12:0.7685185185185185 5:0.07716049382716049 16:0.027777777777777776 11:0.015432098765432098 0:0.015432098765432098 2:0.015432098765432098 4:0.015432098765432098 6:0.015432098765432098 9:0.015432098765432098 13:0.0030864197530864196 14:0.0030864197530864196 15:0.0030864197530864196 17:0.0030864197530864196 18:0.0030864197530864196 19:0.0030864197530864196 1:0.0030864197530864196 3:0.0030864197530864196 7:0.0030864197530864196 8:0.0030864197530864196 10:0.0030864197530864196
AP890105-0263 12:0.7116228070175439 5:0.08881578947368421 2:0.0756578947368421 1:0.03179824561403509 11:0.023026315789473683 13:0.01425438596491228 17:0.01425438596491228 4:0.01425438596491228 18:0.009868421052631578 0:0.005482456140350877 14:0.0010964912280701754 15:0.0010964912280701754 16:0.0010964912280701754 19:0.0010964912280701754 3:0.0010964912280701754 6:0.0010964912280701754 7:0.0010964912280701754 8:0.0010964912280701754 9:0.0010964912280701754 10:0.0010964912280701754
AP890105-0287 16:0.39540816326530615 5:0.24914965986394558 18:0.14370748299319727 19:0.058673469387755105 2:0.045068027210884355 9:0.045068027210884355 13:0.03486394557823129 1:0.007653061224489796 14:0.004251700680272109 17:0.004251700680272109 8:0.004251700680272109 11:8.503401360544217E-4 12:8.503401360544217E-4 15:8.503401360544217E-4 0:8.503401360544217E-4 3:8.503401360544217E-4 4:8.503401360544217E-4 6:8.503401360544217E-4 7:8.503401360544217E-4 10:8.503401360544217E-4
AP890106-0047 6:0.45063025210084034 9:0.34138655462184875 2:0.10609243697478991 19:0.03046218487394958 17:0.01365546218487395 7:0.01365546218487395 11:0.009453781512605041 1:0.009453781512605041 5:0.009453781512605041 0:0.005252100840336135 12:0.0010504201680672268 13:0.0010504201680672268 14:0.0010504201680672268 15:0.0010504201680672268 16:0.0010504201680672268 18:0.0010504201680672268 3:0.0010504201680672268 4:0.0010504201680672268 8:0.0010504201680672268 10:0.0010504201680672268
AP890106-0147 9:0.3292079207920792 2:0.1707920792079208 13:0.15099009900990099 6:0.12128712871287128 0:0.10148514851485149 15:0.06188118811881188 1:0.022277227722772276 3:0.012376237623762377 11:0.0024752475247524753 12:0.0024752475247524753 14:0.0024752475247524753 16:0.0024752475247524753 17:0.0024752475247524753 18:0.0024752475247524753 19:0.0024752475247524753 4:0.0024752475247524753 5:0.0024752475247524753 7:0.0024752475247524753 8:0.0024752475247524753 10:0.0024752475247524753
AP890106-0149 6:0.3484455958549223 11:0.17746113989637305 2:0.17746113989637305 8:0.10492227979274611 5:0.05310880829015544 9:0.04792746113989637 10:0.04792746113989637 4:0.022020725388601035 17:0.006476683937823834 12:0.0012953367875647669 13:0.0012953367875647669 14:0.0012953367875647669 15:0.0012953367875647669 16:0.0012953367875647669 18:0.0012953367875647669 19:0.0012953367875647669 0:0.0012953367875647669 1:0.0012953367875647669 3:0.0012953367875647669 7:0.0012953367875647669
AP890107-0086 9:0.5253712871287128 17:0.14913366336633663 15:0.08972772277227722 14:0.05754950495049505 3:0.055074257425742575 2:0.0327970297029703 18:0.03032178217821782 6:0.017945544554455444 0:0.01547029702970297 5:0.01547029702970297 19:0.003094059405940594 10:0.003094059405940594 11:6.188118811881188E-4 12:6.188118811881188E-4 13:6.188118811881188E-4 16:6.188118811881188E-4 1:6.188118811881188E-4 4:6.188118811881188E-4 7:6.188118811881188E-4 8:6.188118811881188E-4
AP890107-0091 1:0.42257462686567165 2:0.228544776119403 4:0.16884328358208955 10:0.12779850746268656 15:0.01958955223880597 6:0.012126865671641791 19:0.0046641791044776115 8:0.0046641791044776115 11:9.328358208955224E-4 12:9.328358208955224E-4 13:9.328358208955224E-4 14:9.328358208955224E-4 16:9.328358208955224E-4 17:9.328358208955224E-4 18:9.328358208955224E-4 0:9.328358208955224E-4 3:9.328358208955224E-4 5:9.328358208955224E-4 7:9.328358208955224E-4 9:9.328358208955224E-4
AP890107-0117 4:0.2540650406504065 2:0.22154471544715448 16:0.18089430894308944 8:0.10772357723577236 17:0.07520325203252033 5:0.0508130081300813 18:0.026422764227642278 10:0.026422764227642278 1:0.018292682926829267 15:0.01016260162601626 6:0.01016260162601626 11:0.0020325203252032522 12:0.0020325203252032522 13:0.0020325203252032522 14:0.0020325203252032522 19:0.0020325203252032522 0:0.0020325203252032522 3:0.0020325203252032522 7:0.0020325203252032522 9:0.0020325203252032522
AP890107-0120 9:0.503140703517588 17:0.09108040201005026 2:0.0885678391959799 15:0.08605527638190955 6:0.0835427135678392 3:0.05339195979899498 13:0.035804020100502515 14:0.013190954773869347 8:0.010678391959798994 18:0.008165829145728644 12:0.005653266331658292 0:0.005653266331658292 4:0.005653266331658292 19:0.00314070351758794 7:0.00314070351758794 11:6.28140703517588E-4 16:6.28140703517588E-4 1:6.28140703517588E-4 5:6.28140703517588E-4 10:6.28140703517588E-4
AP890107-0150 15:0.6483333333333333 3:0.06833333333333333 14:0.055 8:0.04833333333333333 4:0.041666666666666664 11:0.035 17:0.021666666666666667 18:0.021666666666666667 13:0.015 2:0.015 6:0.015 12:0.0016666666666666668 16:0.0016666666666666668 19:0.0016666666666666668 0:0.0016666666666666668 1:0.0016666666666666668 5:0.0016666666666666668 7:0.0016666666666666668 9:0.0016666666666666668 10:0.0016666666666666668
AP890109-0011 6:0.32933579335793356 2:0.1595940959409594 5:0.1411439114391144 4:0.13745387453874539 1:0.13007380073800737 8:0.05996309963099631 18:0.026752767527675275 11:0.004612546125461255 12:9.225092250922509E-4 13:9.225092250922509E-4 14:9.225092250922509E-4 15:9.225092250922509E-4 16:9.225092250922509E-4 17:9.225092250922509E-4 19:9.225092250922509E-4 0:9.225092250922509E-4 3:9.225092250922509E-4 7:9.225092250922509E-4 9:9.225092250922509E-4 10:9.225092250922509E-4
AP890109-0016 1:0.4635678391959799 2:0.1972361809045226 4:0.1670854271356784 10:0.10678391959798995 15:0.031407035175879394 13:0.011306532663316583 19:0.00628140703517588 11:0.001256281407035176 12:0.001256281407035176 14:0.001256281407035176 16:0.001256281407035176 17:0.001256281407035176 18:0.001256281407035176 0:0.001256281407035176 3:0.001256281407035176 5:0.001256281407035176 6:0.001256281407035176 7:0.001256281407035176 8:0.001256281407035176 9:0.001256281407035176
AP890109-0322 13:0.5616666666666666 2:0.10166666666666667 3:0.055 16:0.041666666666666664 10:0.041666666666666664 19:0.035 14:0.028333333333333332 17:0.028333333333333332 5:0.028333333333333332 6:0.028333333333333332 9:0.028333333333333332 12:0.008333333333333333 11:0.0016666666666666668 15:0.0016666666666666668 18:0.0016666666666666668 0:0.0016666666666666668 1:0.0016666666666666668 4:0.0016666666666666668 7:0.0016666666666666668 8:0.0016666666666666668
AP890110-0263 5:0.4841549295774648 4:0.1273474178403756 1:0.10856807511737089 10:0.10152582159624413 2:0.07570422535211267 8:0.024061032863849766 12:0.02171361502347418 0:0.01936619718309859 18:0.014671361502347418 15:0.009976525821596244 11:0.0029342723004694834 13:0.0029342723004694834 9:0.0029342723004694834 14:5.868544600938967E-4 16:5.868544600938967E-4 17:5.868544600938967E-4 19:5.868544600938967E-4 3:5.868544600938967E-4 6:5.868544600938967E-4 7:5.868544600938967E-4
AP890110-0290 19:0.7541322314049587 2:0.05165289256198347 1:0.04338842975206612 11:0.026859504132231406 5:0.026859504132231406 17:0.01859504132231405 0:0.01859504132231405 4:0.01859504132231405 7:0.01859504132231405 12:0.002066115702479339 13:0.002066115702479339 14:0.002066115702479339 15:0.002066115702479339 16:0.002066115702479339 18:0.002066115702479339 3:0.002066115702479339 6:0.002066115702479339 8:0.002066115702479339 9:0.002066115702479339 10:0.002066115702479339
AP890110-0292 13:0.260250569476082 16:0.1714123006833713 19:0.11446469248291571 2:0.10990888382687927 8:0.06662870159453303 1:0.057517084282460135 10:0.050683371298405465 3:0.043849658314350795 6:0.037015945330296125 0:0.02562642369020501 5:0.021070615034168565 11:0.01879271070615034 7:0.00968109339407745 4:0.007403189066059226 9:0.0028473804100227792 12:5.694760820045558E-4 14:5.694760820045558E-4 15:5.694760820045558E-4 17:5.694760820045558E-4 18:5.694760820045558E-4
AP890110-0308 5:0.2916666666666667 1:0.24933862433862433 10:0.2175925925925926 2:0.11441798941798942 8:0.04034391534391534 9:0.02976190476190476 4:0.016534391534391533 12:0.011243386243386243 17:0.011243386243386243 7:0.005952380952380952 19:0.0033068783068783067 3:0.0033068783068783067 11:6.613756613756613E-4 13:6.613756613756613E-4 14:6.613756613756613E-4 15:6.613756613756613E-4 16:6.613756613756613E-4 18:6.613756613756613E-4 0:6.613756613756613E-4 6:6.613756613756613E-4
AP890111-0276 12:0.32165948275862066 1:0.23976293103448276 17:0.13631465517241378 2:0.11260775862068965 15:0.08890086206896551 5:0.017780172413793104 9:0.017780172413793104 13:0.013469827586206896 14:0.009159482758620689 3:0.009159482758620689 8:0.009159482758620689 19:0.007004310344827586 11:0.004849137931034483 16:0.004849137931034483 0:0.0026939655172413795 4:0.0026939655172413795 18:5.387931034482759E-4 6:5.387931034482759E-4 7:5.387931034482759E-4 10:5.387931034482759E-4
AP890112-0051 9:0.21305418719211822 10:0.20320197044334976 1:0.1687192118226601 2:0.1539408866995074 16:0.0603448275862069 4:0.0603448275862069 12:0.04064039408866995 14:0.04064039408866995 8:0.01600985221674877 11:0.011083743842364532 3:0.011083743842364532 15:0.006157635467980296 19:0.006157635467980296 13:0.0012315270935960591 17:0.0012315270935960591 18:0.0012315270935960591 0:0.0012315270935960591 5:0.0012315270935960591 6:0.0012315270935960591 7:0.0012315270935960591
AP890112-0054 15:0.28125 2:0.15625 18:0.14434523809523808 8:0.09077380952380952 13:0.07886904761904762 9:0.07291666666666667 5:0.049107142857142856 16:0.043154761904761904 3:0.025297619047619048 6:0.019345238095238096 1:0.013392857142857142 12:0.00744047619047619 14:0.00744047619047619 11:0.001488095238095238 17:0.001488095238095238 19:0.001488095238095238 0:0.001488095238095238 4:0.001488095238095238 7:0.001488095238095238 10:0.001488095238095238
AP890112-0280 13:0.3735207100591716 2:0.10724852071005918 5:0.09245562130177515 0:0.07766272189349112 8:0.06878698224852071 3:0.059911242603550297 1:0.053994082840236685 11:0.04215976331360947 4:0.036242603550295856 7:0.02440828402366864 17:0.021449704142011833 12:0.01257396449704142 19:0.009615384615384616 16:0.006656804733727811 6:0.006656804733727811 18:0.0036982248520710057 14:7.396449704142012E-4 15:7.396449704142012E-4 9:7.396449704142012E-4 10:7.396449704142012E-4
AP890113-0121 19:0.4654471544715447 8:0.18089430894308944 6:0.10772357723577236 18:0.05894308943089431 1:0.0508130081300813 17:0.026422764227642278 12:0.018292682926829267 14:0.018292682926829267 2:0.018292682926829267 7:0.018292682926829267 10:0.018292682926829267 11:0.0020325203252032522 13:0.0020325203252032522 15:0.0020325203252032522 16:0.0020325203252032522 0:0.0020325203252032522 3:0.0020325203252032522 4:0.0020325203252032522 5:0.0020325203252032522 9:0.0020325203252032522
AP890113-0225 7:0.6777482269503546 2:0.18661347517730498 1:0.05186170212765957 4:0.03945035460992908 5:0.018173758865248225 14:0.011081560283687944 19:0.00576241134751773 0:0.002216312056737589 9:0.002216312056737589 11:4.432624113475177E-4 12:4.432624113475177E-4 13:4.432624113475177E-4 15:4.432624113475177E-4 16:4.432624113475177E-4 17:4.432624113475177E-4 18:4.432624113475177E-4 3:4.432624113475177E-4 6:4.432624113475177E-4 8:4.432624113475177E-4 10:4.432624113475177E-4
AP890113-0226 7:0.986271676300578 11:7.22543352601156E-4 12:7.22543352601156E-4 13:7.22543352601156E-4 14:7.22543352601156E-4 15:7.22543352601156E-4 16:7.22543352601156E-4 17:7.22543352601156E-4 18:7.22543352601156E-4 19:7.22543352601156E-4 0:7.22543352601156E-4 1:7.22543352601156E-4 2:7.22543352601156E-4 3:7.22543352601156E-4 4:7.22543352601156E-4 5:7.22543352601156E-4 6:7.22543352601156E-4 8:7.22543352601156E-4 9:7.22543352601156E-4 10:7.22543352601156E-4
AP890115-0067 14:0.37359550561797755 16:0.17134831460674158 4:0.17134831460674158 1:0.05898876404494382 2:0.05898876404494382 10:0.03651685393258427 5:0.025280898876404494 11:0.014044943820224719 17:0.014044943820224719 19:0.014044943820224719 3:0.014044943820224719 6:0.014044943820224719 8:0.014044943820224719 12:0.0028089887640449437 13:0.0028089887640449437 15:0.0028089887640449437 18:0.0028089887640449437 0:0.0028089887640449437 7:0.0028089887640449437 9:0.0028089887640449437
AP890115-0071 5:0.3641732283464567 9:0.23031496062992127 2:0.1437007874015748 11:0.04921259842519685 15:0.03346456692913386 4:0.03346456692913386 12:0.025590551181102362 1:0.025590551181102362 6:0.025590551181102362 17:0.017716535433070866 13:0.00984251968503937 14:0.00984251968503937 0:0.00984251968503937 10:0.00984251968503937 16:0.001968503937007874 18:0.001968503937007874 19:0.001968503937007874 3:0.001968503937007874 7:0.001968503937007874 8:0.001968503937007874
AP890116-0063 15:0.6869369369369369 14:0.10135135135135136 4:0.07432432432432433 2:0.05630630630630631 1:0.02027027027027027 8:0.02027027027027027 5:0.01126126126126126 11:0.0022522522522522522 12:0.0022522522522522522 13:0.0022522522522522522 16:0.0022522522522522522 17:0.0022522522522522522 18:0.0022522522522522522 19:0.0022522522522522522 0:0.0022522522522522522 3:0.0022522522522522522 6:0.0022522522522522522 7:0.0022522522522522522 9:0.0022522522522522522 10:0.0022522522522522522
AP890116-0075 5:0.392578125 9:0.220703125 2:0.134765625 15:0.095703125 4:0.064453125 3:0.025390625 11:0.017578125 18:0.017578125 0:0.009765625 12:0.001953125 13:0.001953125 14:0.001953125 16:0.001953125 17:0.001953125 19:0.001953125 1:0.001953125 6:0.001953125 7:0.001953125 8:0.001953125 10:0.001953125
AP890116-0118 10:0.5148809523809523 2:0.20297619047619048 13:0.055357142857142855 1:0.052976190476190475 19:0.03869047619047619 16:0.026785714285714284 9:0.022023809523809525 0:0.019642857142857142 14:0.01488095238095238 4:0.01488095238095238 11:0.01011904761904762 15:0.01011904761904762 6:0.007738095238095238 12:0.005357142857142857 17:5.952380952380953E-4 18:5.952380952380953E-4 3:5.952380952380953E-4 5:5.952380952380953E-4 7:5.952380952380953E-4 8:5.952380952380953E-4
AP890116-0120 10:0.3488857938718663 2:0.20403899721448468 19:0.14275766016713093 16:0.08147632311977716 13:0.07590529247910864 8:0.03969359331476323 0:0.02576601671309192 6:0.0201949860724234 15:0.017409470752089137 1:0.009052924791086351 3:0.009052924791086351 17:0.006267409470752089 4:0.006267409470752089 7:0.006267409470752089 14:0.003481894150417827 11:6.963788300835655E-4 12:6.963788300835655E-4 18:6.963788300835655E-4 5:6.963788300835655E-4 9:6.963788300835655E-4
AP890117-0004 4:0.3370253164556962 3:0.17246835443037975 15:0.14715189873417722 2:0.11550632911392406 16:0.08386075949367089 10:0.07120253164556962 11:0.020569620253164556 14:0.014240506329113924 6:0.014240506329113924 13:0.007911392405063292 12:0.0015822784810126582 17:0.0015822784810126582 18:0.0015822784810126582 19:0.0015822784810126582 0:0.0015822784810126582 1:0.0015822784810126582 5:0.0015822784810126582 7:0.0015822784810126582 8:0.0015822784810126582 9:0.0015822784810126582
AP890117-0238 5:0.5969827586206896 13:0.08836206896551724 15:0.0625 18:0.05387931034482758 1:0.05387931034482758 14:0.028017241379310345 11:0.01939655172413793 17:0.01939655172413793 2:0.01939655172413793 7:0.01939655172413793 19:0.010775862068965518 9:0.010775862068965518 12:0.0021551724137931034 16:0.0021551724137931034 0:0.0021551724137931034 3:0.0021551724137931034 4:0.0021551724137931034 6:0.0021551724137931034 8:0.0021551724137931034 10:0.0021551724137931034
AP890117-0276 18:0.331151832460733 15:0.2212041884816754 5:0.14790575916230367 19:0.10602094240837696 2:0.07460732984293193 14:0.058900523560209424 1:0.0274869109947644 4:0.011780104712041885 12:0.006544502617801047 11:0.0013089005235602095 13:0.0013089005235602095 16:0.0013089005235602095 17:0.0013089005235602095 0:0.0013089005235602095 3:0.0013089005235602095 6:0.0013089005235602095 7:0.0013089005235602095 8:0.0013089005235602095 9:0.0013089005235602095 10:0.0013089005235602095
AP890118-0178 9:0.6415343915343915 11:0.1388888888888889 6:0.06481481481481481 2:0.05952380952380952 1:0.04365079365079365 15:0.017195767195767195 17:0.006613756613756613 18:0.006613756613756613 3:0.006613756613756613 12:0.0013227513227513227 13:0.0013227513227513227 14:0.0013227513227513227 16:0.0013227513227513227 19:0.0013227513227513227 0:0.0013227513227513227 4:0.0013227513227513227 5:0.0013227513227513227 7:0.0013227513227513227 8:0.0013227513227513227 10:0.0013227513227513227
AP890118-0206 15:0.2650523560209424 3:0.2100785340314136 4:0.16819371727748691 2:0.15772251308900523 18:0.04253926701570681 0:0.037303664921465966 10:0.029450261780104712 16:0.026832460732984294 11:0.021596858638743454 14:0.021596858638743454 1:0.008507853403141362 12:0.0032722513089005235 9:0.0032722513089005235 13:6.544502617801048E-4 17:6.544502617801048E-4 19:6.544502617801048E-4 5:6.544502617801048E-4 6:6.544502617801048E-4 7:6.544502617801048E-4 8:6.544502617801048E-4
AP890118-0295 7:0.9776011560693642 5:0.006502890173410405 19:0.0036127167630057803 11:7.22543352601156E-4 12:7.22543352601156E-4 13:7.22543352601156E-4 14:7.22543352601156E-4 15:7.22543352601156E-4 16:7.22543352601156E-4 17:7.22543352601156E-4 18:7.22543352601156E-4 0:7.22543352601156E-4 1:7.22543352601156E-4 2:7.22543352601156E-4 3:7.22543352601156E-4 4:7.22543352601156E-4 6:7.22543352601156E-4 8:7.22543352601156E-4 9:7.22543352601156E-4 10:7.22543352601156E-4
AP890119-0144 8:0.6849593495934959 9:0.0508130081300813 18:0.034552845528455285 19:0.034552845528455285 12:0.026422764227642278 1:0.026422764227642278 5:0.026422764227642278 15:0.018292682926829267 2:0.018292682926829267 4:0.018292682926829267 10:0.018292682926829267 16:0.01016260162601626 3:0.01016260162601626 6:0.01016260162601626 11:0.0020325203252032522 13:0.0020325203252032522 14:0.0020325203252032522 17:0.0020325203252032522 0:0.0020325203252032522 7:0.0020325203252032522
AP890119-0227 17:0.6295918367346939 2:0.17244897959183675 9:0.06224489795918367 11:0.04183673469387755 12:0.02959183673469388 18:0.02959183673469388 4:0.009183673469387756 13:0.00510204081632653 3:0.00510204081632653 7:0.00510204081632653 14:0.0010204081632653062 15:0.0010204081632653062 16:0.0010204081632653062 19:0.0010204081632653062 0:0.0010204081632653062 1:0.0010204081632653062 5:0.0010204081632653062 6:0.0010204081632653062 8:0.0010204081632653062 10:0.0010204081632653062
AP890120-0017 18:0.2970383275261324 14:0.22386759581881532 9:0.1437282229965157 2:0.10540069686411149 19:0.08797909407665505 8:0.0740418118466899 4:0.046167247386759584 13:0.004355400696864111 0:0.004355400696864111 6:0.004355400696864111 11:8.710801393728223E-4 12:8.710801393728223E-4 15:8.710801393728223E-4 16:8.710801393728223E-4 17:8.710801393728223E-4 1:8.710801393728223E-4 3:8.710801393728223E-4 5:8.710801393728223E-4 7:8.710801393728223E-4 10:8.710801393728223E-4
AP890120-0241 14:0.6284448818897638 2:0.15403543307086615 9:0.1264763779527559 17:0.03986220472440945 6:0.0359251968503937 5:0.0044291338582677165 12:0.0024606299212598425 18:0.0024606299212598425 11:4.921259842519685E-4 13:4.921259842519685E-4 15:4.921259842519685E-4 16:4.921259842519685E-4 19:4.921259842519685E-4 0:4.921259842519685E-4 1:4.921259842519685E-4 3:4.921259842519685E-4 4:4.921259842519685E-4 7:4.921259842519685E-4 8:4.921259842519685E-4 10:4.921259842519685E-4
AP890121-0097 3:0.817652329749104 4:0.06496415770609319 14:0.025537634408602152 2:0.023745519713261647 9:0.023745519713261647 8:0.016577060931899642 17:0.012992831541218637 16:0.004032258064516129 15:0.002240143369175627 0:0.002240143369175627 5:0.002240143369175627 11:4.4802867383512545E-4 12:4.4802867383512545E-4 13:4.4802867383512545E-4 18:4.4802867383512545E-4 19:4.4802867383512545E-4 1:4.4802867383512545E-4 6:4.4802867383512545E-4 7:4.4802867383512545E-4 10:4.4802867383512545E-4
AP890121-0100 3:0.8015232974910395 4:0.0667562724014337 2:0.029121863799283155 14:0.027329749103942653 8:0.027329749103942653 9:0.018369175627240143 17:0.009408602150537635 6:0.0076164874551971325 11:0.004032258064516129 15:0.002240143369175627 19:0.002240143369175627 12:4.4802867383512545E-4 13:4.4802867383512545E-4 16:4.4802867383512545E-4 18:4.4802867383512545E-4 0:4.4802867383512545E-4 1:4.4802867383512545E-4 5:4.4802867383512545E-4 7:4.4802867383512545E-4 10:4.4802867383512545E-4
AP890122-0051 14:0.6186023622047244 2:0.171751968503937 9:0.11663385826771654 17:0.03789370078740158 6:0.0359251968503937 18:0.008366141732283465 8:0.0044291338582677165 11:4.921259842519685E-4 12:4.921259842519685E-4 13:4.921259842519685E-4 15:4.921259842519685E-4 16:4.921259842519685E-4 19:4.921259842519685E-4 0:4.921259842519685E-4 1:4.921259842519685E-4 3:4.921259842519685E-4 4:4.921259842519685E-4 5:4.921259842519685E-4 7:4.921259842519685E-4 10:4.921259842519685E-4
AP890122-0081 15:0.5535714285714286 6:0.1760204081632653 16:0.07397959183673469 1:0.05357142857142857 4:0.05357142857142857 3:0.03316326530612245 2:0.02295918367346939 11:0.002551020408163265 12:0.002551020408163265 13:0.002551020408163265 14:0.002551020408163265 17:0.002551020408163265 18:0.002551020408163265 19:0.002551020408163265 0:0.002551020408163265 5:0.002551020408163265 7:0.002551020408163265 8:0.002551020408163265 9:0.002551020408163265 10:0.002551020408163265
AP890123-0002 7:0.6848404255319149 2:0.18838652482269502 1:0.04654255319148936 4:0.04299645390070922 5:0.012854609929078014 14:0.011081560283687944 17:0.003989361702127659 19:0.003989361702127659 11:4.432624113475177E-4 12:4.432624113475177E-4 13:4.432624113475177E-4 15:4.432624113475177E-4 16:4.432624113475177E-4 18:4.432624113475177E-4 0:4.432624113475177E-4 3:4.432624113475177E-4 6:4.432624113475177E-4 8:4.432624113475177E-4 9:4.432624113475177E-4 10:4.432624113475177E-4
