AP890101-0014 2:0.26444723618090454 13:0.21168341708542712 9:0.16896984924623115 18:0.11871859296482412 15:0.05339195979899498 17:0.04585427135678392 8:0.04585427135678392 14:0.025753768844221106 1:0.023241206030150754 11:0.008165829145728644 16:0.008165829145728644 5:0.008165829145728644 0:0.005653266331658292 3:0.00314070351758794 7:0.00314070351758794 10:0.00314070351758794 12:6.28140703517588E-4 19:6.28140703517588E-4 4:6.28140703517588E-4 6:6.28140703517588E-4
AP890110-0282 10:0.5222513089005235 18:0.3180628272251309 9:0.054537521815008726 0:0.04406631762652705 11:0.028359511343804537 1:0.009162303664921465 7:0.009162303664921465 14:0.005671902268760907 17:0.002181500872600349 19:0.002181500872600349 12:4.363001745200698E-4 13:4.363001745200698E-4 15:4.363001745200698E-4 16:4.363001745200698E-4 2:4.363001745200698E-4 3:4.363001745200698E-4 4:4.363001745200698E-4 5:4.363001745200698E-4 6:4.363001745200698E-4 8:4.363001745200698E-4
AP890110-0310 17:0.4166666666666667 2:0.13095238095238096 6:0.12229437229437229 7:0.10930735930735931 9:0.10497835497835498 14:0.04004329004329004 19:0.022727272727272728 8:0.022727272727272728 12:0.00974025974025974 11:0.005411255411255411 18:0.005411255411255411 13:0.0010822510822510823 15:0.0010822510822510823 16:0.0010822510822510823 0:0.0010822510822510823 1:0.0010822510822510823 3:0.0010822510822510823 4:0.0010822510822510823 5:0.0010822510822510823 10:0.0010822510822510823
AP890111-0009 10:0.4492857142857143 18:0.2835714285714286 0:0.08071428571428571 7:0.04357142857142857 17:0.03785714285714286 9:0.03214285714285714 11:0.020714285714285713 13:0.015 1:0.012142857142857143 15:0.009285714285714286 3:0.0064285714285714285 5:0.0035714285714285713 12:7.142857142857143E-4 14:7.142857142857143E-4 16:7.142857142857143E-4 19:7.142857142857143E-4 2:7.142857142857143E-4 4:7.142857142857143E-4 6:7.142857142857143E-4 8:7.142857142857143E-4
AP890111-0053 13:0.2918326693227092 17:0.2201195219123506 15:0.17231075697211157 9:0.11653386454183266 14:0.060756972111553786 8:0.044820717131474105 18:0.03286852589641434 2:0.02091633466135458 11:0.012948207171314742 1:0.008964143426294821 6:0.008964143426294821 12:9.9601593625498E-4 16:9.9601593625498E-4 19:9.9601593625498E-4 0:9.9601593625498E-4 3:9.9601593625498E-4 4:9.9601593625498E-4 5:9.9601593625498E-4 7:9.9601593625498E-4 10:9.9601593625498E-4
AP890111-0146 9:0.3274647887323944 5:0.23450704225352112 14:0.1359154929577465 17:0.10211267605633803 2:0.04014084507042254 13:0.03450704225352113 7:0.03169014084507042 1:0.028873239436619718 18:0.02323943661971831 8:0.017605633802816902 11:0.009154929577464789 12:0.0035211267605633804 16:0.0035211267605633804 4:0.0035211267605633804 15:7.042253521126761E-4 19:7.042253521126761E-4 0:7.042253521126761E-4 3:7.042253521126761E-4 6:7.042253521126761E-4 10:7.042253521126761E-4
AP890111-0240 8:0.32142857142857145 2:0.31559766763848396 18:0.1348396501457726 9:0.11734693877551021 6:0.06486880466472303 14:0.009475218658892129 5:0.009475218658892129 19:0.006559766763848397 17:0.0036443148688046646 0:0.0036443148688046646 4:0.0036443148688046646 7:0.0036443148688046646 11:7.288629737609329E-4 12:7.288629737609329E-4 13:7.288629737609329E-4 15:7.288629737609329E-4 16:7.288629737609329E-4 1:7.288629737609329E-4 3:7.288629737609329E-4 10:7.288629737609329E-4
AP890112-0026 10:0.6592261904761905 18:0.2048611111111111 9:0.04017857142857143 1:0.020337301587301588 17:0.014384920634920634 16:0.01240079365079365 11:0.008432539682539682 5:0.006448412698412698 8:0.006448412698412698 19:0.004464285714285714 2:0.004464285714285714 3:0.004464285714285714 4:0.004464285714285714 15:0.00248015873015873 0:0.00248015873015873 6:0.00248015873015873 12:4.96031746031746E-4 13:4.96031746031746E-4 14:4.96031746031746E-4 7:4.96031746031746E-4
AP890112-0035 18:0.5738636363636364 4:0.11022727272727273 12:0.0875 9:0.0875 15:0.0375 16:0.023863636363636365 2:0.019318181818181818 19:0.014772727272727272 6:0.014772727272727272 14:0.010227272727272727 5:0.005681818181818182 8:0.005681818181818182 11:0.0011363636363636363 13:0.0011363636363636363 17:0.0011363636363636363 0:0.0011363636363636363 1:0.0011363636363636363 3:0.0011363636363636363 7:0.0011363636363636363 10:0.0011363636363636363
AP890112-0053 16:0.5106209150326797 15:0.10212418300653595 18:0.0988562091503268 9:0.0661764705882353 5:0.059640522875817 12:0.049836601307189546 13:0.04003267973856209 3:0.013888888888888888 19:0.010620915032679739 1:0.010620915032679739 6:0.010620915032679739 2:0.007352941176470588 7:0.007352941176470588 17:0.004084967320261438 0:0.004084967320261438 11:8.169934640522876E-4 14:8.169934640522876E-4 4:8.169934640522876E-4 8:8.169934640522876E-4 10:8.169934640522876E-4
AP890112-0176 16:0.4290697674418605 9:0.1686046511627907 5:0.1313953488372093 15:0.0755813953488372 13:0.047674418604651166 17:0.047674418604651166 14:0.029069767441860465 4:0.02441860465116279 0:0.010465116279069767 2:0.010465116279069767 11:0.005813953488372093 19:0.005813953488372093 6:0.005813953488372093 12:0.0011627906976744186 18:0.0011627906976744186 1:0.0011627906976744186 3:0.0011627906976744186 7:0.0011627906976744186 8:0.0011627906976744186 10:0.0011627906976744186
AP890112-0231 1:0.9895264116575592 0:0.002276867030965392 11:4.553734061930783E-4 12:4.553734061930783E-4 13:4.553734061930783E-4 14:4.553734061930783E-4 15:4.553734061930783E-4 16:4.553734061930783E-4 17:4.553734061930783E-4 18:4.553734061930783E-4 19:4.553734061930783E-4 2:4.553734061930783E-4 3:4.553734061930783E-4 4:4.553734061930783E-4 5:4.553734061930783E-4 6:4.553734061930783E-4 7:4.553734061930783E-4 8:4.553734061930783E-4 9:4.553734061930783E-4 10:4.553734061930783E-4
AP890112-0256 16:0.37028301886792453 10:0.2099056603773585 18:0.15330188679245282 6:0.11556603773584906 1:0.0589622641509434 14:0.030660377358490566 8:0.02122641509433962 15:0.01179245283018868 11:0.0023584905660377358 12:0.0023584905660377358 13:0.0023584905660377358 17:0.0023584905660377358 19:0.0023584905660377358 0:0.0023584905660377358 2:0.0023584905660377358 3:0.0023584905660377358 4:0.0023584905660377358 5:0.0023584905660377358 7:0.0023584905660377358 9:0.0023584905660377358
AP890113-0184 9:0.5882978723404255 18:0.12446808510638298 3:0.09468085106382979 14:0.07340425531914893 7:0.035106382978723406 8:0.035106382978723406 2:0.022340425531914895 5:0.013829787234042552 11:0.0010638297872340426 12:0.0010638297872340426 13:0.0010638297872340426 15:0.0010638297872340426 16:0.0010638297872340426 17:0.0010638297872340426 19:0.0010638297872340426 0:0.0010638297872340426 1:0.0010638297872340426 4:0.0010638297872340426 6:0.0010638297872340426 10:0.0010638297872340426
AP890113-0203 4:0.2951977401129944 15:0.2443502824858757 9:0.18785310734463276 17:0.09745762711864407 2:0.05790960451977401 19:0.03531073446327684 1:0.029661016949152543 6:0.02401129943502825 3:0.012711864406779662 11:0.0014124293785310734 12:0.0014124293785310734 13:0.0014124293785310734 14:0.0014124293785310734 16:0.0014124293785310734 18:0.0014124293785310734 0:0.0014124293785310734 5:0.0014124293785310734 7:0.0014124293785310734 8:0.0014124293785310734 10:0.0014124293785310734
AP890113-0242 10:0.3412863070539419 11:0.258298755186722 18:0.11721991701244813 9:0.09647302904564316 1:0.08402489626556017 15:0.03423236514522822 13:0.021784232365145227 6:0.017634854771784232 17:0.005186721991701245 0:0.005186721991701245 2:0.005186721991701245 4:0.005186721991701245 12:0.001037344398340249 14:0.001037344398340249 16:0.001037344398340249 19:0.001037344398340249 3:0.001037344398340249 5:0.001037344398340249 7:0.001037344398340249 8:0.001037344398340249
AP890116-0020 18:0.2770100502512563 0:0.16896984924623115 1:0.09610552763819095 19:0.08605527638190955 14:0.06344221105527638 11:0.05087939698492462 15:0.05087939698492462 9:0.04585427135678392 12:0.04334170854271357 6:0.03077889447236181 10:0.028266331658291458 5:0.0207286432160804 7:0.01821608040201005 2:0.005653266331658292 3:0.005653266331658292 4:0.005653266331658292 13:6.28140703517588E-4 16:6.28140703517588E-4 17:6.28140703517588E-4 8:6.28140703517588E-4
AP890117-0097 15:0.7166666666666667 4:0.11666666666666667 16:0.027777777777777776 6:0.027777777777777776 9:0.027777777777777776 11:0.005555555555555556 12:0.005555555555555556 13:0.005555555555555556 14:0.005555555555555556 17:0.005555555555555556 18:0.005555555555555556 19:0.005555555555555556 0:0.005555555555555556 1:0.005555555555555556 2:0.005555555555555556 3:0.005555555555555556 5:0.005555555555555556 7:0.005555555555555556 8:0.005555555555555556 10:0.005555555555555556
AP890117-0106 14:0.3992842535787321 9:0.32566462167689164 18:0.10276073619631902 7:0.09049079754601227 10:0.029141104294478526 8:0.01687116564417178 4:0.010736196319018405 6:0.010736196319018405 11:0.004601226993865031 19:0.004601226993865031 12:5.112474437627812E-4 13:5.112474437627812E-4 15:5.112474437627812E-4 16:5.112474437627812E-4 17:5.112474437627812E-4 0:5.112474437627812E-4 1:5.112474437627812E-4 2:5.112474437627812E-4 3:5.112474437627812E-4 5:5.112474437627812E-4
AP890117-0200 15:0.5992822966507177 18:0.12081339712918661 2:0.06339712918660287 9:0.05861244019138756 4:0.039473684210526314 13:0.025119617224880382 3:0.02033492822966507 16:0.01555023923444976 11:0.01076555023923445 19:0.01076555023923445 7:0.01076555023923445 10:0.01076555023923445 5:0.005980861244019139 12:0.0011961722488038277 14:0.0011961722488038277 17:0.0011961722488038277 0:0.0011961722488038277 1:0.0011961722488038277 6:0.0011961722488038277 8:0.0011961722488038277
AP890117-0202 14:0.4088132635253054 9:0.25 18:0.1330715532286213 7:0.12085514834205933 6:0.0318499127399651 16:0.01788830715532286 17:0.012652705061082025 0:0.010907504363001745 11:0.005671902268760907 19:0.002181500872600349 1:0.002181500872600349 12:4.363001745200698E-4 13:4.363001745200698E-4 15:4.363001745200698E-4 2:4.363001745200698E-4 3:4.363001745200698E-4 4:4.363001745200698E-4 5:4.363001745200698E-4 8:4.363001745200698E-4 10:4.363001745200698E-4
AP890117-0271 17:0.4682971014492754 6:0.15307971014492755 9:0.11684782608695653 8:0.10235507246376811 18:0.06974637681159421 1:0.029891304347826088 10:0.022644927536231884 4:0.01177536231884058 0:0.008152173913043478 2:0.004528985507246377 3:0.004528985507246377 11:9.057971014492754E-4 12:9.057971014492754E-4 13:9.057971014492754E-4 14:9.057971014492754E-4 15:9.057971014492754E-4 16:9.057971014492754E-4 19:9.057971014492754E-4 5:9.057971014492754E-4 7:9.057971014492754E-4
AP890118-0004 1:0.9913479052823315 11:4.553734061930783E-4 12:4.553734061930783E-4 13:4.553734061930783E-4 14:4.553734061930783E-4 15:4.553734061930783E-4 16:4.553734061930783E-4 17:4.553734061930783E-4 18:4.553734061930783E-4 19:4.553734061930783E-4 0:4.553734061930783E-4 2:4.553734061930783E-4 3:4.553734061930783E-4 4:4.553734061930783E-4 5:4.553734061930783E-4 6:4.553734061930783E-4 7:4.553734061930783E-4 8:4.553734061930783E-4 9:4.553734061930783E-4 10:4.553734061930783E-4
AP890118-0096 14:0.4413659793814433 9:0.23260309278350516 7:0.11920103092783506 18:0.11662371134020619 6:0.03157216494845361 8:0.013530927835051547 11:0.008376288659793814 0:0.008376288659793814 19:0.005798969072164949 3:0.005798969072164949 13:0.0032216494845360823 17:0.0032216494845360823 1:0.0032216494845360823 4:0.0032216494845360823 12:6.443298969072165E-4 15:6.443298969072165E-4 16:6.443298969072165E-4 2:6.443298969072165E-4 5:6.443298969072165E-4 10:6.443298969072165E-4
AP890119-0030 13:0.2355595667870036 17:0.2319494584837545 9:0.1272563176895307 7:0.1092057761732852 18:0.08393501805054152 4:0.04422382671480144 1:0.04061371841155235 10:0.029783393501805054 11:0.026173285198555957 3:0.01895306859205776 12:0.015342960288808664 2:0.015342960288808664 8:0.011732851985559567 5:0.004512635379061372 14:9.025270758122744E-4 15:9.025270758122744E-4 16:9.025270758122744E-4 19:9.025270758122744E-4 0:9.025270758122744E-4 6:9.025270758122744E-4
AP890119-0071 5:0.23026315789473684 15:0.19517543859649122 9:0.19517543859649122 18:0.125 4:0.05482456140350877 6:0.05482456140350877 19:0.046052631578947366 0:0.046052631578947366 11:0.010964912280701754 16:0.010964912280701754 17:0.010964912280701754 12:0.0021929824561403508 13:0.0021929824561403508 14:0.0021929824561403508 1:0.0021929824561403508 2:0.0021929824561403508 3:0.0021929824561403508 7:0.0021929824561403508 8:0.0021929824561403508 10:0.0021929824561403508
AP890119-0083 9:0.48023255813953486 1:0.1686046511627907 13:0.14069767441860465 15:0.08023255813953488 14:0.03837209302325582 7:0.029069767441860465 17:0.015116279069767442 5:0.015116279069767442 16:0.010465116279069767 18:0.010465116279069767 11:0.0011627906976744186 12:0.0011627906976744186 19:0.0011627906976744186 0:0.0011627906976744186 2:0.0011627906976744186 3:0.0011627906976744186 4:0.0011627906976744186 6:0.0011627906976744186 8:0.0011627906976744186 10:0.0011627906976744186
AP890119-0091 16:0.4685251798561151 18:0.12320143884892086 9:0.09442446043165467 2:0.0764388489208633 12:0.06564748201438848 1:0.0368705035971223 4:0.03327338129496403 19:0.029676258992805755 6:0.022482014388489208 15:0.015287769784172662 0:0.015287769784172662 13:0.0044964028776978415 17:0.0044964028776978415 10:0.0044964028776978415 11:8.992805755395684E-4 14:8.992805755395684E-4 3:8.992805755395684E-4 5:8.992805755395684E-4 7:8.992805755395684E-4 8:8.992805755395684E-4
AP890119-0187 14:0.21180555555555555 2:0.1840277777777778 18:0.1701388888888889 9:0.1284722222222222 0:0.07291666666666667 19:0.059027777777777776 10:0.059027777777777776 15:0.017361111111111112 17:0.017361111111111112 4:0.017361111111111112 6:0.017361111111111112 7:0.017361111111111112 11:0.003472222222222222 12:0.003472222222222222 13:0.003472222222222222 16:0.003472222222222222 1:0.003472222222222222 3:0.003472222222222222 5:0.003472222222222222 8:0.003472222222222222
AP890119-0225 15:0.5402208201892744 4:0.09542586750788644 18:0.09227129337539432 5:0.0638801261829653 9:0.0638801261829653 3:0.04810725552050473 17:0.032334384858044164 2:0.026025236593059938 7:0.01025236593059937 14:0.007097791798107256 1:0.007097791798107256 12:0.003943217665615142 10:0.003943217665615142 11:7.886435331230284E-4 13:7.886435331230284E-4 16:7.886435331230284E-4 19:7.886435331230284E-4 0:7.886435331230284E-4 6:7.886435331230284E-4 8:7.886435331230284E-4
AP890119-0300 18:0.36151079136690645 3:0.20323741007194246 4:0.1672661870503597 16:0.08812949640287769 15:0.06654676258992806 1:0.052158273381294966 12:0.01618705035971223 13:0.01618705035971223 14:0.008992805755395683 11:0.0017985611510791368 17:0.0017985611510791368 19:0.0017985611510791368 0:0.0017985611510791368 2:0.0017985611510791368 5:0.0017985611510791368 6:0.0017985611510791368 7:0.0017985611510791368 8:0.0017985611510791368 9:0.0017985611510791368 10:0.0017985611510791368
AP890120-0193 15:0.3606666666666667 18:0.20066666666666666 4:0.13933333333333334 9:0.11 17:0.056666666666666664 1:0.04066666666666666 12:0.038 11:0.014 13:0.011333333333333334 8:0.008666666666666666 19:0.006 0:0.006 16:0.0033333333333333335 14:6.666666666666666E-4 2:6.666666666666666E-4 3:6.666666666666666E-4 5:6.666666666666666E-4 6:6.666666666666666E-4 7:6.666666666666666E-4 10:6.666666666666666E-4
AP890123-0157 13:0.3902714932126697 18:0.16402714932126697 9:0.10067873303167421 12:0.08710407239819004 15:0.07352941176470588 4:0.06447963800904978 17:0.0418552036199095 6:0.023755656108597284 2:0.019230769230769232 3:0.014705882352941176 0:0.005656108597285068 10:0.005656108597285068 11:0.0011312217194570137 14:0.0011312217194570137 16:0.0011312217194570137 19:0.0011312217194570137 1:0.0011312217194570137 5:0.0011312217194570137 7:0.0011312217194570137 8:0.0011312217194570137
