AP890103-0012 8:0.21118421052631578 11:0.1875 12:0.17171052631578948 17:0.11644736842105263 9:0.09013157894736842 15:0.05592105263157895 16:0.0506578947368421 2:0.04276315789473684 4:0.021710526315789475 5:0.01381578947368421 13:0.008552631578947369 3:0.008552631578947369 19:0.0059210526315789476 6:0.0059210526315789476 14:0.003289473684210526 1:0.003289473684210526 18:6.578947368421052E-4 0:6.578947368421052E-4 7:6.578947368421052E-4 10:6.578947368421052E-4
AP890118-0082 14:0.36678832116788324 9:0.2281021897810219 4:0.1332116788321168 11:0.08941605839416059 16:0.08211678832116788 3:0.03102189781021898 7:0.03102189781021898 15:0.009124087591240875 18:0.009124087591240875 12:0.0018248175182481751 13:0.0018248175182481751 17:0.0018248175182481751 19:0.0018248175182481751 0:0.0018248175182481751 1:0.0018248175182481751 2:0.0018248175182481751 5:0.0018248175182481751 6:0.0018248175182481751 8:0.0018248175182481751 10:0.0018248175182481751
AP890118-0151 11:0.17827868852459017 3:0.16188524590163936 14:0.15915300546448088 7:0.15368852459016394 15:0.08265027322404371 9:0.0744535519125683 0:0.04439890710382514 2:0.04439890710382514 16:0.036202185792349725 19:0.03346994535519126 8:0.01707650273224044 6:0.006147540983606557 13:0.0034153005464480873 12:6.830601092896175E-4 17:6.830601092896175E-4 18:6.830601092896175E-4 1:6.830601092896175E-4 4:6.830601092896175E-4 5:6.830601092896175E-4 10:6.830601092896175E-4
AP890119-0023 14:0.3291984732824427 0:0.16125954198473283 11:0.14980916030534353 6:0.09637404580152671 19:0.05820610687022901 8:0.05820610687022901 9:0.046755725190839696 15:0.02767175572519084 18:0.02385496183206107 16:0.016221374045801526 17:0.008587786259541985 4:0.008587786259541985 5:0.004770992366412214 7:0.004770992366412214 12:9.541984732824427E-4 13:9.541984732824427E-4 1:9.541984732824427E-4 2:9.541984732824427E-4 3:9.541984732824427E-4 10:9.541984732824427E-4
AP890119-0244 0:0.5461711711711712 7:0.10022522522522523 11:0.09572072072072071 6:0.0731981981981982 12:0.05518018018018018 19:0.041666666666666664 8:0.02364864864864865 10:0.02364864864864865 9:0.019144144144144143 1:0.00563063063063063 3:0.00563063063063063 13:0.0011261261261261261 14:0.0011261261261261261 15:0.0011261261261261261 16:0.0011261261261261261 17:0.0011261261261261261 18:0.0011261261261261261 2:0.0011261261261261261 4:0.0011261261261261261 5:0.0011261261261261261
AP890120-0011 10:0.6467391304347826 5:0.1322463768115942 16:0.06702898550724638 9:0.05253623188405797 19:0.03804347826086957 7:0.030797101449275364 17:0.009057971014492754 11:0.0018115942028985507 12:0.0018115942028985507 13:0.0018115942028985507 14:0.0018115942028985507 15:0.0018115942028985507 18:0.0018115942028985507 0:0.0018115942028985507 1:0.0018115942028985507 2:0.0018115942028985507 3:0.0018115942028985507 4:0.0018115942028985507 6:0.0018115942028985507 8:0.0018115942028985507
AP890120-0104 14:0.34938837920489296 11:0.1811926605504587 0:0.13837920489296637 19:0.10779816513761468 9:0.07415902140672782 6:0.06804281345565749 18:0.028287461773700305 8:0.02522935779816514 5:0.016055045871559634 3:0.00382262996941896 12:7.645259938837921E-4 13:7.645259938837921E-4 15:7.645259938837921E-4 16:7.645259938837921E-4 17:7.645259938837921E-4 1:7.645259938837921E-4 2:7.645259938837921E-4 4:7.645259938837921E-4 7:7.645259938837921E-4 10:7.645259938837921E-4
AP890120-0129 3:0.2425 11:0.2325 14:0.1925 4:0.1925 6:0.0425 9:0.0325 5:0.0225 2:0.0125 12:0.0025 13:0.0025 15:0.0025 16:0.0025 17:0.0025 18:0.0025 19:0.0025 0:0.0025 1:0.0025 7:0.0025 8:0.0025 10:0.0025
AP890120-0181 4:0.5541958041958042 9:0.21153846153846154 7:0.08566433566433566 6:0.057692307692307696 11:0.022727272727272728 0:0.022727272727272728 18:0.015734265734265736 15:0.008741258741258742 12:0.0017482517482517483 13:0.0017482517482517483 14:0.0017482517482517483 16:0.0017482517482517483 17:0.0017482517482517483 19:0.0017482517482517483 1:0.0017482517482517483 2:0.0017482517482517483 3:0.0017482517482517483 5:0.0017482517482517483 8:0.0017482517482517483 10:0.0017482517482517483
AP890120-0240 12:0.5658567774936062 11:0.21035805626598467 2:0.05690537084398977 17:0.046675191815856776 0:0.03900255754475703 16:0.03644501278772379 1:0.010869565217391304 4:0.010869565217391304 3:0.008312020460358057 5:0.008312020460358057 13:6.393861892583121E-4 14:6.393861892583121E-4 15:6.393861892583121E-4 18:6.393861892583121E-4 19:6.393861892583121E-4 6:6.393861892583121E-4 7:6.393861892583121E-4 8:6.393861892583121E-4 9:6.393861892583121E-4 10:6.393861892583121E-4
AP890120-0245 12:0.3489010989010989 9:0.25 15:0.14377289377289376 0:0.07051282051282051 11:0.055860805860805864 2:0.03021978021978022 4:0.03021978021978022 14:0.026556776556776556 8:0.022893772893772892 19:0.008241758241758242 3:0.004578754578754579 13:9.157509157509158E-4 16:9.157509157509158E-4 17:9.157509157509158E-4 18:9.157509157509158E-4 1:9.157509157509158E-4 5:9.157509157509158E-4 6:9.157509157509158E-4 7:9.157509157509158E-4 10:9.157509157509158E-4
AP890121-0149 3:0.43215613382899626 7:0.13847583643122677 2:0.12732342007434944 11:0.09014869888475836 9:0.08643122676579926 19:0.041821561338289966 6:0.03810408921933085 4:0.015799256505576207 14:0.012081784386617101 15:0.004646840148698885 0:0.004646840148698885 12:9.293680297397769E-4 13:9.293680297397769E-4 16:9.293680297397769E-4 17:9.293680297397769E-4 18:9.293680297397769E-4 1:9.293680297397769E-4 5:9.293680297397769E-4 8:9.293680297397769E-4 10:9.293680297397769E-4
AP890122-0066 10:0.46743697478991597 9:0.1565126050420168 16:0.11449579831932773 4:0.08088235294117647 7:0.03466386554621849 3:0.026260504201680673 1:0.022058823529411766 11:0.017857142857142856 17:0.017857142857142856 14:0.01365546218487395 5:0.01365546218487395 18:0.009453781512605041 19:0.009453781512605041 6:0.009453781512605041 12:0.0010504201680672268 13:0.0010504201680672268 15:0.0010504201680672268 0:0.0010504201680672268 2:0.0010504201680672268 8:0.0010504201680672268
AP890123-0167 7:0.6172985781990521 19:0.11492890995260663 11:0.11018957345971564 9:0.09597156398104266 0:0.02014218009478673 4:0.015402843601895734 5:0.01066350710900474 12:0.001184834123222749 13:0.001184834123222749 14:0.001184834123222749 15:0.001184834123222749 16:0.001184834123222749 17:0.001184834123222749 18:0.001184834123222749 1:0.001184834123222749 2:0.001184834123222749 3:0.001184834123222749 6:0.001184834123222749 8:0.001184834123222749 10:0.001184834123222749
AP890123-0201 1:0.6925287356321839 9:0.17758620689655172 16:0.03045977011494253 15:0.028160919540229885 11:0.021264367816091954 2:0.016666666666666666 10:0.016666666666666666 4:0.005172413793103448 18:0.0028735632183908046 6:0.0028735632183908046 12:5.747126436781609E-4 13:5.747126436781609E-4 14:5.747126436781609E-4 17:5.747126436781609E-4 19:5.747126436781609E-4 0:5.747126436781609E-4 3:5.747126436781609E-4 5:5.747126436781609E-4 7:5.747126436781609E-4 8:5.747126436781609E-4
AP890123-0202 5:0.28191489361702127 6:0.2393617021276596 12:0.16276595744680852 4:0.06489361702127659 9:0.05638297872340425 1:0.052127659574468084 17:0.043617021276595745 13:0.026595744680851064 11:0.022340425531914895 18:0.018085106382978722 8:0.009574468085106383 10:0.009574468085106383 2:0.005319148936170213 14:0.0010638297872340426 15:0.0010638297872340426 16:0.0010638297872340426 19:0.0010638297872340426 0:0.0010638297872340426 3:0.0010638297872340426 7:0.0010638297872340426
AP890124-0019 19:0.2997737556561086 11:0.1323529411764706 2:0.12330316742081449 15:0.10972850678733032 9:0.10520361990950226 14:0.08710407239819004 5:0.05995475113122172 3:0.02828054298642534 10:0.014705882352941176 17:0.010180995475113122 6:0.010180995475113122 12:0.005656108597285068 7:0.005656108597285068 13:0.0011312217194570137 16:0.0011312217194570137 18:0.0011312217194570137 0:0.0011312217194570137 1:0.0011312217194570137 4:0.0011312217194570137 8:0.0011312217194570137
AP890124-0034 1:0.6036995515695067 9:0.14405829596412556 11:0.07903587443946189 6:0.052130044843049325 16:0.03195067264573991 15:0.02522421524663677 2:0.020739910313901346 10:0.020739910313901346 13:0.016255605381165918 12:5.605381165919282E-4 14:5.605381165919282E-4 17:5.605381165919282E-4 18:5.605381165919282E-4 19:5.605381165919282E-4 0:5.605381165919282E-4 3:5.605381165919282E-4 4:5.605381165919282E-4 5:5.605381165919282E-4 7:5.605381165919282E-4 8:5.605381165919282E-4
AP890124-0039 7:0.4329545454545455 12:0.14204545454545456 9:0.1375 4:0.09204545454545454 0:0.06931818181818182 19:0.060227272727272727 15:0.023863636363636365 18:0.014772727272727272 1:0.014772727272727272 11:0.0011363636363636363 13:0.0011363636363636363 14:0.0011363636363636363 16:0.0011363636363636363 17:0.0011363636363636363 2:0.0011363636363636363 3:0.0011363636363636363 5:0.0011363636363636363 6:0.0011363636363636363 8:0.0011363636363636363 10:0.0011363636363636363
AP890124-0172 1:0.5528169014084507 9:0.17253521126760563 5:0.07112676056338028 11:0.04014084507042254 12:0.03450704225352113 16:0.03450704225352113 2:0.03169014084507042 15:0.026056338028169014 18:0.020422535211267606 7:0.006338028169014085 13:0.0035211267605633804 14:7.042253521126761E-4 17:7.042253521126761E-4 19:7.042253521126761E-4 0:7.042253521126761E-4 3:7.042253521126761E-4 4:7.042253521126761E-4 6:7.042253521126761E-4 8:7.042253521126761E-4 10:7.042253521126761E-4
AP890124-0174 7:0.2869318181818182 9:0.2528409090909091 11:0.20738636363636365 14:0.11647727272727272 15:0.036931818181818184 1:0.036931818181818184 6:0.02556818181818182 12:0.002840909090909091 13:0.002840909090909091 16:0.002840909090909091 17:0.002840909090909091 18:0.002840909090909091 19:0.002840909090909091 0:0.002840909090909091 2:0.002840909090909091 3:0.002840909090909091 4:0.002840909090909091 5:0.002840909090909091 8:0.002840909090909091 10:0.002840909090909091
AP890124-0255 14:0.15718884120171675 12:0.14431330472103004 4:0.1271459227467811 11:0.11856223175965665 19:0.11641630901287553 9:0.10783261802575107 15:0.09495708154506438 0:0.08637339055793991 8:0.01984978540772532 6:0.017703862660944206 18:0.002682403433476395 2:0.002682403433476395 13:5.36480686695279E-4 16:5.36480686695279E-4 17:5.36480686695279E-4 1:5.36480686695279E-4 3:5.36480686695279E-4 5:5.36480686695279E-4 7:5.36480686695279E-4 10:5.36480686695279E-4
AP890125-0039 7:0.6312664907651715 11:0.1378627968337731 9:0.10092348284960422 19:0.037598944591029027 15:0.02704485488126649 3:0.02704485488126649 8:0.021767810026385226 2:0.005936675461741424 17:0.0032981530343007917 12:6.596306068601583E-4 13:6.596306068601583E-4 14:6.596306068601583E-4 16:6.596306068601583E-4 18:6.596306068601583E-4 0:6.596306068601583E-4 1:6.596306068601583E-4 4:6.596306068601583E-4 5:6.596306068601583E-4 6:6.596306068601583E-4 10:6.596306068601583E-4
AP890125-0163 15:0.2966666666666667 19:0.15266666666666667 12:0.118 9:0.118 11:0.08066666666666666 4:0.07533333333333334 18:0.054 0:0.03 8:0.03 14:0.014 1:0.014 5:0.008666666666666666 3:0.0033333333333333335 13:6.666666666666666E-4 16:6.666666666666666E-4 17:6.666666666666666E-4 2:6.666666666666666E-4 6:6.666666666666666E-4 7:6.666666666666666E-4 10:6.666666666666666E-4
AP890125-0217 7:0.6390410958904109 11:0.13219178082191782 9:0.1267123287671233 19:0.06917808219178082 10:0.011643835616438357 0:0.008904109589041096 8:0.003424657534246575 12:6.849315068493151E-4 13:6.849315068493151E-4 14:6.849315068493151E-4 15:6.849315068493151E-4 16:6.849315068493151E-4 17:6.849315068493151E-4 18:6.849315068493151E-4 1:6.849315068493151E-4 2:6.849315068493151E-4 3:6.849315068493151E-4 4:6.849315068493151E-4 5:6.849315068493151E-4 6:6.849315068493151E-4
AP890125-0239 6:0.2995426829268293 9:0.23246951219512196 5:0.09832317073170732 12:0.09527439024390244 11:0.06173780487804878 18:0.0586890243902439 1:0.055640243902439025 16:0.04954268292682927 13:0.012957317073170731 4:0.012957317073170731 15:0.006859756097560976 14:0.0038109756097560975 19:0.0038109756097560975 3:0.0038109756097560975 17:7.621951219512195E-4 0:7.621951219512195E-4 2:7.621951219512195E-4 7:7.621951219512195E-4 8:7.621951219512195E-4 10:7.621951219512195E-4
AP890125-0244 11:0.2423547400611621 19:0.1536697247706422 7:0.14755351681957188 9:0.11391437308868502 14:0.095565749235474 15:0.08333333333333333 16:0.08027522935779817 5:0.02217125382262997 12:0.016055045871559634 17:0.009938837920489297 1:0.009938837920489297 3:0.009938837920489297 4:0.006880733944954129 13:0.00382262996941896 18:7.645259938837921E-4 0:7.645259938837921E-4 2:7.645259938837921E-4 6:7.645259938837921E-4 8:7.645259938837921E-4 10:7.645259938837921E-4
AP890126-0017 7:0.5340909090909091 11:0.13456937799043062 0:0.07476076555023924 9:0.06279904306220095 19:0.060406698564593304 16:0.038875598086124404 15:0.022129186602870814 2:0.019736842105263157 4:0.010167464114832535 8:0.010167464114832535 6:0.00777511961722488 10:0.00777511961722488 17:0.005382775119617225 13:0.0029904306220095694 1:0.0029904306220095694 3:0.0029904306220095694 12:5.980861244019139E-4 14:5.980861244019139E-4 18:5.980861244019139E-4 5:5.980861244019139E-4
AP890126-0050 1:0.7543103448275862 9:0.17959770114942528 11:0.035919540229885055 13:0.007183908045977011 12:0.0014367816091954023 14:0.0014367816091954023 15:0.0014367816091954023 16:0.0014367816091954023 17:0.0014367816091954023 18:0.0014367816091954023 19:0.0014367816091954023 0:0.0014367816091954023 2:0.0014367816091954023 3:0.0014367816091954023 4:0.0014367816091954023 5:0.0014367816091954023 6:0.0014367816091954023 7:0.0014367816091954023 8:0.0014367816091954023 10:0.0014367816091954023
AP890126-0087 6:0.46924603174603174 1:0.15575396825396826 9:0.15178571428571427 16:0.10813492063492064 17:0.0248015873015873 3:0.0248015873015873 10:0.020833333333333332 0:0.016865079365079364 13:0.008928571428571428 2:0.008928571428571428 11:9.92063492063492E-4 12:9.92063492063492E-4 14:9.92063492063492E-4 15:9.92063492063492E-4 18:9.92063492063492E-4 19:9.92063492063492E-4 4:9.92063492063492E-4 5:9.92063492063492E-4 7:9.92063492063492E-4 8:9.92063492063492E-4
