AP890101-0002 0:0.32002457002457 16:0.2905405405405405 12:0.08415233415233415 17:0.07186732186732187 11:0.057125307125307126 10:0.03992628992628992 5:0.032555282555282554 18:0.02764127764127764 19:0.02764127764127764 2:0.017813267813267815 4:0.007985257985257985 1:0.005528255528255528 8:0.005528255528255528 3:0.003071253071253071 6:0.003071253071253071 9:0.003071253071253071 13:6.142506142506142E-4 14:6.142506142506142E-4 15:6.142506142506142E-4 7:6.142506142506142E-4
AP890109-0318 4:0.6041666666666666 16:0.11397058823529412 15:0.06985294117647059 7:0.05514705882352941 0:0.05024509803921569 2:0.025735294117647058 9:0.025735294117647058 18:0.015931372549019607 17:0.011029411764705883 8:0.011029411764705883 5:0.006127450980392157 11:0.0012254901960784314 12:0.0012254901960784314 13:0.0012254901960784314 14:0.0012254901960784314 19:0.0012254901960784314 1:0.0012254901960784314 3:0.0012254901960784314 6:0.0012254901960784314 10:0.0012254901960784314
AP890109-0344 0:0.3503289473684211 16:0.2450657894736842 12:0.12664473684210525 6:0.1069078947368421 8:0.04111842105263158 3:0.027960526315789474 5:0.027960526315789474 15:0.014802631578947368 17:0.014802631578947368 19:0.008223684210526315 1:0.008223684210526315 9:0.008223684210526315 10:0.008223684210526315 11:0.001644736842105263 13:0.001644736842105263 14:0.001644736842105263 18:0.001644736842105263 2:0.001644736842105263 4:0.001644736842105263 7:0.001644736842105263
AP890109-0349 8:0.253125 18:0.128125 9:0.128125 0:0.103125 16:0.090625 10:0.065625 2:0.053125 3:0.053125 5:0.053125 12:0.015625 4:0.015625 7:0.015625 11:0.003125 13:0.003125 14:0.003125 15:0.003125 17:0.003125 19:0.003125 1:0.003125 6:0.003125
AP890110-0022 2:0.5076219512195121 1:0.19054878048780488 16:0.14176829268292682 19:0.07469512195121951 4:0.019817073170731708 13:0.013719512195121951 8:0.013719512195121951 9:0.013719512195121951 11:0.007621951219512195 12:0.001524390243902439 14:0.001524390243902439 15:0.001524390243902439 17:0.001524390243902439 18:0.001524390243902439 0:0.001524390243902439 3:0.001524390243902439 5:0.001524390243902439 6:0.001524390243902439 7:0.001524390243902439 10:0.001524390243902439
AP890110-0223 14:0.29439746300211417 11:0.18657505285412262 16:0.11469344608879492 10:0.1062367864693446 13:0.04704016913319239 7:0.04704016913319239 3:0.04281183932346723 9:0.034355179704016914 19:0.028012684989429177 1:0.028012684989429177 12:0.019556025369978858 15:0.019556025369978858 6:0.0153276955602537 17:0.006871035940803382 5:0.006871035940803382 18:5.285412262156448E-4 0:5.285412262156448E-4 2:5.285412262156448E-4 4:5.285412262156448E-4 8:5.285412262156448E-4
AP890111-0021 5:0.5180965147453083 15:0.1427613941018767 16:0.10522788203753351 9:0.04624664879356569 2:0.035522788203753354 7:0.035522788203753354 3:0.030160857908847184 18:0.027479892761394103 4:0.027479892761394103 14:0.011394101876675604 13:0.00871313672922252 11:0.003351206434316354 6:0.003351206434316354 12:6.702412868632708E-4 17:6.702412868632708E-4 19:6.702412868632708E-4 0:6.702412868632708E-4 1:6.702412868632708E-4 8:6.702412868632708E-4 10:6.702412868632708E-4
AP890111-0260 19:0.3417630057803468 4:0.2579479768786127 6:0.20592485549132947 16:0.15390173410404626 13:0.00939306358381503 1:0.006502890173410405 7:0.006502890173410405 12:0.0036127167630057803 8:0.0036127167630057803 10:0.0036127167630057803 11:7.22543352601156E-4 14:7.22543352601156E-4 15:7.22543352601156E-4 17:7.22543352601156E-4 18:7.22543352601156E-4 0:7.22543352601156E-4 2:7.22543352601156E-4 3:7.22543352601156E-4 5:7.22543352601156E-4 9:7.22543352601156E-4
AP890112-0240 12:0.75 16:0.08559322033898305 6:0.07203389830508475 15:0.017796610169491526 17:0.017796610169491526 3:0.011016949152542373 5:0.011016949152542373 1:0.007627118644067797 9:0.007627118644067797 11:0.00423728813559322 18:0.00423728813559322 10:0.00423728813559322 13:8.47457627118644E-4 14:8.47457627118644E-4 19:8.47457627118644E-4 0:8.47457627118644E-4 2:8.47457627118644E-4 4:8.47457627118644E-4 7:8.47457627118644E-4 8:8.47457627118644E-4
AP890113-0027 19:0.3694029850746269 1:0.17537313432835822 16:0.16044776119402984 6:0.1455223880597015 13:0.03109452736318408 4:0.03109452736318408 7:0.03109452736318408 12:0.01616915422885572 5:0.011194029850746268 11:0.006218905472636816 2:0.006218905472636816 8:0.006218905472636816 14:0.0012437810945273632 15:0.0012437810945273632 17:0.0012437810945273632 18:0.0012437810945273632 0:0.0012437810945273632 3:0.0012437810945273632 9:0.0012437810945273632 10:0.0012437810945273632
AP890113-0061 2:0.46467391304347827 16:0.12409420289855072 10:0.12409420289855072 9:0.0552536231884058 7:0.051630434782608696 6:0.04800724637681159 12:0.029891304347826088 3:0.029891304347826088 1:0.019021739130434784 13:0.015398550724637682 11:0.01177536231884058 8:0.01177536231884058 5:0.008152173913043478 14:9.057971014492754E-4 15:9.057971014492754E-4 17:9.057971014492754E-4 18:9.057971014492754E-4 19:9.057971014492754E-4 0:9.057971014492754E-4 4:9.057971014492754E-4
AP890113-0087 9:0.46166666666666667 16:0.215 17:0.08166666666666667 7:0.055 19:0.04833333333333333 8:0.041666666666666664 12:0.035 15:0.015 1:0.015 3:0.008333333333333333 5:0.008333333333333333 11:0.0016666666666666668 13:0.0016666666666666668 14:0.0016666666666666668 18:0.0016666666666666668 0:0.0016666666666666668 2:0.0016666666666666668 4:0.0016666666666666668 6:0.0016666666666666668 10:0.0016666666666666668
AP890113-0138 10:0.375 16:0.16004672897196262 7:0.1366822429906542 15:0.1133177570093458 0:0.052570093457943924 18:0.04322429906542056 11:0.038551401869158876 1:0.029205607476635514 2:0.015186915887850467 5:0.010514018691588784 13:0.005841121495327103 3:0.005841121495327103 4:0.005841121495327103 12:0.0011682242990654205 14:0.0011682242990654205 17:0.0011682242990654205 19:0.0011682242990654205 6:0.0011682242990654205 8:0.0011682242990654205 9:0.0011682242990654205
AP890113-0223 0:0.92125 11:0.04125 13:0.01625 12:0.00125 14:0.00125 15:0.00125 16:0.00125 17:0.00125 18:0.00125 19:0.00125 1:0.00125 2:0.00125 3:0.00125 4:0.00125 5:0.00125 6:0.00125 7:0.00125 8:0.00125 9:0.00125 10:0.00125
AP890113-0224 0:0.622 6:0.22733333333333333 19:0.06466666666666666 12:0.051333333333333335 16:0.014 8:0.006 11:0.0033333333333333335 13:0.0033333333333333335 14:6.666666666666666E-4 15:6.666666666666666E-4 17:6.666666666666666E-4 18:6.666666666666666E-4 1:6.666666666666666E-4 2:6.666666666666666E-4 3:6.666666666666666E-4 4:6.666666666666666E-4 5:6.666666666666666E-4 7:6.666666666666666E-4 9:6.666666666666666E-4 10:6.666666666666666E-4
AP890113-0262 2:0.5389518413597734 0:0.13385269121813032 16:0.13101983002832862 19:0.04603399433427762 1:0.037535410764872525 4:0.034702549575070823 17:0.023371104815864022 3:0.017705382436260624 14:0.009206798866855524 6:0.009206798866855524 8:0.006373937677053824 13:0.0035410764872521247 5:0.0035410764872521247 11:7.08215297450425E-4 12:7.08215297450425E-4 15:7.08215297450425E-4 18:7.08215297450425E-4 7:7.08215297450425E-4 9:7.08215297450425E-4 10:7.08215297450425E-4
AP890116-0017 9:0.7719594594594594 18:0.1097972972972973 8:0.048986486486486486 16:0.028716216216216218 3:0.015202702702702704 11:0.0016891891891891893 12:0.0016891891891891893 13:0.0016891891891891893 14:0.0016891891891891893 15:0.0016891891891891893 17:0.0016891891891891893 19:0.0016891891891891893 0:0.0016891891891891893 1:0.0016891891891891893 2:0.0016891891891891893 4:0.0016891891891891893 5:0.0016891891891891893 6:0.0016891891891891893 7:0.0016891891891891893 10:0.0016891891891891893
AP890116-0042 9:0.7298994974874372 18:0.1670854271356784 8:0.0414572864321608 16:0.026381909547738693 17:0.016331658291457288 11:0.001256281407035176 12:0.001256281407035176 13:0.001256281407035176 14:0.001256281407035176 15:0.001256281407035176 19:0.001256281407035176 0:0.001256281407035176 1:0.001256281407035176 2:0.001256281407035176 3:0.001256281407035176 4:0.001256281407035176 5:0.001256281407035176 6:0.001256281407035176 7:0.001256281407035176 10:0.001256281407035176
AP890117-0074 9:0.44014084507042256 7:0.11619718309859155 16:0.10211267605633803 1:0.10211267605633803 5:0.0880281690140845 15:0.045774647887323945 2:0.03169014084507042 17:0.017605633802816902 18:0.017605633802816902 11:0.0035211267605633804 12:0.0035211267605633804 13:0.0035211267605633804 14:0.0035211267605633804 19:0.0035211267605633804 0:0.0035211267605633804 3:0.0035211267605633804 4:0.0035211267605633804 6:0.0035211267605633804 8:0.0035211267605633804 10:0.0035211267605633804
AP890117-0214 18:0.18842364532019704 3:0.15886699507389163 2:0.1440886699507389 7:0.09975369458128079 9:0.08990147783251232 4:0.07512315270935961 15:0.05541871921182266 13:0.03571428571428571 16:0.03571428571428571 12:0.020935960591133004 19:0.020935960591133004 17:0.01600985221674877 0:0.01600985221674877 1:0.01600985221674877 5:0.011083743842364532 10:0.011083743842364532 11:0.0012315270935960591 14:0.0012315270935960591 6:0.0012315270935960591 8:0.0012315270935960591
AP890117-0229 6:0.5288778877887789 16:0.18564356435643564 12:0.07343234323432343 17:0.06683168316831684 1:0.03712871287128713 8:0.03382838283828383 14:0.03052805280528053 3:0.017326732673267328 9:0.007425742574257425 11:0.004125412541254125 19:0.004125412541254125 10:0.004125412541254125 13:8.250825082508251E-4 15:8.250825082508251E-4 18:8.250825082508251E-4 0:8.250825082508251E-4 2:8.250825082508251E-4 4:8.250825082508251E-4 5:8.250825082508251E-4 7:8.250825082508251E-4
AP890118-0025 8:0.45975609756097563 5:0.24024390243902438 0:0.09390243902439024 16:0.06951219512195123 9:0.05 19:0.03536585365853658 12:0.015853658536585366 17:0.01097560975609756 2:0.01097560975609756 11:0.0012195121951219512 13:0.0012195121951219512 14:0.0012195121951219512 15:0.0012195121951219512 18:0.0012195121951219512 1:0.0012195121951219512 3:0.0012195121951219512 4:0.0012195121951219512 6:0.0012195121951219512 7:0.0012195121951219512 10:0.0012195121951219512
AP890118-0292 0:0.91125 11:0.05125 12:0.01125 13:0.00625 14:0.00125 15:0.00125 16:0.00125 17:0.00125 18:0.00125 19:0.00125 1:0.00125 2:0.00125 3:0.00125 4:0.00125 5:0.00125 6:0.00125 7:0.00125 8:0.00125 9:0.00125 10:0.00125
AP890118-0293 0:0.622 6:0.22733333333333333 19:0.08333333333333333 12:0.048666666666666664 13:0.0033333333333333335 16:0.0033333333333333335 3:0.0033333333333333335 11:6.666666666666666E-4 14:6.666666666666666E-4 15:6.666666666666666E-4 17:6.666666666666666E-4 18:6.666666666666666E-4 1:6.666666666666666E-4 2:6.666666666666666E-4 4:6.666666666666666E-4 5:6.666666666666666E-4 7:6.666666666666666E-4 8:6.666666666666666E-4 9:6.666666666666666E-4 10:6.666666666666666E-4
AP890119-0016 9:0.28308823529411764 16:0.22426470588235295 3:0.16544117647058823 2:0.1213235294117647 1:0.07720588235294118 5:0.04779411764705882 19:0.01838235294117647 4:0.01838235294117647 11:0.003676470588235294 12:0.003676470588235294 13:0.003676470588235294 14:0.003676470588235294 15:0.003676470588235294 17:0.003676470588235294 18:0.003676470588235294 0:0.003676470588235294 6:0.003676470588235294 7:0.003676470588235294 8:0.003676470588235294 10:0.003676470588235294
AP890119-0136 5:0.30614973262032086 15:0.29010695187165775 16:0.18850267379679145 9:0.08689839572192513 12:0.02807486631016043 7:0.022727272727272728 11:0.017379679144385027 19:0.012032085561497326 4:0.012032085561497326 8:0.012032085561497326 17:0.0066844919786096255 3:0.0066844919786096255 13:0.001336898395721925 14:0.001336898395721925 18:0.001336898395721925 0:0.001336898395721925 1:0.001336898395721925 2:0.001336898395721925 6:0.001336898395721925 10:0.001336898395721925
AP890119-0240 0:0.3315677966101695 12:0.2086864406779661 16:0.1705508474576271 15:0.06885593220338983 10:0.0646186440677966 14:0.034957627118644065 7:0.03072033898305085 5:0.026483050847457626 9:0.018008474576271187 11:0.009533898305084746 13:0.009533898305084746 17:0.009533898305084746 18:0.005296610169491525 6:0.005296610169491525 19:0.001059322033898305 1:0.001059322033898305 2:0.001059322033898305 3:0.001059322033898305 4:0.001059322033898305 8:0.001059322033898305
AP890119-0307 12:0.41875 0:0.15208333333333332 11:0.12708333333333333 16:0.10208333333333333 9:0.08541666666666667 14:0.027083333333333334 2:0.01875 10:0.01875 13:0.010416666666666666 15:0.010416666666666666 4:0.010416666666666666 17:0.0020833333333333333 18:0.0020833333333333333 19:0.0020833333333333333 1:0.0020833333333333333 3:0.0020833333333333333 5:0.0020833333333333333 6:0.0020833333333333333 7:0.0020833333333333333 8:0.0020833333333333333
AP890120-0052 9:0.525 2:0.14722222222222223 16:0.08055555555555556 18:0.08055555555555556 5:0.06944444444444445 0:0.013888888888888888 3:0.013888888888888888 6:0.013888888888888888 8:0.013888888888888888 10:0.013888888888888888 11:0.002777777777777778 12:0.002777777777777778 13:0.002777777777777778 14:0.002777777777777778 15:0.002777777777777778 17:0.002777777777777778 19:0.002777777777777778 1:0.002777777777777778 4:0.002777777777777778 7:0.002777777777777778
AP890120-0089 9:0.5270833333333333 16:0.17708333333333334 8:0.10208333333333333 11:0.08541666666666667 17:0.035416666666666666 2:0.01875 4:0.01875 7:0.010416666666666666 12:0.0020833333333333333 13:0.0020833333333333333 14:0.0020833333333333333 15:0.0020833333333333333 18:0.0020833333333333333 19:0.0020833333333333333 0:0.0020833333333333333 1:0.0020833333333333333 3:0.0020833333333333333 5:0.0020833333333333333 6:0.0020833333333333333 10:0.0020833333333333333
AP890120-0182 3:0.5088028169014085 8:0.15669014084507044 16:0.07922535211267606 12:0.06514084507042253 1:0.058098591549295774 2:0.02992957746478873 5:0.022887323943661973 19:0.01584507042253521 9:0.01584507042253521 13:0.008802816901408451 4:0.008802816901408451 6:0.008802816901408451 10:0.008802816901408451 11:0.0017605633802816902 14:0.0017605633802816902 15:0.0017605633802816902 17:0.0017605633802816902 18:0.0017605633802816902 0:0.0017605633802816902 7:0.0017605633802816902
AP890120-0258 3:0.328125 16:0.19618055555555555 14:0.1684027777777778 7:0.0920138888888889 4:0.08506944444444445 0:0.029513888888888888 2:0.029513888888888888 17:0.022569444444444444 11:0.015625 19:0.015625 12:0.001736111111111111 13:0.001736111111111111 15:0.001736111111111111 18:0.001736111111111111 1:0.001736111111111111 5:0.001736111111111111 6:0.001736111111111111 8:0.001736111111111111 9:0.001736111111111111 10:0.001736111111111111
AP890123-0168 8:0.6606145251396648 16:0.09078212290502793 5:0.08519553072625698 2:0.034916201117318434 0:0.029329608938547486 12:0.018156424581005588 7:0.018156424581005588 19:0.012569832402234637 4:0.012569832402234637 11:0.006983240223463687 13:0.006983240223463687 15:0.006983240223463687 18:0.006983240223463687 14:0.0013966480446927375 17:0.0013966480446927375 1:0.0013966480446927375 3:0.0013966480446927375 6:0.0013966480446927375 9:0.0013966480446927375 10:0.0013966480446927375
AP890123-0260 17:0.6673553719008265 16:0.18801652892561985 18:0.07231404958677685 1:0.014462809917355372 2:0.014462809917355372 14:0.008953168044077135 15:0.008953168044077135 12:0.006198347107438017 4:0.003443526170798898 6:0.003443526170798898 7:0.003443526170798898 8:0.003443526170798898 11:6.887052341597796E-4 13:6.887052341597796E-4 19:6.887052341597796E-4 0:6.887052341597796E-4 3:6.887052341597796E-4 5:6.887052341597796E-4 9:6.887052341597796E-4 10:6.887052341597796E-4
AP890123-0263 17:0.7233333333333334 16:0.174 19:0.046 18:0.024666666666666667 11:0.006 14:0.006 15:0.006 12:0.0033333333333333335 4:0.0033333333333333335 13:6.666666666666666E-4 0:6.666666666666666E-4 1:6.666666666666666E-4 2:6.666666666666666E-4 3:6.666666666666666E-4 5:6.666666666666666E-4 6:6.666666666666666E-4 7:6.666666666666666E-4 8:6.666666666666666E-4 9:6.666666666666666E-4 10:6.666666666666666E-4
AP890123-0265 17:0.41331658291457285 16:0.23743718592964824 18:0.11683417085427136 1:0.06658291457286432 8:0.0414572864321608 5:0.0364321608040201 9:0.02135678391959799 12:0.016331658291457288 19:0.016331658291457288 4:0.011306532663316583 15:0.00628140703517588 2:0.00628140703517588 11:0.001256281407035176 13:0.001256281407035176 14:0.001256281407035176 0:0.001256281407035176 3:0.001256281407035176 6:0.001256281407035176 7:0.001256281407035176 10:0.001256281407035176
AP890123-0271 17:0.21453900709219859 16:0.17907801418439717 1:0.10815602836879433 7:0.10106382978723404 12:0.09397163120567376 2:0.05851063829787234 5:0.051418439716312055 19:0.044326241134751775 6:0.03723404255319149 9:0.03723404255319149 0:0.015957446808510637 3:0.015957446808510637 4:0.015957446808510637 15:0.008865248226950355 18:0.008865248226950355 11:0.0017730496453900709 13:0.0017730496453900709 14:0.0017730496453900709 8:0.0017730496453900709 10:0.0017730496453900709
AP890123-0272 17:0.4089285714285714 2:0.1732142857142857 8:0.0875 18:0.08035714285714286 5:0.05892857142857143 16:0.044642857142857144 10:0.0375 19:0.030357142857142857 1:0.023214285714285715 6:0.023214285714285715 9:0.01607142857142857 11:0.0017857142857142857 12:0.0017857142857142857 13:0.0017857142857142857 14:0.0017857142857142857 15:0.0017857142857142857 0:0.0017857142857142857 3:0.0017857142857142857 4:0.0017857142857142857 7:0.0017857142857142857
AP890123-0284 6:0.37884615384615383 12:0.27884615384615385 16:0.125 3:0.05576923076923077 17:0.032692307692307694 7:0.032692307692307694 13:0.025 1:0.025 18:0.009615384615384616 19:0.009615384615384616 0:0.009615384615384616 11:0.0019230769230769232 14:0.0019230769230769232 15:0.0019230769230769232 2:0.0019230769230769232 4:0.0019230769230769232 5:0.0019230769230769232 8:0.0019230769230769232 9:0.0019230769230769232 10:0.0019230769230769232
AP890124-0002 7:0.7256711409395973 16:0.17869127516778524 19:0.024328859060402684 5:0.01761744966442953 9:0.01761744966442953 18:0.014261744966442953 15:0.007550335570469799 2:0.0041946308724832215 11:8.389261744966443E-4 12:8.389261744966443E-4 13:8.389261744966443E-4 14:8.389261744966443E-4 17:8.389261744966443E-4 0:8.389261744966443E-4 1:8.389261744966443E-4 3:8.389261744966443E-4 4:8.389261744966443E-4 6:8.389261744966443E-4 8:8.389261744966443E-4 10:8.389261744966443E-4
AP890124-0098 9:0.32575757575757575 15:0.13383838383838384 16:0.13383838383838384 11:0.09343434343434344 2:0.08333333333333333 17:0.05303030303030303 8:0.04292929292929293 14:0.03282828282828283 7:0.03282828282828283 4:0.022727272727272728 0:0.012626262626262626 6:0.012626262626262626 12:0.0025252525252525255 13:0.0025252525252525255 18:0.0025252525252525255 19:0.0025252525252525255 1:0.0025252525252525255 3:0.0025252525252525255 5:0.0025252525252525255 10:0.0025252525252525255
AP890124-0179 5:0.36764705882352944 16:0.25 7:0.09705882352941177 18:0.07352941176470588 9:0.061764705882352944 15:0.03823529411764706 3:0.03823529411764706 0:0.026470588235294117 4:0.014705882352941176 11:0.0029411764705882353 12:0.0029411764705882353 13:0.0029411764705882353 14:0.0029411764705882353 17:0.0029411764705882353 19:0.0029411764705882353 1:0.0029411764705882353 2:0.0029411764705882353 6:0.0029411764705882353 8:0.0029411764705882353 10:0.0029411764705882353
AP890124-0240 8:0.6482035928143712 3:0.09730538922155689 0:0.08532934131736528 5:0.061377245508982034 16:0.0374251497005988 19:0.019461077844311378 7:0.01347305389221557 15:0.0074850299401197605 6:0.0074850299401197605 10:0.0074850299401197605 11:0.0014970059880239522 12:0.0014970059880239522 13:0.0014970059880239522 14:0.0014970059880239522 17:0.0014970059880239522 18:0.0014970059880239522 1:0.0014970059880239522 2:0.0014970059880239522 4:0.0014970059880239522 9:0.0014970059880239522
AP890124-0247 16:0.27724358974358976 19:0.1875 9:0.11698717948717949 6:0.11057692307692307 17:0.07852564102564102 11:0.05929487179487179 1:0.052884615384615384 12:0.04006410256410257 5:0.027243589743589744 14:0.014423076923076924 3:0.014423076923076924 8:0.008012820512820512 13:0.0016025641025641025 15:0.0016025641025641025 18:0.0016025641025641025 0:0.0016025641025641025 2:0.0016025641025641025 4:0.0016025641025641025 7:0.0016025641025641025 10:0.0016025641025641025
AP890125-0009 9:0.4506578947368421 16:0.17434210526315788 18:0.06907894736842106 19:0.06907894736842106 15:0.05592105263157895 2:0.05592105263157895 11:0.04276315789473684 12:0.029605263157894735 17:0.01644736842105263 13:0.003289473684210526 14:0.003289473684210526 0:0.003289473684210526 1:0.003289473684210526 3:0.003289473684210526 4:0.003289473684210526 5:0.003289473684210526 6:0.003289473684210526 7:0.003289473684210526 8:0.003289473684210526 10:0.003289473684210526
AP890125-0040 1:0.655373831775701 16:0.1133177570093458 19:0.09462616822429906 5:0.04322429906542056 3:0.03387850467289719 2:0.010514018691588784 6:0.010514018691588784 9:0.010514018691588784 15:0.005841121495327103 0:0.005841121495327103 7:0.005841121495327103 11:0.0011682242990654205 12:0.0011682242990654205 13:0.0011682242990654205 14:0.0011682242990654205 17:0.0011682242990654205 18:0.0011682242990654205 4:0.0011682242990654205 8:0.0011682242990654205 10:0.0011682242990654205
AP890125-0045 6:0.7674180327868853 1:0.12807377049180327 16:0.05430327868852459 11:0.01331967213114754 19:0.01331967213114754 8:0.005122950819672131 9:0.005122950819672131 12:0.0010245901639344263 13:0.0010245901639344263 14:0.0010245901639344263 15:0.0010245901639344263 17:0.0010245901639344263 18:0.0010245901639344263 0:0.0010245901639344263 2:0.0010245901639344263 3:0.0010245901639344263 4:0.0010245901639344263 5:0.0010245901639344263 7:0.0010245901639344263 10:0.0010245901639344263
